names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Usp14,-3.5554698,-29.013544,0.0003773044938346352,0.04994173275535294,0.0,0.5133440802435967,0.0,0.4330382
Nrf1,-3.5560434,-2.6511185,0.00037648188712828827,0.04994173275535294,0.0625,0.6103528568869784,0.12746239,0.617305
Abhd17b,-3.558695,-29.167063,0.00037270184172953944,0.04982337555857077,0.0,0.5138097796883396,0.0,0.4717403
Fam120b,-3.5641537,-28.96621,0.0003650321149848305,0.04904206464821198,0.0,0.5145978864409816,0.0,0.4216295
Uhrf1bp1l,-3.567131,-29.039467,0.00036091108033512777,0.048732063962838607,0.0,0.5150277628515135,0.0,0.43939093
Aff3,-3.571411,-2.7613547,0.0003550632583064981,0.04818459470048285,0.125,0.6980834676697116,0.24668327,1.0636593
Evi5,-3.5715196,-2.8712168,0.000354916102696814,0.04818459470048285,0.0625,0.6123947698370052,0.117197014,0.6469879
Map4,-3.5721242,-2.076883,0.00035409727932951996,0.04818459470048285,0.125,0.7129858499014866,0.28486648,0.8715022
9930021J03Rik,-3.5760942,-2.344842,0.00034876614505416,0.048058186244129636,0.125,0.6864409815511374,0.21798798,0.8052985
Arhgap21,-3.5769935,-2.0322478,0.00034756878675779203,0.048058186244129636,0.125,0.7137023105857067,0.32248995,0.9386964
Runx2,-3.5770555,-29.499222,0.0003474863522188085,0.048058186244129636,0.0,0.5164606842199534,0.0,0.564654
Kcnh1,-3.5835066,-29.37472,0.0003390123173597103,0.04744406753883029,0.0,0.5173920831094394,0.0,0.5283331
Rap1gap2,-3.5835066,-29.198704,0.0003390123173597103,0.04744406753883029,0.0,0.5173920831094394,0.0,0.48004693
Amy1,-3.5835066,-29.105848,0.0003390123173597103,0.04744406753883029,0.0,0.5173920831094394,0.0,0.45599476
Mecp2,-3.588903,-3.3626494,0.0003320723867569128,0.047210502815652096,0.0625,0.59928353931578,0.07325421,0.5776238
