names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Ependymal (for_DEGs),mean_expr_Rest (for_DEGs)
Epb41l1,-3.0829968,-1.2905865,0.002049273559619639,0.049129038238293565,0.34285714285714286,0.6077667821799865,0.3026272,0.6230118
Slc16a7,-3.0866761,-1.2921739,0.0020240797508700053,0.04860323762812962,0.3142857142857143,0.6295237754992676,0.34961373,0.70554143
Man2a1,-3.1148567,-1.9545494,0.0018403430668442768,0.04483229211795623,0.2,0.47268764960165766,0.1354072,0.44598347
Tafa1,-3.1170309,-1.2018044,0.0018268245901141035,0.04462434248760542,0.6857142857142857,0.7905040906005502,1.273194,1.9339569
Tjp1,-3.1214,-1.04572,0.001799933199243931,0.044081958188666455,0.6,0.7968632774820478,0.85124195,1.3274866
Sez6,-3.121745,-2.585957,0.0017978257667448864,0.04407625762083495,0.11428571428571428,0.3999142581544068,0.05818826,0.30728915
Klhl29,-3.1233861,-1.1641192,0.00178783052329598,0.043911340183695594,0.45714285714285713,0.6642492229645243,0.54216415,0.9604549
Klhl2,-3.1262083,-1.2677879,0.0017707606275845088,0.04353187379981313,0.4,0.6853988782108534,0.4675395,0.8900607
Neurl1a,-3.1307135,-2.4367163,0.0017438222452109975,0.04298761809983441,0.05714285714285714,0.36876138758886784,0.04954434,0.24294116
Gabra3,-3.1332953,-2.031442,0.0017285546060690962,0.04268957928775424,0.11428571428571428,0.4290307598871066,0.10706866,0.37980774
Strn,-3.143727,-1.7118676,0.00166810938126039,0.04136948057130381,0.22857142857142856,0.5153084920152906,0.15473962,0.4371102
Pacsin1,-3.1440198,-1.1519397,0.0016664419156394521,0.04136948057130381,0.42857142857142855,0.6963309635239898,0.50757176,0.9039666
Herc3,-3.149779,-1.2857183,0.0016339390154173287,0.04068947297892829,0.3142857142857143,0.6106248436997607,0.31133828,0.63683784
Efr3b,-3.1499777,-1.9086298,0.0016328287022843468,0.04068947297892829,0.14285714285714285,0.45753992354685435,0.12662405,0.41000253
Atp2b1,-3.1649776,-0.8541035,0.0015509497383799052,0.0388026252050913,0.8,0.8982887356650352,1.5286745,2.0187948
Gabrg2,-3.1676743,-1.2233435,0.0015366359541783372,0.03848034304638576,0.42857142857142855,0.6849701689828873,0.48241916,0.8951061
Lrfn2,-3.168824,-1.4913352,0.001530570254467104,0.03836420031486109,0.2857142857142857,0.5553570790611267,0.2307416,0.5479352
Ncoa7,-3.1705487,-1.2269,0.001521513045218861,0.038244205355501215,0.37142857142857144,0.6616412418277303,0.40998888,0.78218395
Stxbp1,-3.1706638,-1.3228508,0.0015209109901122447,0.038244205355501215,0.34285714285714286,0.6211639455539281,0.3103832,0.6473394
Myo9a,-3.1719809,-0.89996666,0.0015140303578930754,0.038127456154252046,0.6285714285714286,0.801543353220678,0.92563206,1.3462081
Elmo1,-3.1733186,-1.6705754,0.001507069880076208,0.03798777455689279,0.2571428571428571,0.5720410131828088,0.32290214,0.794482
Snx30,-3.1747193,-1.9591208,0.0014998147235511926,0.037840395889033374,0.14285714285714285,0.4520024293522918,0.10975725,0.37229767
Susd4,-3.1809804,-1.3266029,0.0014677748354832859,0.03713663825747259,0.34285714285714286,0.6171983851952413,0.33199593,0.68690974
Ssh2,-3.1834369,-1.000685,0.001455378115470759,0.0368924622289616,0.6,0.8128684219927834,0.9066277,1.3745571
Ncam2,-3.1853497,-0.8248127,0.0014457914092939307,0.03668405587132004,0.8285714285714286,0.8589903897681398,1.6055292,2.0857606
Hook1,-3.191841,-1.5151618,0.001413691687167416,0.03593746039185285,0.2571428571428571,0.5488907148726376,0.20614904,0.5034218
