names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Ependymal (for_DEGs),mean_expr_Rest (for_DEGs)
Spag16,9.885613,8.11053,4.8063112061177327e-23,7.890883578585099e-19,0.9714285714285714,0.059090421921331855,2.553298,0.04197939
Spef2,9.865513,6.8975677,5.873378175351767e-23,7.890883578585099e-19,0.9714285714285714,0.09099353363581152,2.0174935,0.053238273
Dnah6,9.302091,8.118616,1.3771136867314282e-20,1.2334348254157826e-16,0.9142857142857143,0.04133471472973456,1.94417,0.021315025
Ccdc162,9.229361,6.9706507,2.722531701701223e-20,1.8288606706177965e-16,0.9142857142857143,0.07791790218284449,1.8517454,0.04193113
Lrriq1,8.979154,5.349618,2.728576674933934e-19,1.4459163830961326e-15,0.9142857142857143,0.19924261369725985,1.7509849,0.11041771
Cfap61,8.944001,6.8147902,3.7532879568336793e-19,1.4459163830961326e-15,0.8857142857142857,0.06723589725268836,1.5283376,0.031567384
Cfap299,8.9436035,7.658794,3.7668085901276254e-19,1.4459163830961326e-15,0.8857142857142857,0.08031152870565539,2.2871401,0.042846903
Adgrv1,8.844272,6.5356936,9.212715484969075e-19,3.0943208135139884e-15,0.8857142857142857,0.07084419992140331,1.9138165,0.060425308
Cfap44,8.810896,5.7258787,1.2414924286050897e-18,3.706544617402084e-15,0.8857142857142857,0.16741095352077454,1.749463,0.08597424
Syne1,8.678492,2.7574558,4.010517979026143e-18,9.951734497740831e-15,1.0,0.8172626915794362,3.3105242,1.590068
Spata17,8.676704,7.2258277,4.074026031825424e-18,9.951734497740831e-15,0.8571428571428571,0.03561859169018613,1.3472255,0.018839072
Glis3,8.595957,3.7608624,8.257367145132212e-18,1.8489621265808544e-14,1.0,0.3333214247436676,2.2298238,0.47756445
Rmst,8.568645,4.390348,1.0471058117186052e-17,2.1642871662214554e-14,0.9428571428571428,0.24929441606230573,2.2123895,0.3278857
Gm4876,8.527314,4.3135414,1.497847716548089e-17,2.874797724546225e-14,0.9142857142857143,0.22864492158193706,1.7224798,0.20803843
Dnah7b,8.498924,5.80716,1.9135527513525275e-17,3.427810828589494e-14,0.8571428571428571,0.10113965203100997,1.5811825,0.066677205
Zbbx,8.4277,5.360401,3.525262687977154e-17,5.920238026621633e-14,0.8571428571428571,0.15265621092494017,1.5125395,0.082619295
Cfap47,8.386171,5.2307115,5.022322669092822e-17,7.784341212731782e-14,0.8571428571428571,0.14819048980029295,1.4729824,0.08575729
Shroom3,8.381749,5.418285,5.2146684714987753e-17,7.784341212731782e-14,0.8571428571428571,0.07691758065092351,1.2920369,0.059909426
Dnai4,8.364053,3.9256375,6.059960316858453e-17,8.57005966915719e-14,0.8857142857142857,0.3286770747740345,1.4866073,0.20309769
Vwa3a,8.298055,4.800232,1.0582994796956104e-16,1.4218253509710525e-13,0.8571428571428571,0.16337394162409347,1.334354,0.09567994
Spag6l,8.250234,3.8641062,1.5808529154076282e-16,2.0227389446191893e-13,0.8857142857142857,0.26737165517487765,1.2394868,0.1557327
Gm973,8.219722,5.9655333,2.0397534722411115e-16,2.4912807181417574e-13,0.8285714285714286,0.04923010967811082,1.3608131,0.045353673
C230072F16Rik,8.185416,11.321337,2.7136404701534146e-16,3.1702399753487933e-13,0.8,0.0018577399878532386,1.3642689,0.0011376545
Hydin,8.108223,8.037259,5.136542329948746e-16,5.42564060593384e-13,0.8,0.03426101246829338,1.6305407,0.015511614
Cfap54,8.106895,4.254741,5.192950288754837e-16,5.42564060593384e-13,0.8571428571428571,0.3182808759958558,1.7163446,0.21437451
Ak9,8.105568,7.929258,5.249968580360248e-16,5.42564060593384e-13,0.8,0.032296095173448607,1.4563698,0.013408601
Cfap43,8.099621,7.9015913,5.513095413538397e-16,5.486550880065805e-13,0.8,0.02765174520381551,1.4225597,0.013077892
Cfap69,8.030612,3.7817929,9.698798553750782e-16,9.301083912493202e-13,0.8857142857142857,0.35214890500518026,1.5303608,0.23363483
Kif9,8.026389,4.743607,1.0038386061120316e-15,9.301083912493202e-13,0.8285714285714286,0.14593976635347075,1.09578,0.07170547
Wwc1,8.009936,2.9600368,1.1476807921708221e-15,1.0279394295209997e-12,0.9142857142857143,0.45293129934621845,1.517198,0.37667122
Msi2,8.001156,2.7945828,1.2325671268835679e-15,1.0683573773987571e-12,0.9714285714285714,0.6512807688185488,2.2734475,0.81348664
Ccdc30,7.988644,2.7828715,1.3643115359081177e-15,1.1455953428078478e-12,0.9142857142857143,0.5283126719302633,1.6544695,0.47913367
Fhad1,7.9708014,5.9257417,1.576490440200285e-15,1.2836453978236867e-12,0.8,0.05916187345932621,1.0953315,0.032214485
Dnah9,7.921297,3.2969353,2.350456406309631e-15,1.857551871692347e-12,0.9142857142857143,0.41277553499339076,1.7319283,0.38749292
2010001K21Rik,7.8907228,10.916834,3.0044115538878548e-15,2.3065296700847616e-12,0.7714285714285715,0.002572255367796792,1.3643278,0.0015056786
Tmem212,7.885141,10.607139,3.1418025998260682e-15,2.3450065515924014e-12,0.7714285714285715,0.003179593440748812,1.6144136,0.0025771086
Cachd1,7.861675,3.3068595,3.790310956954276e-15,2.7525852814422e-12,0.8857142857142857,0.3414669000750241,1.4610643,0.28857955
Dnah12,7.852466,9.181069,4.079357120073445e-15,2.8471239565970674e-12,0.7714285714285715,0.018434496802543675,1.7914779,0.008573984
Stxbp4,7.850846,2.6975005,4.1324091666276754e-15,2.8471239565970674e-12,0.9142857142857143,0.4178128684219928,1.2142544,0.31116644
Pacrg,7.846184,2.8099356,4.2888805214810046e-15,2.8810554903048645e-12,0.9142857142857143,0.5479261191097138,1.8094302,0.54711664
Maml2,7.837853,2.937218,4.583149557855655e-15,3.003639722428816e-12,1.0,0.5402808045443178,2.385315,0.82752025
Pitpnc1,7.8122754,2.694177,5.6164738979434534e-15,3.593206038993824e-12,1.0,0.5058768890000357,1.8646882,0.61124116
Dnah11,7.803694,7.961188,6.0121074185701e-15,3.756868054348339e-12,0.7714285714285715,0.027580293665821157,1.6402034,0.01654036
