names,scores,logfoldchanges,pvals,pvals_adj
Frmpd4,17.168587,0.70521367,8.032218965613514e-62,3.338725683373351e-58
Tenm2,16.688099,0.6396935,2.002077691590234e-58,6.1406924204721426e-55
Mir99ahg,15.903809,0.703352,4.219057350709879e-53,6.576455645419023e-50
Dab1,15.395513,0.30809537,3.25402951158877e-50,4.0577748009511963e-47
Grik4,15.356811,0.87607604,5.658042698796106e-50,6.414162950362495e-47
Tenm4,14.101205,1.2405257,2.5349167002478775e-42,2.4315700963146947e-39
Meg3,12.452598,0.38978374,3.6454489568416425e-34,2.164702309134061e-31
Prkg1,11.7465,0.3709511,7.982372393104578e-31,2.927652463000414e-28
Pdzrn4,11.630079,1.0035181,5.357610022486823e-30,1.8558165827891856e-27
Naaladl2,11.5732355,0.7835912,1.0341828721033655e-29,3.3067334397766585e-27
Dpp10,11.4929495,0.8216938,2.2015204462374558e-29,6.863239991145268e-27
Lhx9,11.491534,1.6839199,5.659963196765427e-29,1.6413893270619738e-26
Nlgn1,11.395011,0.24282487,3.8601904677432775e-29,1.174062808116065e-26
St6galnac3,10.9964075,0.49745372,3.103117223149612e-27,7.739174354535133e-25
Gm28307,10.877313,1.458162,2.658167455713132e-26,6.254216636366558e-24
Dcc,10.495675,0.56736714,5.0893723741996925e-25,1.0756690424791553e-22
Negr1,10.332399,0.2622573,2.6857002472802843e-24,5.315981283108753e-22
Kctd16,10.254268,0.35372064,6.107797197409286e-24,1.1038294355317942e-21
Adcy8,10.24087,0.93069756,8.465260207324037e-24,1.5080256397904392e-21
Pde1a,10.127974,0.8123197,2.2262761581050728e-23,3.751576174536521e-21
Car10,10.090542,0.7813642,3.005642387155461e-23,4.9973814090438134e-21
Rbfox1,9.981713,0.22042632,7.129702917839434e-23,1.1113424423182219e-20
Frmd4a,9.798742,0.3338738,3.9403150650639348e-22,5.780673983687914e-20
Csmd2,9.798607,0.49218133,4.306929074798337e-22,6.245047158457588e-20
Cdh10,9.696805,0.8530659,1.4367336745371605e-21,1.8859019917345676e-19
Nkain2,9.552579,0.20062718,3.5397529843163525e-21,4.414071971442492e-19
Snhg11,9.490313,0.6213178,7.619365718568946e-21,9.048903858148073e-19
Msra,9.457523,0.4106224,1.03419347885915e-20,1.2166408189975096e-18
Clstn2,9.244485,0.30148777,6.102869940163556e-20,6.5045118080204734e-18
Ralyl,9.121172,0.41440332,1.8381455369925527e-19,1.848522165023962e-17
Greb1l,9.102804,0.8156538,2.760884511305721e-19,2.7323991949192333e-17
Gria4,9.031635,0.6509259,4.7582768694682705e-19,4.599667640485995e-17
Pcsk5,8.894954,0.5916282,1.538646241914814e-18,1.3903564229476616e-16
Ano3,8.809171,0.37562388,2.89281300321137e-18,2.5050957048642907e-16
Xkr4,8.805026,0.3065002,3.08341385549121e-18,2.6517359157224403e-16
A230006K03Rik,8.761129,0.81938916,5.1375532914038195e-18,4.3287357799868667e-16
Schip1,8.711991,0.3727418,6.7285255180129816e-18,5.556603523816018e-16
Cntnap2,8.482834,0.49168503,4.6377398547088534e-17,3.442417618346393e-15
Trpm3,8.411389,0.35586506,8.304584824988386e-17,5.850744224158485e-15
