names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-HYa Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Rtn1,5.975228,0.9665103,2.297690093416121e-09,7.24766748082689e-07,0.9,0.9048402675920295,2.44216,1.851933
Hsp90aa1,5.552675,1.7510315,2.8133155643970034e-08,4.754326365745124e-06,0.8,0.7952634779808965,2.0655665,1.1141165
Tmsb4x,5.2887936,1.6437575,1.2312591226756237e-07,1.3217480582608255e-05,0.7857142857142857,0.7211390548420563,1.9595616,1.0821191
Hspa8,5.0879607,1.9002773,3.6193424173987893e-07,2.7865825431376924e-05,0.7142857142857143,0.6710192108181591,1.7856692,0.84573674
Nxph1,4.4990654,2.0492935,6.825286541918624e-06,0.00025485772205483177,0.6,0.4216363181053912,1.6947254,0.7294583
Map1b,4.323914,0.6454274,1.5328520054823498e-05,0.00046964348218142234,0.8142857142857143,0.8567595606911602,2.0467083,1.6696749
Atp1b1,4.19437,1.085556,2.7363138555618675e-05,0.0007208309146955625,0.8142857142857143,0.8598361535434479,2.1233432,1.496865
Calm1,3.939431,0.9842658,8.167509692675354e-05,0.0016778362801390424,0.7714285714285715,0.8367617071512896,1.8841145,1.340471
Hsp90ab1,3.9379368,1.3326836,8.218521304215006e-05,0.0016844520781407872,0.7428571428571429,0.8091439201516831,1.8829819,1.1671051
Slc17a6,3.8886163,3.5503385,0.00010081735486401104,0.0019773447629167712,0.34285714285714286,0.10349515257754087,0.5840325,0.06551645
Ndufa4,3.3162374,1.8927282,0.0009123823938871638,0.011482770456088098,0.5285714285714286,0.40757700425714594,1.1092732,0.4364816
Ubb,3.262997,1.6065689,0.00110240765511439,0.013277316760611231,0.5714285714285714,0.48238113977032876,1.2564518,0.6016855
Cmss1,3.1551468,0.9859417,0.0016041729971696952,0.01802765722875354,0.7714285714285715,0.8411261760812793,1.9248302,1.3751471
Cox4i1,3.0671124,1.4592693,0.0021613745859570474,0.02285562185150172,0.5857142857142857,0.5273137051479269,1.159746,0.5856374
mt-Nd1,3.063355,1.8185351,0.0021887019013589405,0.023090074632710927,0.4714285714285714,0.34858512503130257,0.93294495,0.36267248
Calm2,3.00004,0.7264825,0.0026994402055030248,0.02711549843808085,0.7571428571428571,0.8569742067041105,1.8075037,1.4059565
Pappa2,2.8036604,5.0552034,0.0050526103934914945,0.04464440686389887,0.21428571428571427,0.02561442421207026,0.42278582,0.015702715
Lars2,2.784163,0.87259066,0.005366607636087014,0.04689455192899449,0.7142857142857143,0.7968017744070404,1.6254244,1.1720675
