names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CNU-HYa Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Ndufs4,-2.7586963,-0.3196731,0.005803242558383949,0.04996255288169711,0.3142857142857143,0.5784710049010839,0.44699866,0.53263587
Golm2,-2.7595692,-0.2822688,0.005787763198204003,0.049845255492224856,0.38571428571428573,0.6505562909168963,0.6263629,0.7222097
Rab31,-2.7597542,-0.9921641,0.005784488455808037,0.04983302494631676,0.11428571428571428,0.31230994884270025,0.15270717,0.2838096
Psip1,-2.7601535,-0.29771197,0.005777420713159509,0.04978809960314176,0.32857142857142857,0.5928880621042464,0.48977324,0.57480514
Plppr1,-2.7611668,-0.60726875,0.0057595245122970444,0.049649799052108305,0.24285714285714285,0.4595571137266125,0.32355684,0.45867795
Farp2,-2.7613,-1.0925089,0.005757176905733714,0.04964548891433405,0.11428571428571428,0.30998461703573854,0.097341485,0.19722185
Slc25a26,-2.76147,-0.66110456,0.005754178441941506,0.04963556171267039,0.2,0.4141952563231138,0.1912162,0.287591
Agap2,-2.762343,-0.5629514,0.0057388171534573686,0.049518952123763484,0.17142857142857143,0.3909061639180052,0.19300745,0.27345836
B230307C23Rik,-2.7625055,-1.8821152,0.005735957277962043,0.04951017412747835,0.07142857142857142,0.26780667549100273,0.044277906,0.15433544
Trmt13,-2.7625427,-0.33015373,0.005735307485529464,0.04951017412747835,0.11428571428571428,0.3304117626015097,0.17086063,0.21045455
2610005L07Rik,-2.762587,-0.93739164,0.0057345278222368035,0.04951017412747835,0.14285714285714285,0.350051872786463,0.119382955,0.21739306
Cntn4,-2.7630382,-0.7831341,0.00572660666931695,0.04947714508184773,0.4,0.6509498086073051,0.8852496,1.2383177
Cacul1,-2.7640219,-0.6041735,0.005709370160371954,0.04934409012839961,0.24285714285714285,0.47290094086502343,0.25178215,0.36132488
Elavl3,-2.764658,-0.55474734,0.0056982496723897375,0.04927968094532097,0.42857142857142855,0.7346975279934175,0.7959393,1.024956
Olfm3,-2.76488,-0.76795363,0.005694375030836815,0.04926202739168874,0.18571428571428572,0.3994562301005259,0.29872367,0.46550983
Tnks,-2.7653236,-0.4332137,0.005686632875805688,0.04921089383990301,0.35714285714285715,0.6348155833005402,0.5182865,0.6507667
Lmln,-2.7657306,-1.272417,0.005679544242277329,0.04916538459729118,0.08571428571428572,0.2763209673380317,0.0713047,0.1642743
