names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT-ET Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Myo1d,10.25853,-0.25218353,1.0834355036072146e-24,5.397091579889851e-24,0.5114963911005284,0.37129731212287437,0.36116594,0.4174536
Oma1,9.498828,-0.2866731,2.1226579029518793e-21,9.71483867353381e-21,0.24294962422799316,0.16202687877125618,0.11290548,0.13610384
Snx18,9.469589,-0.32586667,2.8094704003204218e-21,1.2821071612875294e-20,0.28811667534786817,0.20069939659901262,0.14272986,0.17588177
Pmepa1,8.848091,-0.35359678,8.902915624935922e-19,3.79595910571292e-18,0.2990549892105067,0.21331596269884806,0.16190238,0.20257956
Cradd,8.750802,-0.3447543,2.118411541737076e-18,8.930297792041925e-18,0.2657935858322792,0.18561437191442676,0.13607581,0.16984093
Cdk5rap2,8.496179,-0.30718318,1.9593509981306635e-17,8.051347502641219e-17,0.3437011682416847,0.2505485463521668,0.17703484,0.21481206
Fam91a1,8.322993,-0.25585157,8.57690126381557e-17,3.4541567289976674e-16,0.3472728625641789,0.2571996708721887,0.17761602,0.20870505
Tpcn1,8.207887,-0.25096723,2.2511553893770996e-16,8.970568784304117e-16,0.2206265347124042,0.15105595172792102,0.09735849,0.11483149
Slc20a2,8.159893,-0.30201942,3.353200941195485e-16,1.3312723003830186e-15,0.40375027903861893,0.29957487657707077,0.22398515,0.26965687
Gm4876,8.113094,-0.55351853,4.934660251582074e-16,1.9504901582819992e-15,0.2718952302998735,0.19048272078990675,0.17271104,0.24426858
4930488L21Rik,8.044778,-0.30989596,8.64021764034009e-16,3.3887410304472077e-15,0.2356574149862341,0.16552386176631925,0.112360515,0.13750799
Arhgap29,8.004501,-0.328241,1.1995147953980485e-15,4.677254760172045e-15,0.1776173822457028,0.11464618760285245,0.083904825,0.10425775
1110019D14Rik,7.9961376,-0.2839021,1.2838270461973003e-15,5.0023829366765465e-15,0.26884440806607635,0.19336258913878224,0.13850155,0.16624263
