names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_IT-ET Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Gapdhs,3.5927773,0.33980653,0.0003271722429727442,0.0008264659366999753,0.05751916065183421,0.03229566648381788,0.021166155,0.016761372
Ctu2,3.5873518,0.29562274,0.00033405336630169574,0.0008433725408744305,0.062132599151722596,0.036752605595172794,0.025598861,0.020905113
Arrdc4,3.5867474,0.26314014,0.00033482845239518865,0.0008452499545150994,0.05833767393407248,0.033049917718047175,0.023738006,0.019819152
Gm13791,3.5841753,0.30915895,0.0003381447298718775,0.0008534612898419451,0.06533224198229035,0.039906747120131654,0.025257686,0.020435192
Cenpu,3.5838459,0.25185978,0.0003385719617601887,0.00085445934183303,0.05923059751469603,0.033941305540318156,0.021657303,0.018219471
Enkd1,3.574389,0.33980742,0.00035104675465795384,0.0008854431894920886,0.05640300617605477,0.031267142073505214,0.02328594,0.018444084
Gm11670,3.565754,0.9913428,0.0003628117186516677,0.0009144311865838394,0.03809807277327182,0.013370817334064729,0.014129685,0.007132319
1700121C08Rik,3.5595422,1.0955924,0.0003715018592530294,0.0009362460099539392,0.03913981695066597,0.014467910038398245,0.014305844,0.0067198155
Scube3,3.5572157,0.46378928,0.00037480645377642625,0.000944131378360605,0.04509264082148969,0.020227646736149206,0.016424345,0.011935769
Gm47814,3.5519493,0.52402824,0.00038238870013348813,0.0009629601098956725,0.052087208869707566,0.027290181020296216,0.01914357,0.013351689
Hgh1,3.5482333,0.26244938,0.0003878246226336169,0.0009761918135986217,0.05759357095021951,0.032569939659901265,0.02098716,0.017526787
Gm43647,3.5432618,0.8650789,0.00039521037508783585,0.0009941305727963069,0.039511868442592454,0.014947888096544158,0.017891204,0.009862166
Gm32592,3.5431914,1.6480913,0.00039531561301838045,0.0009943022111582778,0.03236847979760399,0.007885353812397147,0.015452734,0.004956364
1700037H04Rik,3.536812,0.31287736,0.0004049878908103653,0.0010182487719729125,0.06935039809509636,0.04422654964344487,0.037308082,0.030142702
4930520O04Rik,3.5355356,0.6961132,0.00040694936849414436,0.0010230847241240325,0.04568792320857207,0.021050466264399343,0.01648906,0.010209661
Gm14027,3.5352874,0.27514347,0.0004073320175093431,0.0010239509131327578,0.05952823870823722,0.0346269884805266,0.022545205,0.018666934
Ssc5d,3.533807,1.0189688,0.00040962008924365784,0.001029413748407883,0.039511868442592454,0.015016456390565003,0.014185958,0.00702548
A030001D20Rik,3.532748,0.38244453,0.0004112643978075757,0.0010334493939109287,0.057072698861522435,0.032227098189797035,0.022663625,0.017431792
