names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MY GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Tbc1d1,-2.94119,-2.5809457,0.003269540360372403,0.04997300880728468,0.041666666666666664,0.40247865995214116,0.060600027,0.31758142
Atp2b3,-2.9414043,-0.8355261,0.003267276148046907,0.04996682418783176,0.125,0.5176613450480374,0.26989985,0.4401252
Clasrp,-2.9416695,-27.932049,0.0032644811521143923,0.049952510567946314,0.0,0.34683381549341047,0.0,0.2279998
Setd5,-2.9417832,-1.2546966,0.00326328396366885,0.049952510567946314,0.2916666666666667,0.7745276617022037,0.6119109,1.1032078
Rspo2,-2.9422753,-28.666641,0.0032581007677954196,0.04991172612922629,0.0,0.34690524661595057,0.0,0.35494897
Cept1,-2.9425278,-1.1957778,0.003255445629097885,0.0498995003159499,0.08333333333333333,0.4663023679417122,0.17627382,0.36572865
Vapa,-2.9426162,-1.4081261,0.0032545167963852015,0.0498995003159499,0.16666666666666666,0.5703775134826243,0.23082559,0.5241742
Rbm27,-2.9432726,-1.3652637,0.0032476244514462785,0.04983647573407282,0.08333333333333333,0.4561234329797493,0.1517018,0.35207888
Insr,-2.943891,-0.9976395,0.0032411419147219934,0.04976541899918854,0.20833333333333334,0.608628879602843,0.3381602,0.5896841
Zfp652,-2.9439793,-1.2340596,0.0032402168010993745,0.04976541899918854,0.16666666666666666,0.549591056823458,0.23950148,0.49259856
Slk,-2.9440172,-0.88363075,0.003239820397487884,0.04976541899918854,0.08333333333333333,0.46887388835315547,0.22233425,0.37801585
Etfa,-2.944219,-2.9030447,0.0032377069910548553,0.04976541899918854,0.041666666666666664,0.400014286224508,0.043518092,0.2872099
Pggt1b,-2.9465163,-27.902924,0.003213755247936338,0.049457963065320396,0.0,0.3474052644737312,0.0,0.22391732
Numb,-2.9470336,-0.8555226,0.0032083818589325793,0.04940356478482431,0.20833333333333334,0.6543805135897711,0.49519968,0.76988554
Slc39a11,-2.9483337,-27.959599,0.0031949189576465295,0.04922446811465725,0.0,0.34761955784135146,0.0,0.23192276
Dmd,-2.9484222,-1.8445646,0.0031940058742290223,0.04922446811465725,0.4166666666666667,0.8744240865745205,1.2374921,2.281165
Garre1,-2.9485483,-1.5285871,0.003192701881889483,0.04922446811465725,0.041666666666666664,0.40615736276295583,0.11384481,0.29852754
Camkk2,-2.9485862,-1.0367948,0.003192310778808975,0.04922446811465725,0.08333333333333333,0.46876674166934534,0.20241852,0.37865108
Nudt3,-2.9490407,-2.6394575,0.003187620946379675,0.04922446811465725,0.08333333333333333,0.4394442658666381,0.061963405,0.33526117
Hdlbp,-2.9493058,-1.3459512,0.0031848881114703155,0.04921100836987198,0.125,0.49651773277617056,0.1776445,0.40156594
Tbc1d22a,-2.9497097,-3.5328157,0.0031807278974881714,0.04917500495138502,0.041666666666666664,0.3919782849387478,0.027199639,0.2769715
Ptprr,-2.9501512,-1.1908226,0.0031761833350177314,0.04913301451463813,0.16666666666666666,0.5735919139969284,0.3364341,0.64867914
Nalf1,-2.9503407,-1.2626534,0.003174237477690099,0.04913119874742682,0.6666666666666666,0.8997107039537127,2.0528927,2.8502746
Mfsd6,-2.9504037,-0.9880847,0.0031735891000752524,0.04913119874742682,0.08333333333333333,0.4691238972820458,0.20246375,0.36820674
Ccl25,-2.9507573,-1.4051476,0.0031699604156636505,0.04912158960143154,0.041666666666666664,0.40647880281438625,0.11435205,0.27827704
Myh9,-2.9516659,-28.059544,0.0031606468712817174,0.04900552881208294,0.0,0.348012429015322,0.0,0.2466622
Iqcb1,-2.952095,-1.3621469,0.003156257484708677,0.04896572668251856,0.08333333333333333,0.4564091574699096,0.15300304,0.35417655
Mir124a-1hg,-2.952499,-1.243215,0.003152131373938622,0.048929965348198025,0.16666666666666666,0.5860209293189043,0.28749236,0.5813705
Cep120,-2.9525747,-2.2415204,0.003151358275776767,0.048929965348198025,0.08333333333333333,0.4462302225079467,0.080647536,0.3344551
Gpr107,-2.9532185,-2.3610075,0.0031447939165670513,0.04887253472420859,0.041666666666666664,0.4048358869959641,0.060600027,0.27834854
Ndrg3,-2.9548972,-0.9256273,0.0031277336939372195,0.04863553492829461,0.20833333333333334,0.6301296474874103,0.3976934,0.6563282
Rbms1,-2.955099,-3.2755456,0.0031256870320983095,0.04863185324405418,0.041666666666666664,0.39637129897496337,0.043518092,0.35817567
Dnajc24,-2.955301,-27.963392,0.0031236415912918847,0.048628186302440875,0.0,0.3484410157505625,0.0,0.23246807
Itpka,-2.9559824,-1.7331281,0.003116747234693221,0.04854898446156919,0.041666666666666664,0.4066930961820065,0.10539621,0.31445926
Slc12a5,-2.955995,-1.4149374,0.003116619692361933,0.04854898446156919,0.125,0.49766063073681205,0.17193574,0.40562314
Gm10649,-2.9580524,-2.164823,0.0030958937809175717,0.048280131104617034,0.08333333333333333,0.44198007071681134,0.10883412,0.415793
Arntl,-2.958305,-1.6723921,0.0030933593992019245,0.04826862198406255,0.08333333333333333,0.44862316511303973,0.12455714,0.35262874
Lrch3,-2.958532,-1.077598,0.0030910800732803488,0.048261081678700156,0.16666666666666666,0.5950926818814958,0.31521043,0.57776433
R3hdm4,-2.9595165,-1.574521,0.003081220680365861,0.04813511609385505,0.041666666666666664,0.40712168291724704,0.10868734,0.29412994
Gpatch2,-2.960072,-1.3589103,0.0030756716307862968,0.048076379708684,0.125,0.5058752098289224,0.18604374,0.4216407
Klf12,-2.9606905,-1.2563444,0.0030695027338168723,0.048007880359522324,0.25,0.7158827100967892,0.5959686,1.0805973
5031439G07Rik,-2.961801,-3.2588222,0.0030584522196636208,0.047862906897123754,0.041666666666666664,0.3979070681095753,0.034763765,0.29163283
