names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Mature GC (for_DEGs),mean_expr_Rest (for_DEGs)
Ifi203,-2.47303,-1.8143057,0.013397287881362154,0.04985253086445106,0.007966260543580132,0.040321334775220145,0.0063350075,0.022104207
Gcnt4,-2.4750676,-4.436855,0.013321091664139488,0.04958273071276189,0.0014058106841611997,0.03360111231268345,0.0008636096,0.018539578
Gm26854,-2.475069,-1.2330843,0.013321039748731165,0.04958273071276189,0.012652296157450796,0.045149080797157425,0.0077923103,0.018221835
Gm34304,-2.4765291,-0.42046678,0.013266678880320848,0.04940072914554063,0.03280224929709466,0.06615943148462845,0.020999758,0.028006569
Zfp708,-2.4799378,-0.7090545,0.013140530462341713,0.04895134528256229,0.023430178069353328,0.05642669550440291,0.015863413,0.025803419
Fhdc1,-2.4888108,-2.6765268,0.012817114069986224,0.04779956350597222,0.004686035613870665,0.03711571141665379,0.0028470943,0.01806371
Pik3r5,-2.4916196,-4.01184,0.012716215054002026,0.047449617900435274,0.0028116213683223993,0.03522323497605438,0.0018696152,0.029741867
P2ry6,-2.4931116,-3.5728757,0.01266290202225123,0.047270296430105746,0.0037488284910965324,0.03618878418044184,0.0027347803,0.032068398
Dio2,-2.493752,-2.8562372,0.012640085892478382,0.047191761557717676,0.008434864104967198,0.04082342036150162,0.0051863557,0.036961652
Hydin,-2.494633,-2.4921372,0.012608748412120443,0.04708784848279031,0.005154639175257732,0.037695040939286266,0.003348941,0.018697204
Mmp14,-2.495912,-3.0639982,0.012563374549528949,0.04694449647418201,0.005623242736644799,0.038081260621041245,0.004009195,0.033043683
Cd82,-2.4963129,-2.8039804,0.01254918488389997,0.04689799691660532,0.008434864104967198,0.04086204232967712,0.0054078596,0.037169468
Leo1,-2.4966595,-0.3215203,0.012536928175170513,0.04685870914825869,0.05716963448922212,0.09203615016221227,0.0392308,0.048789103
Zfp219,-2.4976742,-0.57171965,0.012501104997810987,0.04675082690204331,0.04358013120899719,0.07735980225552294,0.028942097,0.04271937
Gm46440,-2.5004885,-0.65637255,0.012402217517735568,0.04643271348774623,0.02717900656044986,0.060482002162830215,0.019031111,0.029832968
Gm34354,-2.5035756,-0.83452976,0.012294541883692403,0.04606809934664829,0.016869728209934397,0.0499382048509192,0.012129018,0.021527698
Lrrc24,-2.503595,-0.30351785,0.012293864874366433,0.04606809934664829,0.06326148078725398,0.09879499459292446,0.04310727,0.052937843
Klhl14,-2.5043495,-0.6436253,0.012267680318444336,0.04599310313333324,0.06560449859418932,0.0997991657654874,0.048792608,0.0752155
Gpr156,-2.5058415,-3.6546495,0.01221603640616288,0.04581866251166898,0.0028116213683223993,0.03541634481693187,0.0016502417,0.020586735
Gm26621,-2.5067046,-0.9252625,0.01218625573156946,0.045726112485305316,0.02296157450796626,0.056117719758998916,0.014280841,0.02694796
9330185C12Rik,-2.5107617,-1.9197413,0.012047099109861369,0.04523403831622252,0.021087160262417994,0.05353004789124054,0.015821368,0.05858681
Rbm11,-2.513121,-0.3342526,0.011966832244683747,0.044965568789631136,0.03748828491096532,0.0717596168700757,0.025614293,0.032186083
Bcl2l11,-2.5131934,-1.1074436,0.011964377294037216,0.04496263187283636,0.022492970946579195,0.05557701220454194,0.016156388,0.0344921
Gm5468,-2.516275,-2.0481849,0.01186026638623348,0.04462130464829091,0.005623242736644799,0.03846748030279623,0.0038736553,0.015924487
Drd1,-2.516354,-0.58462,0.011857596664751092,0.04461750768545888,0.02858481724461106,0.06221999073072764,0.02061869,0.03076361
Pgbd1,-2.5227997,-0.9428927,0.011642466026739486,0.04386330091678211,0.016869728209934397,0.05016993665997219,0.011763036,0.022491692
4933407E24Rik,-2.5229905,-3.4871573,0.011636154843716528,0.04384567110512734,0.0023430178069353325,0.03518461300787888,0.0013753142,0.015314751
Tcn2,-2.5239174,-2.736588,0.011605517426343066,0.043736360904044626,0.007966260543580132,0.040784798393326126,0.005482258,0.03598391
Gm3364,-2.524015,-3.981581,0.011602301437804519,0.04373037447521496,0.0014058106841611997,0.03425768577166692,0.0009044544,0.014192973
Stk11ip,-2.5252383,-0.93103063,0.011561985065450206,0.0435906466547842,0.02155576382380506,0.05495906071373397,0.014614536,0.0276825
Tmem255a,-2.5277243,-0.2691027,0.011480450783387037,0.04328932255818267,0.08575445173383317,0.12208404140274988,0.061380368,0.073514596
Togaram2,-2.5278077,-3.1635904,0.011477720551764794,0.04328510192644492,0.0028116213683223993,0.035725320562335856,0.0016722139,0.014885198
Gm39185,-2.529389,-0.8628694,0.011426136797948239,0.04310266682028207,0.026241799437675725,0.05978680673567125,0.017769406,0.03208491
Smpdl3a,-2.529727,-0.99763435,0.011415129351695124,0.04307214406737347,0.03795688847235239,0.07148926309284721,0.024518428,0.048372544
Gpr88,-2.5308142,-1.7217828,0.011379815226275581,0.04295808304720777,0.01218369259606373,0.04530356866985941,0.007933755,0.025933858
Rhoh,-2.5323381,-4.6749296,0.011330466422406087,0.042783815734970705,0.0023430178069353325,0.035261856944229876,0.0014504069,0.03640576
