names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_STR Prox1 Lhx6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Nxph1,5.162241,5.6232953,2.4401107868443435e-07,0.0034715230624372713,1.0,0.42208373625586476,3.9891877,0.7301713
Gad1,5.1515126,4.403364,2.583939756187027e-07,0.0034715230624372713,1.0,0.2652841946921672,1.937157,0.24736959
Gria4,5.0327754,3.0174582,4.834294210790213e-07,0.004329916181464434,1.0,0.7921636044554278,3.6068878,1.6914681
Grip1,4.9467726,3.8383949,7.545412674250568e-07,0.00506863096392782,1.0,0.7805594355503026,4.105129,1.6428843
Moxd1,4.7922416,5.607298,1.6492820243712163e-06,0.008863241598970915,0.9,0.0906486157372587,1.4965909,0.06869363
Igfbp4,4.68033,4.51644,2.864139431723803e-06,0.012826571088403097,0.9,0.07678808065613696,0.7762037,0.049990784
Vwc2,4.6248446,4.8521957,3.7487951778931405e-06,0.013889250129203185,0.9,0.1609541205544214,1.7098696,0.14563473
Egfr,4.6044664,5.080578,4.135243804749738e-06,0.013889250129203185,0.9,0.11858457791626374,1.7635863,0.13351329
Dpp6,4.574753,1.7170843,4.767823778889126e-06,0.014234602770972313,1.0,0.8216038107517639,2.9063146,1.8339777
Col19a1,4.5362525,4.563767,5.726259931353484e-06,0.01538646043554681,0.9,0.27302030729558396,2.1741745,0.2848744
Scg5,4.460213,2.236658,8.1878256595847e-06,0.016464135679705273,1.0,0.6294903477669138,1.7093954,0.6730659
Astn2,4.4578986,2.8927393,8.27670292403471e-06,0.016464135679705273,1.0,0.6348984635220801,2.6846666,1.0432346
Il1rapl2,4.450465,5.2378874,8.568444359993696e-06,0.016464135679705273,0.9,0.5033845492639949,3.858461,0.8017223
Cntnap3,4.4355593,3.9408557,9.18335031280813e-06,0.016464135679705273,0.9,0.2097704236954264,1.473248,0.1980376
Chrm2,4.427675,3.9652421,9.52542930252709e-06,0.016464135679705273,0.9,0.17434905626589306,1.280433,0.15387666
Gm13629,4.421458,3.684312,9.803727981960713e-06,0.016464135679705273,0.9,0.1763547150890011,1.026958,0.13053611
Kcnab1,4.3868995,2.2571993,1.1497786189328002e-05,0.018173265582779024,1.0,0.6764442534293185,2.368242,1.1067595
Kcnip1,4.363109,3.6791189,1.2822703503364235e-05,0.019141446840855388,0.9,0.2316177787328534,1.4754903,0.2337576
Gm56750,4.348458,3.5252192,1.3709803492515007e-05,0.019388548412835695,0.9,0.17775151319795135,1.0990919,0.16027911
Adra1a,4.330669,3.5051076,1.4865696397710336e-05,0.019972063110323835,0.9,0.19988539092439384,1.1031221,0.1632632
Gpr83,4.2590814,5.5668283,2.0526854200456174e-05,0.026264598684107496,0.8,0.06633000250707353,1.0008916,0.035658132
Pam,4.2054987,1.9770974,2.6050690062166117e-05,0.03181736554410925,1.0,0.7304537803087282,2.3425846,1.2207322
Frmd5,4.194084,2.2568235,2.739763367470975e-05,0.03200758334084569,1.0,0.7400522903907453,2.705792,1.3666434
Klf12,4.1700387,2.0779276,3.045481197512064e-05,0.034096699907145485,1.0,0.7168797679166219,2.222025,1.081248
Frmpd3,4.148876,2.662743,3.3411154747621166e-05,0.03591030912274323,0.9,0.3029261129615701,0.89719725,0.20653619
Kcnmb2,4.1299105,3.5806623,3.6290473223741294e-05,0.03611574131562698,0.9,0.2574048207442427,1.7360414,0.32983068
Thsd7a,4.11775,3.1299794,3.8258893555167066e-05,0.03671487392240496,0.9,0.5789549084918162,2.5441425,0.8502315
A530058N18Rik,4.089076,4.431729,4.330948219383557e-05,0.040128475398219364,0.8,0.10834139178396189,0.9178813,0.06736716
Maf,4.074896,3.2936394,4.603494217618879e-05,0.041231963209139764,0.9,0.22850184448981053,1.3660567,0.26064622
Erbb4,4.0535374,4.0533257,5.044895107591254e-05,0.04257505491625885,0.9,0.7199957021596648,4.158421,1.5671262
Gad2,4.0523605,3.1296985,5.0703452077420284e-05,0.04257505491625885,0.9,0.22330862075140576,1.1930596,0.23305938
Sox6,4.0430837,3.7496355,5.2752807166239784e-05,0.042953573592632216,0.9,0.3095161348089252,2.211048,0.472543
Pde3a,4.029727,4.6814556,5.584164035258904e-05,0.04413131989041375,0.8,0.12624905984742668,1.441922,0.118520744
