names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L6b CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Cux2,-3.2029858,-3.6730661,0.001360106983992706,0.04783517625639268,0.06,0.31003192138015134,0.025601538,0.28576586
Tenm4,-3.2042673,-0.56932557,0.001354067037689533,0.047685165534361404,0.9,0.7481797639969872,1.2767129,1.5759795
Stox2,-3.2066371,-0.6920365,0.0013429624157851809,0.04735616812617823,0.8,0.7478210968042753,0.78093696,1.0688583
P3h2,-3.2261233,-2.986735,0.0012547931204580785,0.04453935422286469,0.08,0.3320182202933898,0.03894058,0.27365655
Iqcj,-3.2274926,-2.3157969,0.0012488030000471937,0.04438536588792076,0.14,0.3801872242745956,0.08366254,0.360788
Nell2,-3.230942,-0.48547158,0.0012338293586582091,0.04403599449394468,0.92,0.7672608586492593,1.266687,1.5192541
Slc44a5,-3.2312667,-1.3140407,0.001232428200361119,0.04403599449394468,0.58,0.6096266274523869,0.40977013,0.8150442
2510009E07Rik,-3.2643669,-2.9655569,0.001097090433586176,0.03956888583954436,0.06,0.32445034252716903,0.030434797,0.21623088
Tmtc1,-3.2774715,-1.4145603,0.0010474127692145041,0.037981081118480066,0.28,0.5122484846311108,0.23712808,0.53846407
Tgfbr1,-3.2821674,-4.3815665,0.0010301238305077756,0.037505999086373885,0.04,0.30271511064882894,0.020174446,0.35402325
Cacna1c,-3.2891984,-0.41481283,0.0010047320794633514,0.036680911651060126,0.96,0.7839388831103619,1.4186397,1.6437756
Cplx2,-3.3043306,-1.5748285,0.0009520345869687614,0.0349469526664626,0.32,0.5500520067429432,0.24281031,0.5981281
Nptxr,-3.3250983,-2.3781705,0.0008838738394326196,0.032623200639497925,0.16,0.4070155302894444,0.07725457,0.34892988
Cpne8,-3.3305316,-1.9852029,0.0008668035228035926,0.03203715358697735,0.2,0.43355690255012375,0.14524639,0.48175958
Calb1,-3.3352451,-3.2135274,0.0008522426978558952,0.031623787309727015,0.08,0.3394784979017969,0.038046908,0.3072851
Thra,-3.3371058,-1.1405525,0.0008465570003687266,0.031461945504713255,0.54,0.6727879200889495,0.40614426,0.7441142
Chn1,-3.3372815,-0.7110608,0.0008460224338022779,0.031461945504713255,0.82,0.7592984469710555,0.8105501,1.1134554
Cdk14,-3.3442507,-0.4195172,0.0008250513522681553,0.030790458104785187,0.96,0.8078978515835157,1.3609232,1.5848159
Gpc5,-3.346138,-1.7949411,0.0008194563351542816,0.03062418876995208,0.46,0.6143610343961838,0.507506,1.1921575
Rfx3,-3.350351,-0.8539957,0.0008070919221809945,0.03024624818549975,0.92,0.7954879667156846,1.1022068,1.5335375
Prmt8,-3.3566446,-1.8696407,0.0007889446856773754,0.029690397344749406,0.22,0.44625372117212436,0.10903284,0.3513507
Tcf12,-3.3857508,-0.7338576,0.0007098383506537891,0.027092835912027432,0.8,0.8127398586851261,1.009631,1.3613319
Trpc6,-3.3926146,-3.653,0.0006922893860670299,0.026498313110571357,0.06,0.32739141350740647,0.035715822,0.37665823
Phactr2,-3.4110386,-3.6017199,0.0006471591347203522,0.025092591558349007,0.08,0.3389404971127291,0.027414458,0.290743
Ptpro,-3.4276195,-2.3105385,0.0006088985878824534,0.023815291202913424,0.16,0.41386607367024136,0.09206812,0.3909638
Dleu2,-3.4351768,-1.2631619,0.000592167422405477,0.023194662740576046,0.52,0.6564326961012876,0.41828507,0.8094006
Foxo1,-3.4485536,-3.7312763,0.000563597460996468,0.02217256775545402,0.08,0.3412718338653563,0.0267623,0.3076499
Bicc1,-3.4601488,-3.0498471,0.0005398771000687278,0.021364503208905327,0.08,0.35135038198056023,0.040499743,0.294364
Gabrg3,-3.4642038,-1.3753409,0.0005318031786838086,0.021076034529843565,0.5,0.6541730927872027,0.63504183,1.194348
Pcdh19,-3.4656522,-1.609071,0.0005289470060338402,0.020993805099156996,0.28,0.5124636849467379,0.20526959,0.52773345
Ptprm,-3.48491,-3.0709615,0.0004923025299594658,0.019773047802706792,0.12,0.38119149241418887,0.08077387,0.5347013
Ccbe1,-3.4889653,-3.9597015,0.0004848942014630865,0.01950465148699571,0.04,0.3193931351099315,0.023144392,0.31064814
Sipa1l3,-3.5140426,-1.5511346,0.0004413421393887442,0.018050020221271775,0.32,0.5353107851224849,0.21207535,0.52608687
Chd7,-3.5585794,-4.251313,0.00037286589674252377,0.01564579442000147,0.04,0.32534701050894876,0.02094413,0.33866942
Atp11c,-3.5951817,-2.371805,0.00032416528988582326,0.013803995783252095,0.18,0.43111796563968297,0.08338015,0.3716115
Wasf1,-3.6001322,-0.84475076,0.00031805546484702684,0.01358688448400574,0.78,0.7182669201248162,0.7150887,1.0562763
Grin2a,-3.6208997,-0.41749316,0.00029358029885722157,0.012641831138290935,0.96,0.8353000251067035,1.9847816,2.2390237
Myo16,-3.633952,-1.9578623,0.0002791129734589126,0.012076917225186765,0.26,0.485994046124601,0.16273642,0.52268887
Actb,-3.6473112,-1.5788516,0.000264998904803261,0.011540551980654169,0.52,0.6839783365015601,0.3696531,0.84845287
Fstl4,-3.6498215,-1.7746296,0.0002624225485317502,0.011465518502517282,0.28,0.5183458269072128,0.23101127,0.63613087
Cttnbp2,-3.662549,-0.34897202,0.00024971804656287396,0.010981872194999057,0.98,0.8155733295075499,1.5960011,1.7933599
Tmtc2,-3.6838694,-1.9546221,0.00022971993144213742,0.010168986092010267,0.28,0.5194576952046196,0.20151968,0.6234701
Vav3,-3.6839309,-2.778303,0.0002296645355988537,0.010168986092010267,0.12,0.3984792511029016,0.06481713,0.3780268
Stard13,-3.6993968,-4.3421392,0.000216112469842257,0.009678236774435743,0.06,0.3469029087909329,0.019498644,0.33601204
Gpc4,-3.699511,-4.5546956,0.00021601533263577744,0.009678236774435743,0.02,0.3215092715469316,0.012687235,0.262419
Tmem200a,-3.7024076,-2.3133013,0.00021356322758429362,0.009596060075568512,0.16,0.430938632043327,0.09703722,0.40976918
Fgf13,-3.7028816,-1.572862,0.00021316447120795697,0.009594186501436857,0.46,0.6395753380438292,0.38362944,0.87174994
Dner,-3.716311,-1.73607,0.00020215268691985312,0.009159937095339719,0.32,0.5451741329220616,0.23227787,0.62648726
Pdzrn3,-3.7358499,-3.3705423,0.00018708235229305205,0.008563718579411088,0.12,0.39388831103618954,0.06480996,0.52621406
Tmcc3,-3.756635,-2.2124453,0.0001722134897692235,0.007997900639972896,0.22,0.48721351457982137,0.14536254,0.5452988
Kirrel3,-3.7617433,-1.2849528,0.0001687331402720131,0.007884973007146072,0.66,0.773286467486819,1.0947938,1.7656927
Hsp90ab1,-3.7658074,-1.3485483,0.0001660117767524671,0.007824508677248383,0.7,0.8095477206699904,0.6252451,1.166959
Tgfbr3,-3.7693534,-2.9333913,0.0001636709828171678,0.007742674838551582,0.08,0.37778415408342597,0.043843035,0.29443583
Raver2,-3.7717586,-2.4690778,0.00016210112581201198,0.007695507509838803,0.14,0.42258168645314015,0.087448165,0.40945384
Pde8b,-3.7734876,-1.259946,0.00016098120008150882,0.007655866984407332,0.5,0.6389297370969478,0.39289558,0.766658
Kcnc2,-3.7931228,-1.8366115,0.00014876448851778353,0.007125315163053197,0.44,0.6041031526846239,0.4164769,1.0456213
Trpc5,-3.815207,-1.642512,0.0001360687912066074,0.006575842481513563,0.36,0.5629998923998422,0.2932421,0.72460204
Sntb2,-3.8305676,-2.0952497,0.0001278479678623545,0.006232210688852627,0.26,0.49406405796061836,0.13510415,0.48126304
Ntng2,-3.8430493,-4.8519406,0.00012151506682407285,0.0059800546622029984,0.04,0.3422761020049496,0.010322945,0.26210177
Slc24a4,-3.8435583,-3.8021994,0.00012126314830239091,0.005978606963092191,0.08,0.3694989419317815,0.02321341,0.28338528
Map7,-3.8594368,-1.2210468,0.00011364862570862855,0.005655071431094165,0.6,0.6967468885621032,0.52265245,0.9556384
Syt17,-3.8771148,-2.2945886,0.00010570253152577854,0.005308835555322747,0.14,0.43929557763351385,0.09461901,0.39668432
Nectin3,-3.8805819,-2.8605354,0.00010420688251517933,0.005243518601466045,0.12,0.41555180947598724,0.071419045,0.43027318
Htr4,-3.897496,-2.490608,9.71924102165256e-05,0.004908947485936171,0.12,0.4232631541192927,0.09207109,0.43309525
Gm10649,-3.9096003,-2.2754097,9.244900078674378e-05,0.004713671064781415,0.14,0.4432767834726158,0.101456136,0.41671255
Cntnap5c,-3.9131374,-2.3331745,9.110461108831233e-05,0.004671719274700291,0.28,0.5087335461425343,0.20278373,0.75745314
Sox2ot,-3.9225118,-2.65881,8.763056592959857e-05,0.004536865715854169,0.18,0.4672716186650407,0.17803587,0.80227625
Ube2e3,-3.9268217,-1.971713,8.607576113749447e-05,0.004473608707474809,0.2,0.4941357913991607,0.1262794,0.42392102
Zfp536,-3.939312,-2.6841676,8.171560153925375e-05,0.004280113476334791,0.22,0.4779599010078548,0.14362738,0.68948543
Man1a,-3.9645824,-2.1604898,7.352454279323019e-05,0.003873734244811951,0.4,0.5585882859294861,0.25163516,0.82381445
Slc44a1,-3.9749925,-1.069018,7.038146876208861e-05,0.0037300790249256825,0.64,0.71023277500807,0.5437613,0.92257154
Stxbp6,-3.9876847,-2.812845,6.672123603793327e-05,0.003550098242255974,0.2,0.4657652164556508,0.123048924,0.6523633
Rtl4,-3.9878778,-1.4727529,6.666696465000673e-05,0.003550098242255974,0.44,0.6289946558588286,0.44765455,0.94280255
Cdh20,-4.0020447,-2.5153923,6.279741801194842e-05,0.003361288091595725,0.2,0.4801119041641261,0.15815248,0.68292904
Ndst4,-4.012595,-3.9257553,6.005482334043142e-05,0.00323381383398275,0.06,0.37634948531257845,0.036601078,0.4488737
Pde7b,-4.0253754,-2.6111033,5.6884513761414304e-05,0.003075426327503425,0.1,0.42283275348803845,0.09688223,0.48337832
Syndig1,-4.031932,-2.9305649,5.532016995912898e-05,0.003002935286468274,0.08,0.4007388544169865,0.054187506,0.3538408
Tenm2,-4.0336437,-0.44954967,5.491856582044089e-05,0.0029932289322418793,0.98,0.9401025788171156,3.0739753,3.3731217
Abi1,-4.0552363,-1.201908,5.0083635551589026e-05,0.0027690273400641915,0.56,0.6775223270327463,0.4102711,0.77327275
Greb1l,-4.092023,-2.3926234,4.2762656356777775e-05,0.002378949433347037,0.14,0.4543954664466841,0.09374648,0.41613257
Stum,-4.0925407,-3.6395586,4.266723453659599e-05,0.002378565543565009,0.08,0.39216670851117247,0.028008752,0.3030652
Rreb1,-4.114853,-3.8107836,3.8742611488797866e-05,0.0021733068281920643,0.04,0.3750224166995445,0.030611243,0.3620149
Kcnq5,-4.12306,-1.2932732,3.7387221603069465e-05,0.00210606843705341,0.82,0.7822172805853449,1.135787,1.8213439
Cdh12,-4.1413174,-1.4909354,3.4531700436214e-05,0.0019492999805064502,0.56,0.6857358057458485,0.6463365,1.2679716
Ppfia2,-4.160979,-0.43617132,3.168865144842348e-05,0.0018074408065172304,0.98,0.8461317743266024,1.7992184,2.0574322
C1ql3,-4.167518,-2.4924026,3.0793417072105755e-05,0.001764219865090579,0.22,0.5096660808435852,0.13526028,0.59608924
Diaph2,-4.1836333,-0.9454875,2.868864898038999e-05,0.0016542145882040323,0.82,0.77271259997848,0.851331,1.277023
Adamts17,-4.2483325,-2.239746,2.1536768767462844e-05,0.0012831329862122542,0.22,0.5077651447222122,0.14647427,0.55678374
Camk2a,-4.2483764,-0.80851907,2.1532550876373146e-05,0.0012831329862122542,0.9,0.7874179548796671,1.0925534,1.4976311
