names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-Epen (for_DEGs),mean_expr_Rest (for_DEGs)
Sash1,36.30045,3.1872878,1.5918037559650888e-288,5.091877014616898e-286,0.783410138248848,0.4162150122503527,1.6289754,0.37153432
Nckap5,36.225895,2.6808035,2.3819247085005088e-287,7.442129874117288e-285,0.8414746543778802,0.5620313312049893,1.9345373,0.6540865
Maml2,36.05872,2.6632152,1.0068792438196622e-284,3.1097523311993476e-282,0.8728110599078341,0.5275447323483555,2.1333578,0.7770405
Gpm6b,36.05646,1.6810305,1.0923668649276093e-284,3.3354429159778253e-282,0.911520737327189,0.8279382285247605,2.4683712,1.4745554
Mir100hg,36.026707,1.9339236,3.1948831423919577e-284,9.645675284951899e-282,0.896774193548387,0.7220283614225258,2.2995844,1.2082415
Sfxn5,35.372665,3.371518,4.4954533293509836e-274,1.2715034837859044e-271,0.7539170506912443,0.4053010616972307,1.5151998,0.2949333
Clu,35.307224,3.8659313,4.5497329202735535e-273,1.26032292337887e-270,0.7456221198156682,0.2651273294231198,1.5592364,0.22916993
Gnao1,35.16432,1.8315148,7.022665818592954e-271,1.925500311689721e-268,0.8709677419354839,0.7701759596109585,2.076249,1.0850598
Slc7a11,35.095062,5.4124265,8.017001819640604e-270,2.15416838893743e-267,0.6654377880184332,0.0742074393050709,1.4018043,0.06944015
Acsl3,34.811775,3.1559231,1.6138026312115802e-265,4.209988029189821e-263,0.7751152073732719,0.4377088128294602,1.5998515,0.36701915
Gpc6,34.7346,2.5965893,2.3676196792983677e-264,6.117109690648764e-262,0.8912442396313364,0.5375306258816541,2.2648487,0.8865448
Arhgef26,34.7266,3.91938,3.1264035100256365e-264,8.000615458513224e-262,0.7069124423963133,0.22744821441829385,1.3406528,0.17099182
Phkg1,34.63951,5.610294,6.426356450727478e-263,1.5697836166458846e-260,0.6506912442396313,0.07413319474348504,1.166438,0.04425735
Myo6,34.4953,2.7896056,9.434173330353501e-261,2.2837498863657527e-258,0.7870967741935484,0.5193778305739105,1.684235,0.4914372
Bcan,34.474537,4.1862216,1.9317514165558434e-260,4.634478621683527e-258,0.695852534562212,0.17521716534263865,1.2987143,0.1366002
Syne1,34.383656,1.5385524,4.425686628917599e-259,1.043142102798385e-256,0.9069124423963134,0.8139431286658252,2.474414,1.556759
Slc39a12,34.31198,5.285393,5.200568577986725e-258,1.2046489456077868e-255,0.6525345622119816,0.09473606058356225,1.1703038,0.05543444
