names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Astro-Epen (for_DEGs),mean_expr_Rest (for_DEGs)
Gm46210,-2.3410218,-0.8918928,0.019231050413712602,0.04991676242431005,0.012903225806451613,0.05531219838146856,0.012832554,0.023682982
Uck1,-2.3434675,-0.42054084,0.019105425486734638,0.04960026887232461,0.01935483870967742,0.06217982032816096,0.023248937,0.030996203
Dhx38,-2.3452091,-0.25191534,0.019016412083838995,0.04937871981955487,0.023963133640552997,0.0671170836736209,0.0304634,0.03617147
Gm10406,-2.345682,-3.7254446,0.018992313958591852,0.049325679109546015,0.0018433179723502304,0.04384141361645259,0.0013835316,0.018147374
Pwwp2b,-2.3458216,-0.51279163,0.018985196954454185,0.049311961543372064,0.01935483870967742,0.06229118717053976,0.020419655,0.029009532
Dynlt1f,-2.3475306,-1.6799301,0.018898324084244866,0.049095810513744516,0.005529953917050691,0.047739253099710444,0.0064351577,0.0204745
Gm31305,-2.3489141,-4.387612,0.01882824402797176,0.04892321023417476,0.0009216589861751152,0.042950478877422225,0.00089694536,0.018608741
Ybx2,-2.3491266,-2.887499,0.018817505000396043,0.04890003475441409,0.003686635944700461,0.04577177221768505,0.0025879138,0.018993508
Cenpu,-2.3491266,-1.8680843,0.018817505000396043,0.04890003475441409,0.005529953917050691,0.04770213081891751,0.0056412737,0.020441167
Neb,-2.3494425,-1.0182768,0.018801551481873287,0.048872756923472496,0.011981566820276499,0.05449550820402405,0.014854653,0.029862296
Gm10544,-2.3526518,-24.108252,0.018640075699862566,0.0484577045332147,0.0,0.042059544138391865,0.0,0.017922932
Myo5c,-2.3530614,-2.69594,0.01861955751313811,0.04841373237642936,0.003686635944700461,0.045846016779270915,0.0030344205,0.019500807
Iah1,-2.3532834,-0.25965115,0.018608443766550027,0.04838951746900215,0.025806451612903226,0.06927017595961096,0.029843196,0.035624277
Gpr75,-2.353337,-0.704117,0.018605762007822105,0.04838722659215834,0.013824884792626729,0.056462989086049443,0.015310815,0.0248248
Slc35f2,-2.3535724,-2.7065327,0.018593985429979122,0.048361280466899526,0.0027649769585253456,0.044955082040240554,0.0032036693,0.020729186
Grem1,-2.354539,-3.3482533,0.01854570277354777,0.048245041487581436,0.0018433179723502304,0.043989902739624324,0.0019756556,0.01994015
Erich6,-2.355582,-2.0711007,0.018493718872658483,0.04811912715293245,0.003686635944700461,0.045957383621649715,0.0046495656,0.019394029
9530080O11Rik,-2.3573923,-2.2098048,0.01840378899950932,0.047908332727844935,0.0027649769585253456,0.04502932660182642,0.0040942724,0.01880158
Podxl,-2.3655376,-0.6223573,0.018003917943875077,0.04689011099660011,0.016589861751152075,0.05969262751503453,0.020697245,0.031685766
Gm11817,-2.3655586,-2.8927073,0.018002894381284953,0.04689011099660011,0.0018433179723502304,0.04421263642438191,0.0025827908,0.019024123
E130006D01Rik,-2.3656926,-2.6393588,0.017996381995329925,0.046879571906399915,0.003686635944700461,0.04606875046402851,0.0030694706,0.018972749
C1ql2,-2.368795,-0.39564046,0.01784614983480502,0.046501750005935885,0.03317972350230415,0.07717722176850546,0.045001242,0.05879006
4933404O12Rik,-2.3704407,-0.98987,0.017766893167451222,0.04630870301769467,0.011059907834101382,0.05397579627292301,0.012065372,0.023821048
Rsad1,-2.3709517,-0.25511554,0.017742349563468013,0.04624921738168272,0.02488479262672811,0.06863909718613112,0.027070697,0.03222344
Matr3,-2.3712924,-0.25493136,0.017726003672171215,0.0462110913623014,0.5557603686635945,0.7739995545326305,0.91411877,1.0236924
Tsbp1,-2.377363,-0.49698552,0.017436921311738945,0.04547952588297665,0.018433179723502304,0.06184571980102457,0.020011485,0.028126642
Gm15832,-2.379424,-0.7005262,0.01733971259088225,0.04523037348966179,0.011059907834101382,0.054124285396094735,0.014480849,0.023427442
