names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Stard3nl,-2.7332416,-0.37122318,0.0062714314310744436,0.0496098307234247,0.3782178217821782,0.28216434,0.2247717
Ugp2,-2.7354875,-0.4252324,0.006228795809440509,0.049427875335749355,0.33861386138613864,0.27320492,0.21023491
Pak6,-2.7370918,-0.45903838,0.006198501752113979,0.04926512442287906,0.35445544554455444,0.2827686,0.21328408
Bcs1l,-2.7391772,-0.58305323,0.006159317826158817,0.049031091311793895,0.2297029702970297,0.18020254,0.12382187
Ywhae,-2.745273,-0.26479396,0.006046055904584895,0.048358842699896654,0.8118811881188119,0.7882982,0.6923917
Gm26901,-2.7459147,-0.43145064,0.00603424341408245,0.048349984796018056,0.35247524752475246,0.26141855,0.20011523
BC031181,-2.7470376,-0.54874116,0.006013621575304032,0.04825272451259889,0.3485148514851485,0.2834263,0.20212528
Scn9a,-2.7488024,-0.6641037,0.005981344090536474,0.048070339179331435,0.24158415841584158,0.23478211,0.15444048
Gm57038,-2.7489629,-0.76733565,0.005978417528379908,0.048070339179331435,0.1801980198019802,0.16296726,0.098927885
Itgbl1,-2.7492836,-0.62721056,0.005972568274469247,0.048070339179331435,0.19405940594059407,0.18512425,0.12369081
Gm45645,-2.7603526,-1.2200493,0.005773900333586561,0.04677648942817109,0.09108910891089109,0.10519425,0.04651821
Rpl28,-2.7603526,-0.43454784,0.005773900333586561,0.04677648942817109,0.4415841584158416,0.34825248,0.268687
Zcchc4,-2.7672508,-0.45269603,0.005653126511024101,0.04594591119129354,0.25544554455445545,0.19136472,0.14332108
Gstz1,-2.7680528,-0.3106398,0.005639231969265447,0.04587000479039019,0.598019801980198,0.47306708,0.3972502
Gm26981,-2.7694967,-1.1956847,0.0056142994086270295,0.045704118872169915,0.10495049504950495,0.10608923,0.04770617
Gm11659,-2.7701383,-1.1622499,0.005603250227813992,0.04565107588518358,0.100990099009901,0.100451216,0.04613409
Kcnk2,-2.7711008,-0.45242667,0.005586713240207857,0.045575648643418266,0.4613861386138614,0.49639252,0.38509545
Gm49003,-2.7712612,-0.7969672,0.005583961360949807,0.045575648643418266,0.1782178217821782,0.14963482,0.088835455
Gas5,-2.7717423,-0.47272795,0.005575713060015107,0.04557421307983127,0.4099009900990099,0.31491667,0.23643634
Wls,-2.7723842,-0.35442868,0.005564732427082867,0.04552140986248941,0.5188118811881188,0.529182,0.43541455
Ikzf2,-2.7730258,-0.6454445,0.005553771311189056,0.04550567705750512,0.3108910891089109,0.2967965,0.19959086
Hsbp1,-2.7759135,-0.5660854,0.005504687004580094,0.04525077398867065,0.2851485148514851,0.22328955,0.15613586
Sgcd,-2.7789614,-0.36025402,0.005453300866566858,0.044864983436542695,0.8752475247524752,1.949941,1.739798
Hmgcr,-2.7791219,-0.46780965,0.0054506083668746826,0.044864983436542695,0.41188118811881186,0.3286906,0.24793589
Rpl23,-2.7794425,-0.4073308,0.005445226967394305,0.044864983436542695,0.4158415841584158,0.32772142,0.25650835
Lrp12,-2.7794425,-0.4393885,0.005445226967394305,0.044864983436542695,0.4693069306930693,0.38624412,0.29837334
Ndufaf4,-2.7794425,-0.4052282,0.005445226967394305,0.044864983436542695,0.48514851485148514,0.3674178,0.28913558
Atp5e,-2.7842553,-0.44850978,0.005365079506890772,0.04439305721806908,0.3900990099009901,0.31902552,0.24324113
Gm15478,-2.7845762,-1.2497321,0.005359774410281338,0.04438563183514233,0.09504950495049505,0.10768296,0.04670377
2410006H16Rik,-2.7873032,-0.8726179,0.005314871993412997,0.04415904370764759,0.14257425742574256,0.13768314,0.07753399
