names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Emx1_Mutant (for_DEGs)
Sgsm1,5.2215214,0.55626434,1.7745919183903966e-07,7.2642848041428025e-06,0.7564356435643564,0.49445534,0.6629512
Srrm4,5.2104526,0.5860688,1.8838079085128167e-07,7.680139934706098e-06,0.7801980198019802,0.52649045,0.71308106
Sntg1,5.204677,0.3430607,1.9433412404269663e-07,7.890905762540142e-06,0.9881188118811881,1.9837253,2.191974
Sv2b,5.1974583,0.3698769,2.0203187072951922e-07,8.170525856410677e-06,0.9524752475247524,1.2472781,1.4364808
Cyfip1,5.1887956,0.5140058,2.1165859470480522e-07,8.491641628196767e-06,0.8396039603960396,0.6352824,0.81865
Mark2,5.185908,0.36051926,2.1496490486290602e-07,8.590065841148666e-06,0.9108910891089109,0.8324069,0.9811682
Miat,5.1705074,0.4374776,2.3345890659123832e-07,9.219337997544195e-06,0.9148514851485149,0.9138681,1.106303
Ylpm1,5.149172,0.31804356,2.6163921807440584e-07,1.0172613613935393e-05,0.9742574257425742,1.2122726,1.3720574
Abr,5.147086,0.38997746,2.645636467257237e-07,1.0207493956046122e-05,0.9405940594059405,0.9610078,1.1363492
Btaf1,5.1193337,0.39798614,3.0661721441821874e-07,1.160765168868971e-05,0.9207920792079208,0.8747488,1.0446689
Gm20063,5.11805,1.3497796,3.087104296967832e-07,1.1639199258329949e-05,0.4514851485148515,0.17109479,0.38906574
Hspa4l,5.11035,0.673988,3.215624763917279e-07,1.2037673372731229e-05,0.7188118811881188,0.45490608,0.6518229
Cdk14,5.086768,0.2803142,3.642164474316658e-07,1.3484042741312041e-05,0.994059405940594,1.8398646,2.005713
Adgrb2,5.067197,0.5738153,4.0371648392901294e-07,1.4837317493303504e-05,0.7089108910891089,0.3716683,0.512842
Ptchd4,5.046984,0.9388265,4.4883891470373924e-07,1.6435664985696924e-05,0.695049504950495,0.7123681,1.0957326
Nsf,5.032225,0.29448062,4.848189333384229e-07,1.7625005988151328e-05,0.9881188118811881,1.4708544,1.6316305
Zfp804b,5.027252,1.0672883,4.975575404857189e-07,1.802303752766615e-05,0.6673267326732674,0.77876025,1.2441832
Chd2,5.0226,0.39619303,5.097661006762579e-07,1.8333373692178278e-05,0.8772277227722772,0.8133183,0.97535884
Qrfpr,5.01875,1.3069123,5.200877242056151e-07,1.8638019155695886e-05,0.4514851485148515,0.206658,0.44977707
Dync1h1,5.006077,0.47131738,5.555059482263664e-07,1.976658974784279e-05,0.8415841584158416,0.60204744,0.7631124
Gm28175,4.9890723,2.112557,6.06699503283408e-07,2.135478095431957e-05,0.31287128712871287,0.057598047,0.2282504
Cplane1,4.9789658,0.30387565,6.392494174345098e-07,2.2191977895623166e-05,0.9405940594059405,1.056976,1.1993281
Neto1,4.9776826,0.5069164,6.435012458313768e-07,2.2191977895623166e-05,0.8950495049504951,1.0008928,1.236966
Cacnb4,4.975276,0.38266554,6.515469985630368e-07,2.2392758619555566e-05,0.9881188118811881,1.733018,1.9562114
Itsn2,4.9590735,0.44740468,7.083010821545864e-07,2.426051665747172e-05,0.8574257425742574,0.68380356,0.8493909
Camk2a,4.9380584,0.28254715,7.890413536211956e-07,2.6934394681238778e-05,0.9801980198019802,1.5397,1.6966591
3110039M20Rik,4.935492,0.58201367,7.994900960534284e-07,2.7198869146141972e-05,0.7326732673267327,0.44159445,0.60490465
Nell1,4.9295564,1.0827107,8.241657362862437e-07,2.7943935907079036e-05,0.6257425742574257,0.66238904,1.0951738
Tshz2,4.916562,1.33631,8.807718816379029e-07,2.9663454341450442e-05,0.42574257425742573,0.25084564,0.5422779
Nfix,4.9139957,0.7880181,8.923877607004997e-07,2.9954482500846773e-05,0.6198019801980198,0.30979002,0.4867576
4732471J01Rik,4.8876867,0.49639946,1.0202776768557126e-06,3.4020517238202074e-05,0.8138613861386138,0.66580236,0.847834
Pakap,4.8692384,0.40164623,1.1202925449653587e-06,3.7109690551977505e-05,0.8851485148514852,0.87784183,1.0497559
Cdh20,4.852715,0.9518797,1.2178265272776142e-06,4.02082397694609e-05,0.6277227722772277,0.60369253,0.956795
Tcaf1,4.843892,0.36695412,1.2732024281748078e-06,4.1830224337893684e-05,0.9366336633663367,0.94929326,1.1127192
Prkcz,4.820952,0.47722793,1.428749090293695e-06,4.641130109437906e-05,0.8237623762376237,0.5622912,0.7181208
Hs6st3,4.812289,0.44556198,1.4921132714032724e-06,4.8158912317406905e-05,0.9405940594059405,2.4294713,2.714629
