names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_STR-PAL Chst9 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Robo2,-3.623251,-1.1519086,0.00029092341665783243,0.04653042979521403,0.7241379310344828,0.7863952404845531,1.0864252,1.6795951
Jph1,-3.624691,-2.114237,0.0002893071505469866,0.04653042979521403,0.20689655172413793,0.5757293383986811,0.19538043,0.6597022
Nfia,-3.6261656,-1.641518,0.00028766081406876966,0.04653042979521403,0.41379310344827586,0.7400544763816214,0.6316909,1.3212217
Rtl4,-3.6855452,-1.6976938,0.00022821347899754782,0.037852445559654994,0.27586206896551724,0.6290230091032901,0.39397976,0.9424857
Epha5,-3.6892436,-1.0186169,0.00022492180611397567,0.03753819211355606,0.7931034482758621,0.8533438463192603,1.4320275,2.0091736
Brinp1,-3.689497,-1.1676223,0.0002246978483158756,0.03753819211355606,0.6896551724137931,0.7804816859006523,0.99846005,1.5790964
Shisa6,-3.6978269,-2.098783,0.00021745319929662293,0.03698080674114087,0.3448275862068966,0.6181277327790122,0.359476,1.048347
Nwd2,-3.7092557,-2.4474037,0.00020786943928613772,0.035576126328780384,0.13793103448275862,0.5343344563113755,0.15901358,0.66272676
Spock1,-3.7343256,-2.0996354,0.00018821891612231763,0.0328405342610823,0.3448275862068966,0.6116407425990968,0.31070477,0.94069594
Syndig1,-3.73436,-28.660467,0.00018819307167100823,0.0328405342610823,0.0,0.4005806035409648,0.0,0.35367158
Slc23a2,-3.7358348,-2.2024775,0.00018709347718303188,0.0328405342610823,0.1724137931034483,0.5638663895061286,0.13623072,0.51386833
Sobp,-3.7571373,-1.3683459,0.00017186823957587966,0.030993957029556284,0.5172413793103449,0.7403411941796287,0.62201965,1.1716241
Edil3,-3.7714694,-1.5648139,0.0001622890158090672,0.029464228748578618,0.5862068965517241,0.7590136907748548,0.7510604,1.4612094
Nipa1,-3.780214,-2.7187247,0.00015669364199239844,0.028641892247181944,0.10344827586206896,0.5080997777937065,0.07553606,0.41641042
Ncoa1,-3.7895114,-1.2071881,0.00015094384102068084,0.02777986991935407,0.5862068965517241,0.787219554153824,0.70993984,1.2199678
Pcsk2,-3.834939,-1.3541565,0.00012559542802664618,0.02393439114238286,0.6206896551724138,0.7704465629703964,0.84891146,1.4857472
Tle4,-3.870712,-2.3068292,0.00010851793809539405,0.02082769283302313,0.1724137931034483,0.5838291161923876,0.18524787,0.6966357
Slc8a1,-3.887164,-0.9773663,0.00010142219633559194,0.01974793054737214,0.9310344827586207,0.8769622249301126,1.6762996,2.2571876
Nrxn1,-3.8931205,-0.72914195,9.896297016468605e-05,0.0194097445863147,0.9655172413793104,0.9668124148806537,3.135347,3.6233428
Elavl2,-3.9106095,-2.6791513,9.206352119791996e-05,0.018220576524245496,0.13793103448275862,0.5430435094258476,0.1499238,0.71096134
Slc24a2,-3.9124067,-1.3990188,9.138082373460725e-05,0.018220576524245496,0.6896551724137931,0.8156762956060497,1.0904005,1.826117
Zfyve28,-3.9145842,-2.8876123,9.056011516863566e-05,0.018220576524245496,0.10344827586206896,0.5098200845817504,0.07333628,0.44668326
Trpc5,-3.935449,-2.478902,8.30413294117801e-05,0.01690394334314039,0.1724137931034483,0.5630420758368576,0.17460008,0.7244007
Dab1,-3.941555,-0.86387014,8.095504007077672e-05,0.016605052875586036,0.896551724137931,0.8777506988746326,2.0616844,2.6014435
Far2,-3.9558759,-28.544086,7.625478158499507e-05,0.015761276778375518,0.0,0.42434234105082075,0.0,0.33031446
Nos1ap,-3.967247,-1.7216387,7.27076075727025e-05,0.015144600119988498,0.41379310344827586,0.7004515805318615,0.42603076,1.0122764
Sv2b,-3.9752543,-2.250369,7.03041173484206e-05,0.01475837213400048,0.2413793103448276,0.6222493011253674,0.2977651,0.9746749
Tenm2,-4.018954,-0.9564497,5.845716826205297e-05,0.012424421857790724,0.9310344827586207,0.9401834993907247,2.7420135,3.3732407
Fstl4,-4.0436316,-3.1958306,5.26295510610228e-05,0.011404484169432925,0.10344827586206896,0.518349939072468,0.09258273,0.6359698
Myrip,-4.0788403,-3.2036643,4.526093551993923e-05,0.010060885306054295,0.06896551724137931,0.5103935201777651,0.06207865,0.4637673
Tanc1,-4.1346483,-2.993077,3.5549868040994466e-05,0.008164315848389071,0.13793103448275862,0.5459823668554226,0.113526374,0.67149717
Pip5k1b,-4.1650867,-2.5355484,3.1123393284105355e-05,0.007400757323397441,0.1724137931034483,0.5939000788473945,0.19092575,0.7973801
Mlip,-4.165836,-2.5349717,3.102139100499928e-05,0.007400757323397441,0.1724137931034483,0.5891692351802739,0.17489956,0.7456
Ptchd4,-4.1717577,-5.4468083,3.0225902923067246e-05,0.007316846950836188,0.034482758620689655,0.4699663106587341,0.018435458,0.59418356
Nav3,-4.1934404,-0.6726641,2.7475540270603192e-05,0.006899698757673904,0.9655172413793104,0.8980718228084008,2.2712727,2.6983213
Cntnap5a,-4.207358,-2.2724593,2.5837392575511094e-05,0.006549535268905501,0.41379310344827586,0.7058275392444986,0.5100193,1.4385238
Itga8,-4.228119,-3.2637916,2.356534273179436e-05,0.006147580186439946,0.13793103448275862,0.5443695792416314,0.10191612,0.708298
Il1rap,-4.2302384,-2.344077,2.3344355585211397e-05,0.006147580186439946,0.20689655172413793,0.6414593935918572,0.259367,0.91767013
Csmd1,-4.261115,-0.61374354,2.0340944190213802e-05,0.005465611703910449,0.9655172413793104,0.9436957924163143,3.1745856,3.5854042
Lrfn5,-4.2784657,-0.935086,1.881858728491166e-05,0.00515974939128139,0.9310344827586207,0.858468926958641,1.7247806,2.2840981
Gm20754,-4.2936506,-2.012201,1.7575899558428652e-05,0.005024089586542318,0.5862068965517241,0.7453229159200058,0.6843766,1.6021134
Ptpre,-4.334562,-3.2129905,1.4605066618493231e-05,0.004265631956944708,0.06896551724137931,0.5447638162138915,0.073935606,0.53740805
Slc17a7,-4.4008656,-2.083884,1.078198396480054e-05,0.003368743129467332,0.3103448275862069,0.7150741882302344,0.32970205,0.9767241
Slc24a3,-4.468379,-1.9322492,7.881449931130784e-06,0.0024914654076409904,0.4482758620689655,0.7305927890473801,0.4741951,1.1986258
Ccdc85a,-4.554557,-2.3015625,5.249613138895353e-06,0.001699483193278532,0.27586206896551724,0.6941079492509498,0.34388566,1.1063548
Hs3st4,-4.6304,-3.633338,3.6495990735894397e-06,0.0012413256595866866,0.1724137931034483,0.6056555085656942,0.15642256,1.131765
Nrg3,-4.737811,-0.85324085,2.1603912756496865e-06,0.0007844555888744199,0.9655172413793104,0.9477815210379185,3.042455,3.6123462
Magi2,-4.753503,-0.6596135,1.99922405972874e-06,0.0007358787737659075,1.0,0.9233388287577952,2.5359437,2.9636624
Cdh12,-4.882792,-2.7925866,1.045940722004091e-06,0.00040149181714642753,0.3448275862068966,0.6858648125582395,0.31371206,1.2678494
Mical2,-4.887389,-2.6048126,1.0218200824109623e-06,0.00039791747267221096,0.20689655172413793,0.6921009246648986,0.25537854,1.0188054
Epha7,-4.9171944,-2.5951235,8.779347518847696e-07,0.00034740349626956476,0.3448275862068966,0.7096265500680955,0.35845697,1.2823224
