Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.012269569598359016,769,0.014297569406896032,1264
CA2,-0.050288084402228844,44,-0.0161804772766032,73
CA3,0.1230942073823514,426,0.1320706832113247,672
CTX,0.09744283211933205,1468,0.1097302974553888,2225
Cajal-Retzius,0.09872534701029459,25,0.079468313270145,40
Car3,0.1445768047342397,44,0.12499335044188518,29
ENT CTX,0.11066890314703981,1338,0.0963282379877821,2672
Immature GC,0.04501842176323033,354,0.0920494590651891,149
Mature GC,-0.013199465785750555,1326,-0.00315442569480084,808
PPP,-0.00017806718670988138,131,0.0049473034796204,668
ProS,0.07851738460540772,125,0.08961975381307308,241
Subiculum,0.020034248263574462,153,0.010763682081035121,268
