Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.44000326822919056,769,0.4448476219664124,1264
CA2,0.44691168454906244,44,0.45040543693704543,73
CA3,0.5043055264438897,426,0.4935928149085213,672
CTX,0.45751985827396213,1468,0.4624297779220741,2225
Cajal-Retzius,0.3014066244037041,25,0.2647177836698048,40
Car3,0.38251754191564963,44,0.36874970341885305,29
ENT CTX,0.3777339398251092,1338,0.38036088472462115,2672
Immature GC,0.44511624534950955,354,0.448922957317901,149
Mature GC,0.44627485630427566,1326,0.4452261837063912,808
PPP,0.4058904431022934,131,0.38950248898153544,668
ProS,0.40899037893722595,125,0.40615757903168,241
Subiculum,0.3563404940721769,153,0.3339865673838272,268
