Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.09548231808791455,769,0.08935573272430615,1264
CA2,0.028193312181948583,44,0.03437691806463868,73
CA3,0.13370700478331757,426,0.12941586735145388,672
CTX,0.10097111170359459,1468,0.1081746143876146,2225
Cajal-Retzius,-0.06722690863321827,25,-0.08552722273762021,40
Car3,0.17592877846971278,44,0.14153613917234056,29
ENT CTX,0.12172051692889166,1338,0.11991411826792416,2672
Immature GC,0.05180894953995871,354,0.09384818286710385,149
Mature GC,0.0645314557344172,1326,0.05456844439729705,808
PPP,0.07867088319867017,131,0.08560024234008956,668
ProS,0.09956013633378756,125,0.0944524540719987,241
Subiculum,0.08192818743103394,153,0.07731203866020998,268
