Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.12302410212169904,769,0.13067317042037488,1264
CA2,0.09799759605347359,44,0.1071503076231033,73
CA3,0.14520278576244086,426,0.15020099157402284,672
CTX,0.13230282291496925,1468,0.1333037923829461,2225
Cajal-Retzius,0.10348389792588267,25,0.1306798181876449,40
Car3,0.14402460663788547,44,0.1461548179166729,29
ENT CTX,0.11953647220311106,1338,0.11748781628886291,2672
Immature GC,0.14905221749352515,354,0.14477832685380973,149
Mature GC,0.15422759533330047,1326,0.15442971244468423,808
PPP,0.08456898228749969,131,0.09429288736468165,668
ProS,0.04843513561210569,125,0.058140702334844384,241
Subiculum,0.14064977384101887,153,0.1342221513751439,268
