Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,-0.08321274848955551,769,-0.07505816331741011,1264
CA2,-0.07848139658417742,44,-0.05055739534124187,73
CA3,-0.010612797400966184,426,0.0026548158598708343,672
CTX,-0.0035282795842625303,1468,0.0015556830677742079,2225
Cajal-Retzius,0.16595225564351287,25,0.1649955360077652,40
Car3,-0.0313519737354731,44,-0.01654278873045538,29
ENT CTX,-0.011051613781851852,1338,-0.023585880280142035,2672
Immature GC,-0.006790527776728386,354,-0.0017987238019147444,149
Mature GC,-0.07773092152016775,1326,-0.05772287009209789,808
PPP,-0.07884895038538005,131,-0.08065293886046916,668
ProS,-0.021042751728379844,125,-0.0048327002589256315,241
Subiculum,-0.0618939391674595,153,-0.06654835657917485,268
