Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.3530019852111646,769,0.3548813009655965,1264
CA2,0.42304201493163807,44,0.4272874615563894,73
CA3,0.39758043002275556,426,0.39201713101610247,672
CTX,0.41034098103270344,1468,0.4113864856611432,2225
Cajal-Retzius,0.42166717991818287,25,0.4573653700941124,40
Car3,0.2275168074507249,44,0.22151957056707486,29
ENT CTX,0.3777669594750699,1338,0.3696430229869781,2672
Immature GC,0.4183916683383501,354,0.42298726492948335,149
Mature GC,0.3807259842038273,1326,0.3907582774625261,808
PPP,0.2735679660649834,131,0.294991221247505,668
ProS,0.3838230039838693,125,0.3792963292796164,241
Subiculum,0.3303742175276666,153,0.32278410436609134,268
