Gene_Set,Score_Type,N_Cells,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,N_Up_Genes,N_Down_Genes
Hippocampal migration (neurons),negative,15368,0.3787622584635483,0.09551029279861735,0.38205838184314206,-0.04719342662921727,0.8243246752222821,10,26
Migration (cell autonomous),negative,15368,0.275612867469789,0.06143721641173832,0.27926988169643274,-0.014921478504331898,0.5268252684266215,21,45
Migration (non cell autonomous),negative,15368,-0.03179899384204796,0.08869109304935957,-0.0401474008671277,-0.2669436518896973,0.6168754871164926,9,21
Axonal guidance (cell-autonomous),negative,15368,0.42781023850975664,0.07327948526999276,0.4354582268544222,0.03955589039006431,0.6827949743545398,92,101
Apoptosis,negative,15368,0.12888077128334194,0.07181263842806469,0.1311482433882699,-0.210951221224727,0.4640853034833039,36,31
