Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.08071200393819908,769,0.10013165133357982,1264
CA2,0.143119375158698,44,0.17569153897060885,73
CA3,0.17343663252308786,426,0.1869172399702256,672
CTX,0.17499624412657142,1468,0.1909604098230712,2225
Cajal-Retzius,0.07158283652351016,25,0.08558241286731902,40
Car3,0.1307377913916782,44,0.14230300095280987,29
ENT CTX,0.1761746041825152,1338,0.1654429791597923,2672
Immature GC,0.10284256456358187,354,0.11025145287176943,149
Mature GC,0.03514448001947604,1326,0.050439416160987044,808
PPP,0.10063354181922683,131,0.09363126361917354,668
ProS,0.14892530807858417,125,0.1510737608431168,241
Subiculum,0.10895592825753349,153,0.09515637764798554,268
