Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.2751388081516985,769,0.2713774370880764,1264
CA2,0.32038288414542904,44,0.3346766596765402,73
CA3,0.30254402382739587,426,0.29868827429617295,672
CTX,0.29071736768371914,1468,0.2888052948009575,2225
Cajal-Retzius,0.14663121675592294,25,0.13390500592457774,40
Car3,0.19029160544761378,44,0.18155708376343888,29
ENT CTX,0.25423023905207204,1338,0.2537035896630582,2672
Immature GC,0.313176090468362,354,0.2900210653449857,149
Mature GC,0.30144713549668,1326,0.2906931101062632,808
PPP,0.26448277692081,131,0.2629913853704552,668
ProS,0.25681442055472553,125,0.25260286096219514,241
Subiculum,0.2412156016882489,153,0.22565543261470938,268
