Gene_Set,Score_Type,N_Cells,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,N_Up_Genes,N_Down_Genes
Hippocampal migration (neurons),positive,15368,0.3186655986928565,0.1460908971619958,0.3229091979750437,-0.3499461418420226,0.9927466684849418,10,26
Migration (cell autonomous),positive,15368,0.13715449969939356,0.10489457559750814,0.14031431652250748,-0.2453925323486328,0.5720226723807199,21,45
Migration (non cell autonomous),positive,15368,0.06707956319543519,0.13447440370774247,0.06731206893920898,-0.2950908088684082,0.6230651643541124,9,21
Axonal guidance (cell-autonomous),positive,15368,0.4638155877679295,0.0776747014409527,0.46955368370560663,0.06486199667638723,0.74614608591833,92,101
Apoptosis,positive,15368,0.05990982025602094,0.05772579043532254,0.06106607308754554,-0.2133332237830529,0.35880764657324493,36,31
