Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.24340785677703117,769,0.26079084377483014,1264
CA2,0.36846448130779696,44,0.3987211568657379,73
CA3,0.41355673276624644,426,0.4012829273625349,672
CTX,0.35950873847199255,1468,0.34760791125428664,2225
Cajal-Retzius,0.3524936757638825,25,0.40111645897429193,40
Car3,0.23854610549091151,44,0.1748525042113306,29
ENT CTX,0.34393349992492067,1338,0.3108543070573104,2672
Immature GC,0.3890378778121528,354,0.39146181043655953,149
Mature GC,0.33188937150653286,1326,0.34944870569120684,808
PPP,0.12002120952601811,131,0.1351288262730802,668
ProS,0.3068087533749528,125,0.2926460912944045,241
Subiculum,0.24895713378021578,153,0.24126073710113563,268
