Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.4840954929312,769,0.48243833183975837,1264
CA2,0.5127008686411583,44,0.5116835293511527,73
CA3,0.5591535381414126,426,0.5403597418150196,672
CTX,0.4977660225121085,1468,0.49864139548228686,2225
Cajal-Retzius,0.34323534936693,25,0.3122947583599377,40
Car3,0.38710714568157994,44,0.37049778544404377,29
ENT CTX,0.4184357127816731,1338,0.41617061208123196,2672
Immature GC,0.4715322691822324,354,0.47431265521460414,149
Mature GC,0.4763282994869312,1326,0.47479024062545827,808
PPP,0.419194129189349,131,0.40326004221023876,668
ProS,0.44448858766648347,125,0.43620402145534065,241
Subiculum,0.3925426798014135,153,0.3643444253617016,268
