Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,0.0715368862235503,769,0.07846598288587658,1264
CA2,0.03712041084702079,44,0.04312576897187745,73
CA3,0.06578213178268288,426,0.06676292136366115,672
CTX,0.06357580864213878,1468,0.06684619981956741,2225
Cajal-Retzius,0.08551226619783339,25,0.0981632585309364,40
Car3,0.07132432300013143,44,0.07408417357509449,29
ENT CTX,0.05120224807018397,1338,0.051359230513862965,2672
Immature GC,0.053150184019514685,354,0.06042063041443371,149
Mature GC,0.05851145027608825,1326,0.06349965773346945,808
PPP,0.025705282877139742,131,0.03633392102590335,668
ProS,0.006935991206116727,125,0.013559451790603033,241
Subiculum,0.09484085079103521,153,0.08741496019379436,268
