Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,-0.19442680421349948,769,-0.1712457857544966,1264
CA2,-0.177263508986731,44,-0.1589851207059314,73
CA3,-0.12910739130430804,426,-0.11177103432594736,672
CTX,-0.11572112355714767,1468,-0.09784488497788628,2225
Cajal-Retzius,-0.07504838023241278,25,-0.04832259305725874,40
Car3,-0.059553814055935635,44,-0.039254082810628935,29
ENT CTX,-0.0780556348695568,1338,-0.08826061050326593,2672
Immature GC,-0.21033352590478013,354,-0.17976961247321627,149
Mature GC,-0.266302655477204,1326,-0.24025369394527613,808
PPP,-0.1638492351015832,131,-0.1693601217512817,668
ProS,-0.10788911247614122,125,-0.10152910011907829,241
Subiculum,-0.1322596734307154,153,-0.13049905496672384,268
