Gene_Set,Score_Type,N_Cells,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,N_Up_Genes,N_Down_Genes
Hippocampal migration (neurons),aggregate,15368,-0.060096659770691785,0.1074377323712917,-0.059959295032111115,-0.5858580029903332,0.5311850359250103,10,26
Migration (cell autonomous),aggregate,15368,-0.13845836777039547,0.10389494159372646,-0.1343312104159735,-0.5309412893049317,0.2607627623902573,21,45
Migration (non cell autonomous),aggregate,15368,0.09887855703748315,0.10689111136135726,0.10175784719778883,-0.6227278979434184,0.5223857036216097,9,21
Axonal guidance (cell-autonomous),aggregate,15368,0.036005349258172836,0.02866423875449057,0.03722411204441997,-0.09493842810076247,0.16587136819484494,92,101
Apoptosis,aggregate,15368,-0.068970951027321,0.05641915869847235,-0.06860134337712337,-0.36364537798917396,0.23241622879562207,36,31
