Cell_Type,Control,Control_n,Mutant,Mutant_n
CA1,-0.05148721589814873,769,-0.0522071875344983,1264
CA2,-0.0608771852064528,44,-0.06402453865122586,73
CA3,-0.07942065397975795,426,-0.08343807021036168,672
CTX,-0.06872701427283046,1468,-0.0664575925633787,2225
Cajal-Retzius,-0.017971631728049265,25,-0.032516559656708494,40
Car3,-0.07270028363775406,44,-0.07207064434157844,29
ENT CTX,-0.06833422413292708,1338,-0.06612858577499998,2672
Immature GC,-0.09590203347401047,354,-0.08435769643937603,149
Mature GC,-0.09571614505721222,1326,-0.09093005471121476,808
PPP,-0.05886369941035996,131,-0.05795896633877831,668
ProS,-0.04149914440598895,125,-0.04458125054424136,241
Subiculum,-0.04580892304998364,153,-0.04680719118134957,268
