names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Lamp5 Lhx6 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Fgf13,23.053162,4.4268374,1.3673102415971531e-117,3.6739626191715507e-113,0.9805825242718447,0.6367177637511271,3.3985045,0.85209656
Gabrg3,22.933956,3.885398,2.1305967942519356e-116,2.8624567930774756e-112,0.9854368932038835,0.651433724075744,3.5299656,1.1759862
Erbb4,22.677742,4.97186,7.430553389177715e-114,6.655298985573507e-110,0.9854368932038835,0.7180883678990081,4.759079,1.5443431
Dlx6os1,22.639568,5.2953143,1.7676862214102742e-113,1.1874432192323518e-109,0.9805825242718447,0.27354373309287644,2.9657497,0.3844456
Galntl6,22.57878,3.9859552,7.005831136794174e-113,3.764933652913189e-109,0.9951456310679612,0.8122993688007214,4.580025,1.9588742
Gad1,22.078072,3.938159,5.1352943682311795e-108,2.2997559945728634e-104,0.9854368932038835,0.2601983769161407,1.6317816,0.23769273
Cntnap4,22.0491,4.309672,9.744235735375687e-108,3.740394488707781e-104,0.970873786407767,0.3471956717763751,2.445723,0.42620972
Grip1,21.99812,3.235187,3.001642709959571e-107,1.0081767452076709e-103,0.9757281553398058,0.7791884580703337,3.6783032,1.6286496
Gad2,21.74698,4.3543825,7.377990405321164e-105,2.2027400243442185e-101,0.9563106796116505,0.2181064021641118,1.8046105,0.22172876
Slc6a1,21.512304,3.7041385,1.1941988618896025e-102,3.2088123418973618e-99,0.9757281553398058,0.3086023444544635,1.718053,0.30078575
Pde4d,21.410904,2.6319883,1.0574011705200583e-101,2.582942677443088e-98,0.9805825242718447,0.8240577096483318,3.5594823,1.8730804
Grik1,21.389265,4.124756,1.681861533591741e-101,3.7659682839675067e-98,0.9805825242718447,0.4958701532912534,3.001741,0.74004966
Kcnmb2,21.38391,4.1630917,1.8864341018378428e-101,3.899114178183295e-98,0.9757281553398058,0.25229936880072135,2.0409184,0.31762406
Rbms3,21.31028,3.6004722,9.114806638912864e-101,1.7493918170542045e-97,0.9757281553398058,0.5080613165013526,2.504982,0.6559269
Unc5c,21.171125,2.9018524,1.7629459783098586e-99,3.1580238958123936e-96,0.9757281553398058,0.8063480613165014,3.5738294,1.7292634
Zfp536,21.134365,3.5911865,3.8431937917435575e-99,6.454163574009337e-96,0.9805825242718447,0.47376014427412083,2.5347636,0.6747907
Dner,20.98097,2.971721,9.787621445890793e-98,1.5470199308887388e-94,0.9805825242718447,0.5415329125338142,2.037263,0.615294
Zmat4,20.894709,3.0419,5.982096281626166e-97,8.929940393738616e-94,0.9611650485436893,0.5984851217312894,2.4957438,0.8550607
Slc2a13,20.819891,2.728662,2.8583762783960497e-96,4.042345821079045e-93,0.9805825242718447,0.6609918845807033,2.4313076,0.94197774
Nxph1,20.455664,4.3507867,5.349031808583252e-93,7.186424234831598e-90,0.9757281553398058,0.4181785392245266,3.1024497,0.7137202
Alk,20.380577,3.8914578,2.4871032076683234e-92,3.18230777095466e-89,0.9368932038834952,0.23559963931469793,1.6728898,0.25588596
Sgcz,20.350573,3.3311114,4.5888974966063144e-92,5.604712533355076e-89,0.9757281553398058,0.7462578899909829,3.8125594,1.6861264
Mctp2,20.17078,5.252872,1.768269307980476e-90,2.065799839366756e-87,0.8495145631067961,0.08880072137060414,1.2160538,0.06039483
Zfp804b,20.142723,4.0923333,3.117179851214373e-90,3.489942608422092e-87,0.9514563106796117,0.4636248872858431,2.880315,0.6861552
Tenm1,20.068699,2.4867127,1.385854070662045e-89,1.489515955147566e-86,0.9805825242718447,0.7511271415689811,2.9835613,1.4694047
Vstm2a,19.843616,2.9392655,1.251251537221987e-87,1.2931203386597996e-84,0.9563106796116505,0.4537060414788097,1.5955585,0.41377297
Unc5d,19.733969,3.0388772,1.1017348027447164e-86,1.096430153694464e-83,0.9805825242718447,0.6358881875563571,2.9787395,1.1850508
Nyap2,19.645784,2.5958626,6.281773395388721e-86,6.0282589690748184e-83,0.9660194174757282,0.6011181244364292,2.1589165,0.818611
Cadps,19.551535,1.7577581,4.002899522927352e-85,3.7088934545192394e-82,0.9854368932038835,0.8282416591523896,3.1128528,1.9951339
A830018L16Rik,19.512758,2.3975463,8.553950744284883e-85,7.661488549964495e-82,0.970873786407767,0.6874301172227232,2.5541606,1.178953
C130073E24Rik,19.354233,3.7925577,1.8776870394192716e-83,1.6275306693288978e-80,0.9271844660194175,0.3393688007213706,2.0434978,0.39526144
Tcf4,19.30892,1.26249,4.5191692026284986e-83,3.794689889832118e-80,0.9951456310679612,0.9334896302975654,3.6136084,2.7755353
Dchs2,19.300734,4.2759147,5.2952224764179535e-83,4.311594786101528e-80,0.8446601941747572,0.16382326420198376,1.1653087,0.107886866
Pam,19.136267,2.2111254,1.2597899072750504e-81,9.95604553190606e-79,0.9805825242718447,0.728692515779982,2.4786596,1.2117916
Maf,18.853827,3.3180904,2.7333984712571683e-79,2.0984690549337177e-76,0.912621359223301,0.2236609558160505,1.3533155,0.25292614
Igsf11,18.619425,2.7441373,2.236037074460572e-77,1.668953227520988e-74,0.9223300970873787,0.42560865644724977,1.4022666,0.3766412
Col25a1,18.183887,3.4151702,6.924654842443953e-74,5.028796638282946e-71,0.9077669902912622,0.4479711451758341,2.1117766,0.5192915
Plcb4,18.15501,2.7708411,1.1720550820914683e-73,8.287663172578356e-71,0.9271844660194175,0.32696122633002705,1.2415437,0.30790764
Astn2,18.033615,2.6781752,1.0612246277368975e-72,7.311565576228316e-70,0.9660194174757282,0.6325698827772768,2.5318959,1.0327657
Hapln1,17.863792,4.622771,2.2576562274686434e-71,1.5165805708020611e-68,0.7718446601941747,0.0836068530207394,0.9732232,0.06468977
Ptprt,17.823488,2.915719,4.644730368405018e-71,3.0439976829034837e-68,0.9514563106796117,0.6179981965734896,2.8223374,1.1300932
Gabrb2,17.758528,1.9310734,1.4806730880999308e-70,9.472782351725033e-68,0.9757281553398058,0.7196032461677186,2.2905164,1.2025651
Sox2ot,17.548363,3.0416985,6.121886034921419e-69,3.825466924612524e-66,0.9660194174757282,0.4630477908025248,2.3885775,0.7893642
Pde11a,17.281885,4.455473,6.440834125777569e-67,3.9333002945373476e-64,0.7718446601941747,0.19181244364292155,1.7075623,0.18715501
Trpc5,17.124228,2.3957071,9.790161262443437e-66,5.845814069374559e-63,0.9223300970873787,0.5599639314697926,1.8715119,0.71530193
Rph3a,17.010216,2.3936143,6.898344177072118e-65,4.029532783433214e-62,0.9077669902912622,0.41756537421100093,1.2223513,0.37556377
Adamts17,16.961296,2.3293145,1.588043171921954e-64,9.078876602030406e-62,0.9174757281553398,0.5042019837691614,1.5420105,0.5487235
Ptprm,16.698902,2.9104288,1.3349891844443477e-62,7.473158205420754e-60,0.9077669902912622,0.3768079350766456,1.8217229,0.5243199
Flrt2,16.562372,2.170869,1.3035363999922275e-61,7.148167973018602e-59,0.9660194174757282,0.6012984670874661,1.8476356,0.78251404
Alcam,16.291079,2.0448382,1.1419588287905837e-59,6.136886745920596e-57,0.9611650485436893,0.7176916140667268,2.3574672,1.1993217
Snhg11,16.288204,1.6356349,1.1969237060444702e-59,6.306145094395081e-57,0.9805825242718447,0.8274481514878269,3.2444751,2.1896935
Rims1,16.282143,1.4149791,1.321611822655203e-59,6.829174937451019e-57,0.9805825242718447,0.8433183047790802,3.0749607,2.1683338
Hcn1,16.135937,1.910837,1.4262784074365735e-58,7.230962416569949e-56,0.9902912621359223,0.7471235347159604,2.6904624,1.5376387
Sox1ot,16.128096,4.1450653,1.6193623725935625e-58,8.057827213257226e-56,0.7087378640776699,0.07927862939585212,0.7380667,0.05988528
Plxdc2,16.074982,2.1634789,3.82101548290087e-58,1.866739745919025e-55,0.9563106796116505,0.6865284039675383,2.3417075,1.1307616
Rps6ka5,15.899198,2.141993,6.418139998021093e-57,3.0795611026219065e-54,0.9029126213592233,0.5299549143372407,1.405333,0.52893084
Afap1,15.89209,2.9037569,7.188991603527831e-57,3.388915866434961e-54,0.7815533980582524,0.22997294860234446,0.8298859,0.15937886
Lin7a,15.834454,2.1341865,1.8001588298506539e-56,8.339701337601218e-54,0.8980582524271845,0.500595130748422,1.3546119,0.50378364
Rab3c,15.811899,1.8872553,2.575819987012201e-56,1.1730895432375905e-53,0.9611650485436893,0.643931469792606,1.8064474,0.86525065
5330434G04Rik,15.799115,1.7604418,3.1551260704871516e-56,1.4129706252331628e-53,0.9514563106796117,0.6440036068530207,1.7127587,0.85069233
Kcns3,15.795291,3.8948097,3.3524446412662184e-56,1.4767243854233327e-53,0.7087378640776699,0.12389540126239856,0.73058754,0.069858775
Cacna2d1,15.786149,1.7161679,3.875260317386145e-56,1.6794878181962212e-53,0.9611650485436893,0.826366095581605,2.9683435,1.8898336
Gria4,15.748318,1.8318793,7.05329285175312e-56,3.0082853797874024e-53,0.9805825242718447,0.7908385933273219,2.810317,1.6838461
Gm45323,15.738656,3.4626389,8.217063601963207e-56,3.44988279663674e-53,0.7475728155339806,0.1733453561767358,1.0048985,0.14589205
