"gene","status","coverage_plot_created","tile_plots_created"
"Cntnap2","success",TRUE,3
"Dab1","success",TRUE,3
"Grip1","success",TRUE,3
"Prkg1","success",TRUE,3
"Nrg1","success",TRUE,3
"Cacna2d3","success",TRUE,3
"Tenm4","success",TRUE,3
"Csmd2","success",TRUE,3
"Frmpd4","success",TRUE,3
"Adcy8","success",TRUE,3
"Shisa9","success",TRUE,3
"Grik4","success",TRUE,3
"Dmd","success",TRUE,3
"Gria1","success",TRUE,3
"Il1rapl2","success",TRUE,3
"Lrrtm3","success",TRUE,3
"Erbb4","success",TRUE,3
"Cacng3","success",TRUE,3
"Gpc6","success",TRUE,3
"Lrrc4c","success",TRUE,3
"Vamp2","success",TRUE,3
"Rab3a","success",TRUE,3
"Ap2m","missing_annotation",FALSE,0
"Pcdh17","success",TRUE,3
"Syp","success",TRUE,3
"Atp6v1f","success",TRUE,3
"Rac1","success",TRUE,3
"Stx16","success",TRUE,3
"Scnb","missing_annotation",FALSE,0
"Cplx2","success",TRUE,3
"Cnih2","success",TRUE,3
