names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MB GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Dr1,-2.5050936,-1.8862596,0.012241899140681134,0.049998454158702244,0.01818181818181818,0.15834915630709706,0.024529051,0.08782698
Vma21,-2.5053415,-2.8420393,0.012233318015897205,0.049971002597622056,0.01818181818181818,0.1577401210905313,0.014123467,0.097116016
Pck2,-2.505625,-1.4940063,0.012223517542426792,0.04993856110156726,0.02727272727272727,0.16777128936337907,0.03138473,0.08599716
Ppp1r8,-2.5056722,-0.43375492,0.012221884806706478,0.04993856110156726,0.045454545454545456,0.18912334754415505,0.076689795,0.10225329
Gm57184,-2.506186,-1.7684815,0.012204141279326196,0.049874566718706444,0.02727272727272727,0.16673234693511985,0.027330507,0.09020426
Rab26,-2.5076563,-0.9487439,0.012153484166405978,0.04968265929580536,0.02727272727272727,0.1699566510228209,0.045020998,0.08515418
Ube2g2,-2.5095515,-1.6172428,0.012088454208603498,0.049424340320325014,0.01818181818181818,0.15924479633145847,0.02893253,0.086231135
Aven,-2.510768,-0.37156826,0.012046884226128865,0.049269372778703587,0.06363636363636363,0.21137104574929244,0.09660896,0.12330136
Ccnjl,-2.5118427,-0.60269344,0.012010262828027312,0.04913455575351612,0.06363636363636363,0.21126356894636908,0.09561803,0.14182013
Tcerg1l,-2.5135963,-2.375666,0.011950713430242656,0.04889838128074009,0.02727272727272727,0.16769963816143016,0.022782408,0.11296464
Nkain1,-2.5142694,-2.3115096,0.011927925700648451,0.04882000968414682,0.02727272727272727,0.1666606957331709,0.02426556,0.11504887
Aida,-2.5153973,-0.86523134,0.01188983259665727,0.04867151155883316,0.06363636363636363,0.2114785225522158,0.068576716,0.12160211
Dgkq,-2.516348,-1.0274488,0.011857806531364494,0.048547807633363395,0.045454545454545456,0.19048472038118439,0.04900707,0.09747618
Snu13,-2.5171332,-2.1674354,0.011831407938993246,0.048447109314347536,0.00909090909090909,0.14924945365958514,0.025580449,0.110105366
Tmem80,-2.5179422,-1.7767577,0.011804269910606268,0.04834335200396135,0.01818181818181818,0.15960305234120303,0.025642449,0.08526126
Vmn2r85,-2.5189223,-1.6779253,0.011771461317943802,0.04821633622151676,0.02727272727272727,0.170279081431591,0.027138842,0.08436373
Bmpr1b,-2.5191822,-1.6693996,0.011762778635639798,0.04818811738674209,0.03636363636363636,0.17851896965571598,0.06576533,0.19574745
Lyrm9,-2.519631,-0.49322024,0.011747794654228714,0.048141412590990626,0.01818181818181818,0.16006878515387096,0.057637274,0.080208376
Pfdn5,-2.5246086,-0.3996669,0.011582722693797202,0.047479444512941386,0.09090909090909091,0.24361408662630316,0.14700346,0.18971586
Rnf185,-2.5246558,-0.32117108,0.011581166083261363,0.047479444512941386,0.08181818181818182,0.235123419195357,0.10978531,0.13538013
Car7,-2.5256832,-1.3363436,0.01154735569757173,0.04734891615958376,0.02727272727272727,0.16852362698384266,0.032707997,0.08061791
Diaph3,-2.5259607,-26.735542,0.011538238045651473,0.04731875095950169,0.0,0.13932576218966072,0.0,0.10592435
Zcchc9,-2.5278974,-1.7655765,0.011474786146834766,0.047080089138105075,0.03636363636363636,0.17984451689177086,0.030669501,0.100654826
Ascc1,-2.528423,-1.6710405,0.011457622520800181,0.04702402888863615,0.02727272727272727,0.16981334861892308,0.031408682,0.09676978
Gtf3c4,-2.5292082,-26.124762,0.011432015975477118,0.04693327261437282,0.0,0.13950489019453302,0.0,0.07061755
Rabl2,-2.5293381,-3.342727,0.011427785206093067,0.04692307281291576,0.00909090909090909,0.14964353527030416,0.0073841084,0.072497986
Qsox1,-2.5298579,-1.737434,0.011410876023384748,0.046860803721282006,0.01818181818181818,0.16021208755776878,0.025267027,0.081878744
Katna1,-2.5302358,-1.8895718,0.011398592389485762,0.046817514140244945,0.03636363636363636,0.17830401604986923,0.026811149,0.09593352
Ints11,-2.5309029,-1.0502282,0.011376932755237455,0.046735695326896566,0.02727272727272727,0.1704582094364633,0.043897603,0.088862896
Nme5,-2.5309975,-0.82055026,0.011373868859212096,0.046730253248781196,0.01818181818181818,0.1606778203704367,0.047948714,0.083186336
Fastk,-2.5320957,-0.41565087,0.011338304785164722,0.046591260066887304,0.02727272727272727,0.17153297746569698,0.07004004,0.09237498
Cars,-2.532869,-0.5900273,0.011313316258262976,0.046502737132994985,0.03636363636363636,0.18163579694049367,0.065078326,0.09641732
Rtn3,-2.533442,-0.742531,0.01129484482360577,0.046433978030949674,0.5454545454545454,0.8664421595672267,1.2318499,1.6216784
Sulf1,-2.5338848,-1.7778444,0.011280581148529069,0.04638243541866505,0.01818181818181818,0.16071364597141116,0.040433493,0.13233721
Prdm4,-2.5345402,-1.6466618,0.011259500262210573,0.04630992990136202,0.00909090909090909,0.1502525704868699,0.025447605,0.07760991
Rab3b,-2.5379944,-1.5724168,0.011148975284370088,0.04589749745534308,0.02727272727272727,0.16945509260917851,0.039075937,0.11200037
Scamp2,-2.538018,-0.6886355,0.011148222886898809,0.04589749745534308,0.06363636363636363,0.2114068713502669,0.08819757,0.13855286
Efcab1,-2.5390396,-0.775755,0.011115724822810352,0.045774639998301024,0.02727272727272727,0.17117472145595242,0.053406984,0.0897704
Ppt2,-2.5396123,-2.8981557,0.011097540208210088,0.04570676048353848,0.01818181818181818,0.15859993551391824,0.01126492,0.08107441
Tmem183a,-2.5410295,-0.82076323,0.011052660882103934,0.04552889742482488,0.03636363636363636,0.18185075054634042,0.060756292,0.10493947
Lima1,-2.541065,-1.1468561,0.01105154096787587,0.04552889742482488,0.05454545454545454,0.1993336438218751,0.07157999,0.15212901
Spryd7,-2.5435863,-1.7205795,0.010972098832814563,0.04521783675425266,0.03636363636363636,0.18084763371905563,0.032961916,0.10475847
N6amt1,-2.5445013,-2.0986645,0.010943387299774409,0.045120272632336714,0.01818181818181818,0.15902984272561171,0.021207446,0.08783168
Txn2,-2.54459,-1.1888523,0.010940612310699083,0.04511575395771706,0.02727272727272727,0.17153297746569698,0.047046125,0.104193
Tvp23a,-2.5446548,-0.6809181,0.010938577716156615,0.04511575395771706,0.03636363636363636,0.18256726256582953,0.060811255,0.09577865
Mrps18a,-2.544968,-0.97283536,0.010928779381914458,0.045087717179800625,0.02727272727272727,0.16970587181599972,0.05193703,0.0995104
Scpep1,-2.5460248,-3.6076908,0.010895744526209462,0.04495833160614991,0.01818181818181818,0.15820585390319922,0.0072835023,0.08536455
E4f1,-2.5470521,-0.64551574,0.010863717525434762,0.04483995236688665,0.03636363636363636,0.18163579694049367,0.060556576,0.093176685
Slu7,-2.5474656,-1.5612069,0.010850856719950133,0.044800633076991406,0.02727272727272727,0.17099559345108015,0.03669413,0.10462664
Atosb,-2.5480561,-1.6586322,0.010832507615895002,0.044738622754242036,0.01818181818181818,0.16139433238992584,0.02747536,0.0842924
Arhgef6,-2.549668,-0.605722,0.010782554912958967,0.0445460102262004,0.045454545454545456,0.19216852362698383,0.08659674,0.12896626
Dph7,-2.5508313,-0.83940315,0.010746635765621293,0.04441127391913936,0.03636363636363636,0.1806326801132089,0.05292759,0.092811495
Doc2b,-2.5512328,-0.8051506,0.01073426199864468,0.044373787677474234,0.045454545454545456,0.19019811557338875,0.066147,0.11287229
Pdlim5,-2.551268,-0.85027176,0.010733170804068918,0.044373787677474234,0.09090909090909091,0.24142872496686132,0.12905887,0.22182596
Gm5820,-2.5514393,-1.695561,0.010727898087151739,0.04436112982483337,0.03636363636363636,0.18142084333464695,0.034211222,0.10681495
Plxnd1,-2.5522602,-1.9298357,0.01070265737003633,0.04427038231725311,0.00909090909090909,0.15121986171318025,0.02333116,0.08612237
Tmem116,-2.5524197,-1.0823113,0.01069776062609665,0.04425694041927899,0.02727272727272727,0.17009995342671874,0.043154955,0.089271754
Inhba,-2.5532403,-26.264996,0.010672582975823594,0.04415957877431167,0.0,0.1408304374305879,0.0,0.077553526
4930578M01Rik,-2.5533347,-0.5424873,0.010669688213431588,0.044154400476652825,0.03636363636363636,0.18342707698921648,0.06811893,0.09773569
Tmem266,-2.5545511,-1.4177358,0.010632480461320041,0.04400720117000454,0.01818181818181818,0.16182423960161932,0.031871475,0.08298092
Trp53bp2,-2.5545807,-0.88785267,0.010631578796678452,0.04400720117000454,0.045454545454545456,0.191631139612367,0.07499222,0.13462073
Stn1,-2.5549526,-1.4101905,0.010620223647067521,0.04397598425531728,0.02727272727272727,0.17224948948518612,0.035640057,0.092058964
Slc1a3,-2.5551062,-0.60601413,0.010615540539889794,0.04396417606455592,0.15454545454545454,0.31519363737326694,0.27800068,0.39729744
Neurl1b,-2.556299,-1.9931374,0.010579218918395016,0.043820504445394495,0.00909090909090909,0.15143481531902697,0.018548802,0.071885504
Trnau1ap,-2.5565114,-0.5149382,0.010572757375718491,0.0438004919342516,0.03636363636363636,0.18364203059506323,0.07205683,0.10144099
Gdpd5,-2.556984,-1.1873925,0.010558410957961787,0.043754550037081,0.02727272727272727,0.17228531508616057,0.044967722,0.09961671
Spock3,-2.5572143,-0.337921,0.010551423359493377,0.04373233775560498,0.3181818181818182,0.5720990219610934,0.7112935,0.83734673
Fh1,-2.5578697,-1.7183207,0.010531558087888365,0.04366347258471846,0.01818181818181818,0.16071364597141116,0.028787652,0.09176136
Gm41077,-2.5586076,-2.1581175,0.01050922711998661,0.04358433905140303,0.02727272727272727,0.17074481424425894,0.021366993,0.09202657
Ube2d-ps,-2.5586255,-1.2484468,0.010508691694738646,0.04358433905140303,0.03636363636363636,0.1803102497044388,0.041135874,0.09510179
Crlf3,-2.5589502,-0.30036294,0.010498879864858939,0.043554871386252844,0.08181818181818182,0.23687887364310536,0.14226976,0.17250201
Rab22a,-2.559387,-0.65789205,0.010485691353153402,0.04350687564225323,0.045454545454545456,0.19399562927668113,0.07760343,0.11984045
Lasp1,-2.5597413,-0.67504644,0.01047500878722568,0.043469264264518,0.03636363636363636,0.182997169777523,0.06724928,0.10531997
Rhbdd3,-2.55996,-2.3480167,0.010468426032217813,0.0434486573193841,0.00909090909090909,0.15161394332389927,0.016202182,0.079883605
Urb1,-2.560131,-3.2840366,0.010463269148593746,0.04343396292641958,0.00909090909090909,0.15139898971805252,0.007818105,0.073671415
Anapc16,-2.5604734,-1.174751,0.010452962161128414,0.04340458866782885,0.045454545454545456,0.19295668684842188,0.053409074,0.11676146
Agpat1,-2.5610344,-26.30112,0.010436099540474773,0.04334126656144624,0.0,0.14126034464228138,0.0,0.079443894
Rnf123,-2.5612175,-1.2763045,0.010430602240990221,0.04332513251127025,0.02727272727272727,0.17210618708128828,0.037190553,0.08780779
