"celltype","genotype","n_cells_ctrl","n_cells_mut","n_degs","n_degs_up","n_degs_down","n_da_peaks","n_da_more","n_da_less","n_peak_gene_links"
"Unknown","Emx1",459,70,283,259,24,24,22,2,0
"Excitatory","Emx1",344,2052,851,443,408,509,435,74,95
"Immune","Emx1",15,27,NA,NA,NA,NA,NA,NA,NA
"Oligo","Emx1",38,147,0,0,0,52,2,50,40
"Astrocytes","Emx1",32,173,0,0,0,98,1,97,105
"GABA","Emx1",48,489,17,7,10,243,1,242,395
"Vascular","Emx1",29,125,NA,NA,NA,NA,NA,NA,NA
"Progenitors","Emx1",9,79,NA,NA,NA,NA,NA,NA,NA
"Ependymal","Emx1",2,6,NA,NA,NA,NA,NA,NA,NA
"Unknown","Nestin",1295,380,132,57,75,17,12,5,2415
"Excitatory","Nestin",1221,1645,1665,248,1417,5968,2937,3031,9628
"Immune","Nestin",430,610,313,28,285,16061,8996,7065,10073
"Oligo","Nestin",868,807,690,88,602,14574,8136,6438,11393
"Astrocytes","Nestin",344,122,39,13,26,8915,7080,1835,6263
"GABA","Nestin",201,356,72,7,65,4480,2368,2112,979
"Vascular","Nestin",190,52,0,0,0,2425,2420,5,1436
"Progenitors","Nestin",166,52,3,1,2,2428,2394,34,791
"Ependymal","Nestin",2,4,NA,NA,NA,NA,NA,NA,NA
