names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 NP CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Slit2,-3.4779985,-1.1764917,0.0005051727609803805,0.049540117107820525,0.41333333333333333,0.5742389431361287,0.47122452,0.8589091
Trpm3,-3.4836342,-1.1442678,0.0004946552061732173,0.0486863933695031,0.5466666666666666,0.6875358989086732,0.880958,1.4167423
Gm30439,-3.4844084,-1.2149286,0.0004932261065365905,0.0486863933695031,0.3333333333333333,0.5166570936243539,0.29849148,0.59189075
Mpdz,-3.4879649,-1.0846392,0.000486712140601316,0.04825813733563601,0.38666666666666666,0.5641154508902929,0.29927656,0.5538436
Acap2,-3.49692,-0.6391441,0.00047066269936072016,0.047013779672202785,0.6666666666666666,0.7560669155657668,0.81104445,1.0808374
Stxbp6,-3.49763,-1.6186365,0.00046941191731368235,0.047013779672202785,0.28,0.46578834003446296,0.26211676,0.6524639
Son,-3.4979095,-0.7028956,0.0004689200369429241,0.047013779672202785,0.6133333333333333,0.7854681217690982,0.7877171,1.0820355
Myo6,-3.504793,-1.3319166,0.00045696275217480193,0.04650980738991261,0.3333333333333333,0.5314833429063757,0.2499326,0.53928393
Slc44a5,-3.5147448,-0.9393828,0.0004401767947103401,0.04514332241933908,0.4666666666666667,0.6099583572659392,0.50487804,0.8151519
Pip5k1b,-3.5341182,-0.9367681,0.0004091381544373243,0.04212085137827932,0.37333333333333335,0.594055140723722,0.49310988,0.797568
Rasa3,-3.5450883,-1.7747205,0.00039248165076958,0.04056146906222544,0.13333333333333333,0.37126651349798967,0.09026516,0.2800761
Wipf3,-3.5613284,-1.250436,0.0003689833397300964,0.038428613715301124,0.37333333333333335,0.5295448018380241,0.28908515,0.58639646
Pfn2,-3.5755105,-1.768715,0.0003495450180755523,0.03670265345766287,0.16,0.3868466398621482,0.096582636,0.29678243
Nckap1,-3.5900228,-0.5753985,0.0003306491777029011,0.03497851734203525,0.7333333333333333,0.7895605973578403,0.95044965,1.2133082
Galnt16,-3.5937366,-1.2474778,0.00032596918082259557,0.034619730785387916,0.28,0.48248133256748993,0.19444047,0.41183898
Cracdl,-3.6542444,-1.0376087,0.0002579404327790564,0.02852205526244134,0.4266666666666667,0.5940910396323952,0.4128935,0.71753514
Tafa2,-3.6587687,-0.9873153,0.0002534299168464507,0.028139098618446823,0.6933333333333334,0.729035037334865,1.0656388,1.5627781
Neto1,-3.6737683,-0.9689133,0.00023899939913694137,0.026757974395040064,0.56,0.6923104537622057,0.7156323,1.1139575
Ywhaq,-3.6876209,-1.1953083,0.00022636061386261855,0.025555923086086393,0.38666666666666666,0.5972501435956347,0.3103648,0.60615116
Dlgap1,-3.6988635,-0.3683708,0.0002165671086480612,0.024657450039717817,0.8933333333333333,0.9191556576680069,2.698064,2.9381173
Zfp462,-3.6999676,-1.1434903,0.00021562700854542918,0.02465488391325822,0.37333333333333335,0.5660539919586445,0.35594893,0.6649981
Lcorl,-3.7156556,-0.9296826,0.00020267752522415042,0.023575519925423904,0.48,0.6657452613440551,0.5328856,0.85045767
Dock10,-3.7226176,-1.3818738,0.00019716799590683296,0.02303436543485479,0.41333333333333333,0.5929781734635267,0.5349867,1.0450704
Atf7,-3.7357888,-0.94821274,0.00018712757408921273,0.021956846793786663,0.44,0.6160970706490523,0.37425593,0.62903863
Kcnc2,-3.7417257,-1.327519,0.00018276093169638984,0.021538536117026292,0.4533333333333333,0.6042145318782309,0.5512628,1.045823
Iqgap2,-3.749878,-1.3190958,0.0001769206201740307,0.021034765770248695,0.38666666666666666,0.5524483055715106,0.3883548,0.78118676
Synpr,-3.7504444,-1.3791772,0.00017652141957367215,0.021034765770248695,0.3466666666666667,0.547027570361861,0.43333882,0.87999666
Cdh9,-3.7589982,-1.4728575,0.00017059502817378205,0.0204637875313818,0.36,0.5365091901206204,0.3653393,0.7993526
Sorbs2,-3.7881012,-0.6678275,0.00015180294937952628,0.018291234304160856,0.72,0.7825244112578977,1.2363257,1.5853529
Sox2ot,-3.7941098,-1.9004645,0.00014817410983885635,0.017934406898063377,0.25333333333333335,0.4673319931074095,0.28502238,0.8025485
Nell1,-3.8140926,-1.5532097,0.00013668421933092436,0.01669411351555426,0.30666666666666664,0.5049540493968984,0.3387008,0.78072006
Tanc1,-3.9154048,-1.3173074,9.025265427213239e-05,0.011227263056908321,0.36,0.5460582998276853,0.32524604,0.6718487
Tmcc3,-3.9298022,-1.828085,8.50157788660501e-05,0.010624995247119844,0.28,0.48729178632969555,0.18593502,0.54554844
Nfia,-3.930978,-1.0094129,8.460099621110202e-05,0.010622564337347248,0.5866666666666667,0.7401278001148766,0.8612163,1.3217422
Trpc5,-3.9369435,-1.143039,8.252602858803845e-05,0.010410677878688232,0.3333333333333333,0.5632538770821367,0.39329255,0.7247199
Rsf1,-3.9385638,-0.94844484,8.197075826495273e-05,0.01038940695556264,0.52,0.6870333141872487,0.4826915,0.7872304
Epha6,-3.9516134,-0.6556732,7.762609476548756e-05,0.00993244364927929,0.8933333333333333,0.8858773693279725,2.147524,2.5584204
Frmd4b,-4.0136123,-1.4448498,5.979651166001232e-05,0.007724674366848707,0.37333333333333335,0.5693566915565766,0.335385,0.7346719
Syn2,-4.020051,-0.7394546,5.818553114062913e-05,0.007552875467385047,0.6933333333333334,0.8035252728317059,1.1257095,1.4988731
Rfx3,-4.030964,-0.96433794,5.554859870237335e-05,0.007280930961623277,0.6933333333333334,0.7959865020103389,1.0522137,1.5340596
Chd4,-4.0564175,-1.0062209,4.983118886021001e-05,0.006563549238597269,0.4533333333333333,0.6553704767375071,0.4137034,0.7076656
St6galnac3,-4.0618234,-1.0464047,4.869088218149573e-05,0.006444945833580247,0.6,0.7038340034462952,0.66942734,1.0880754
Nsf,-4.0894637,-0.75426024,4.3237136334804394e-05,0.00583809976540801,0.68,0.7907093624353819,0.99402636,1.3535198
Fgf13,-4.1058116,-1.3570322,4.028979209796871e-05,0.005467609665012218,0.44,0.6397903503733486,0.43394998,0.8720525
Ralyl,-4.127859,-0.78356636,3.661560591268619e-05,0.005019700667723867,0.8133333333333334,0.8561171740379092,1.7834225,2.2535193
Tmod2,-4.141346,-1.1005126,3.4527355700168575e-05,0.0047822167405336576,0.4533333333333333,0.6639503159103963,0.4073807,0.73156065
Ppm1e,-4.162799,-0.67452544,3.143704557326647e-05,0.0043995490341336985,0.76,0.8105614589316484,1.3107462,1.6721618
Zfp536,-4.1744857,-2.1748185,2.9865979245040304e-05,0.004214152679894338,0.26666666666666666,0.47806576680068924,0.19885202,0.6898268
Arl15,-4.176063,-0.8513551,2.9659739127561058e-05,0.004214152679894338,0.68,0.762636415852958,0.95703834,1.359403
Crim1,-4.2024846,-1.3150876,2.6400107404793506e-05,0.0037732493934404337,0.36,0.5779365307294658,0.3156441,0.6541305
Ppp3ca,-4.2029295,-0.45424306,2.6348294869771293e-05,0.0037732493934404337,0.9466666666666667,0.9404078116025273,2.2959795,2.583265
Kcnd3,-4.2086077,-1.1402231,2.5694881647051e-05,0.0037586050850304336,0.4666666666666667,0.6321797817346353,0.46177098,0.8301132
Cyfip1,-4.2179575,-1.0945971,2.465251649317305e-05,0.003639632517426153,0.4666666666666667,0.6495548535324526,0.42177746,0.75162625
Dock4,-4.2187963,-0.8856611,2.4560984130032423e-05,0.003639632517426153,0.72,0.860748133256749,1.5020367,2.008174
Shisa9,-4.242479,-1.1828365,2.2106421203120964e-05,0.0033370760546509006,0.49333333333333335,0.664488799540494,0.6388912,1.1087084
Ubash3b,-4.242515,-2.0264337,2.2102889012136642e-05,0.0033370760546509006,0.18666666666666668,0.4420232624928202,0.14124845,0.48123094
Arhgap5,-4.2468386,-1.0574892,2.168082321444114e-05,0.0033100211350683716,0.48,0.6928130384836301,0.5011165,0.8561271
Camk2a,-4.269151,-0.72789896,1.9621801051226694e-05,0.0030465064223843545,0.7333333333333333,0.7877656519241815,1.130269,1.4978931
Il1rap,-4.2764864,-1.2729832,1.898661792006304e-05,0.0029661071134424065,0.48,0.6414417001723147,0.48405024,0.9181522
Gm20754,-4.291149,-0.97590333,1.777509668706376e-05,0.0028095108704788425,0.68,0.7453331418724871,1.1039689,1.6024991
Gm10649,-4.291357,-1.9693594,1.7758457836905844e-05,0.0028095108704788425,0.18666666666666668,0.4434233199310741,0.12407589,0.41693452
Itga8,-4.3387365,-1.5456315,1.4330430148479681e-05,0.002333688836906964,0.32,0.5445505456634119,0.30256417,0.708759
Runx2,-4.3406076,-1.5563024,1.4208917684463923e-05,0.002328009866960644,0.25333333333333335,0.5168724870763929,0.22981507,0.5652312
Ptk2b,-4.3537645,-1.211974,1.3381933618723283e-05,0.002205966603282789,0.38666666666666666,0.60442992533027,0.3957162,0.7535642
Dnajc1,-4.3572493,-0.9114385,1.3170720506037734e-05,0.0021845509876372462,0.5866666666666667,0.7529796094198736,0.7292253,1.1049621
Thsd7a,-4.3761497,-1.5136366,1.2079419779952866e-05,0.002015987636567289,0.3466666666666667,0.5796955772544514,0.385871,0.8520901
