names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_L5 NP CTX Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Tshz2,10.654567,4.0078053,1.660164498233347e-26,4.460862006753003e-22,0.84,0.3960726593911545,2.6017475,0.5744997
Vwc2l,10.193398,3.570423,2.122127155620274e-24,2.851077833575838e-20,0.8133333333333334,0.3093049971280873,1.8030741,0.3553179
Hs3st4,9.998547,2.6590848,1.5465006190626143e-23,1.3851490544737483e-19,0.9333333333333333,0.6043222286042504,2.6512423,1.1266587
Olfm3,8.812119,3.090151,1.2280292157429085e-18,8.249286256752989e-15,0.76,0.39858558299827684,1.7908138,0.46151403
Mgat4c,8.762954,2.1816707,1.9020001824159704e-18,1.0221348980303424e-14,0.88,0.7352455485353245,2.8465,1.521007
Etl4,8.026393,1.8711826,1.0038026306010639e-15,4.495362780708431e-12,0.8666666666666667,0.7122343480758185,2.668993,1.5411292
Gm28905,7.9822974,2.8961785,1.436343215890289e-15,5.513506030138866e-12,0.6933333333333334,0.29437105112004597,1.1611403,0.2582447
Frmpd4,7.846584,1.4539124,4.275237768204505e-15,1.2763959870183895e-11,0.84,0.8335726593911545,3.0621083,2.1325767
Fut9,7.7831435,1.4872841,7.0744378087457966e-15,1.9009014392099954e-11,0.8266666666666667,0.7504666858127513,2.0255754,1.2081078
Tox,7.727877,2.4345608,1.0935495775900899e-14,2.6712433772587015e-11,0.76,0.41316053991958646,1.6571201,0.57946724
Gabrg3,7.6785975,1.8976306,1.6083971562695254e-14,3.601469299080179e-11,0.8133333333333334,0.6534678345778289,2.2542,1.1904908
Grik3,7.6639276,2.3599582,1.803314799662664e-14,3.727312974379675e-11,0.72,0.3610353245261344,1.1638472,0.35696635
Rgs6,7.5538607,2.1535747,4.225415005341152e-14,8.109778656679767e-11,0.7733333333333333,0.5113799540493968,1.8073926,0.763151
Etv1,7.40304,2.0995476,1.3310185522110883e-13,2.3842978998607965e-10,0.7733333333333333,0.4649985640436531,1.3379548,0.50437605
Cacnb4,7.366265,1.2336855,1.754750918252728e-13,2.946884823340675e-10,0.8266666666666667,0.7693854106835152,2.078388,1.3795259
Mcc,7.354936,2.6098616,1.9101833054464132e-13,3.0192132598438307e-10,0.6666666666666666,0.31451033888569785,1.0833174,0.27776068
Pcsk5,7.086398,2.0266068,1.3764766779601814e-12,1.9466278071994778e-09,0.7466666666666667,0.4623061458931648,1.4154584,0.56834763
Grm8,7.0665226,2.031468,1.5886424836558356e-12,2.134341176791615e-09,0.7733333333333333,0.5147544514646755,1.8657426,0.84832054
Agbl4,7.0225635,1.2665163,2.178341976000678e-12,2.7872404235780105e-09,0.8266666666666667,0.7529078116025273,2.360854,1.6075038
Chsy3,6.9199176,1.6360887,4.519067018621284e-12,5.5194241268342685e-09,0.7733333333333333,0.7039417001723147,2.1710043,1.252446
Tle4,6.909299,1.7330266,4.870553467837735e-12,5.690077029599998e-09,0.7733333333333333,0.5828905801263642,1.4655988,0.6940331
Asic2,6.8817444,1.4037777,5.9124032090984115e-12,6.619428092853096e-09,0.8266666666666667,0.7918940264215968,2.6974628,1.8296024
Nxph1,6.8662214,2.2868466,6.59247675576934e-12,7.0855940171008865e-09,0.7733333333333333,0.42134549109707065,1.8293612,0.72838205
Trpc3,6.8553014,3.0472453,7.116231818800328e-12,7.3543518835063384e-09,0.56,0.14388282596209076,0.59772855,0.094358854
Kcnip1,6.762572,2.5100706,1.3556354952541332e-11,1.3491083613880948e-08,0.6266666666666667,0.23079408385985067,0.91235036,0.2323763
Cdh18,6.6990023,2.296152,2.0984712466827887e-11,2.0137829427988046e-08,0.7333333333333333,0.5834290637564618,2.026956,0.85098463
Lrrtm3,6.6262054,1.4467397,3.444259944151989e-11,3.0849088233121316e-08,0.8133333333333334,0.6266872487076393,1.7147726,0.9825094
Rai14,6.604839,2.3311722,3.979503660706762e-11,3.449331076231958e-08,0.5866666666666667,0.17680212521539346,0.5514212,0.13645546
Rnf152,6.586878,3.573772,4.4917154293683184e-11,3.77163729959771e-08,0.5066666666666667,0.09480901780585871,0.54466283,0.05902832
Adcy2,6.575972,1.524927,4.8336266799766064e-11,3.935743905787013e-08,0.76,0.699526134405514,1.9680103,1.144013
Foxp2,6.465167,2.2928421,1.0118702047352528e-10,7.996750706245954e-08,0.6,0.2012851809304997,0.7855631,0.21800268
Ptprd,6.4230075,0.86022824,1.3360806280223406e-10,1.0257281849988654e-07,0.96,0.9654652498564044,4.2435083,3.6588802
Sox5,6.393725,1.5213813,1.6189246848369443e-10,1.2083473967102415e-07,0.8,0.6199741527857553,1.8524187,1.0551715
Ptprn2,6.368322,0.9433652,1.9110778826881596e-10,1.387855748860293e-07,0.8533333333333334,0.7639646754738656,2.144783,1.593516
Cntn6,6.3534584,2.1472642,2.1052734516475192e-10,1.4886499380465483e-07,0.68,0.40802699597932224,1.3983059,0.5236235
Neto2,6.2555947,1.9182248,3.9600364942496136e-10,2.728363605140695e-07,0.6933333333333334,0.4476593911545089,1.135049,0.44379708
Cdh11,6.2094774,1.1150786,5.316111662819717e-10,3.5710980094991443e-07,0.8133333333333334,0.7279221711659966,1.7970152,1.2008458
Prr16,6.1187983,1.7190636,9.428368254421661e-10,6.031910833245477e-07,0.7333333333333333,0.5231188971855255,1.5146219,0.73121303
Ptprt,6.090893,1.6090485,1.1228287627888407e-09,7.016374152589802e-07,0.8133333333333334,0.6199382538770821,2.013557,1.140229
Xkr6,5.9712896,1.4356011,2.353853557620421e-09,1.3457030870906535e-06,0.7066666666666667,0.5851881102814475,1.2794247,0.672533
A330102I10Rik,5.9445024,1.6329652,2.7729766941527623e-09,1.5522892452475983e-06,0.68,0.4172171165996554,0.8168686,0.34171012
Hivep1,5.934142,1.6027004,2.9538631695228477e-09,1.6198021094914064e-06,0.6533333333333333,0.32757754164273406,0.63092995,0.25428358
Slc1a2,5.91707,1.141404,3.2772705583376786e-09,1.7612051980506684e-06,0.8133333333333334,0.7305068925904652,1.8180418,1.2056775
Kazn,5.894499,1.6167548,3.7582008038435244e-09,1.980055992142657e-06,0.72,0.5743466398621482,1.3871468,0.6827499
Nrxn1,5.8812127,0.48074263,4.072709329183202e-09,2.104494224522166e-06,0.9466666666666667,0.9668653072946582,3.947587,3.621962
Nrg3,5.8020844,0.4713608,6.549546683522287e-09,3.32049659219328e-06,0.92,0.947874784606548,3.9300542,3.6108975
Dync1i1,5.72918,0.9446073,1.0091723750066857e-08,4.842225306505293e-06,0.76,0.7180858701895463,1.673877,1.1790231
B3glct,5.7253585,1.7385986,1.0321558409331202e-08,4.865618850153147e-06,0.6133333333333333,0.32513641585295805,0.6315188,0.23415491
Strbp,5.5840235,0.6440883,2.3501726616599827e-08,1.0138006971651628e-05,0.8266666666666667,0.8270031591039633,1.9989587,1.6259804
Garnl3,5.5820513,1.4462644,2.376979677015454e-08,1.0138006971651628e-05,0.7333333333333333,0.5204623779437105,1.1960891,0.61337763
Tmtc1,5.553508,1.4082364,2.799933277760826e-08,1.1696231183925923e-05,0.7333333333333333,0.5112363584147042,1.0593698,0.53652066
Smyd3,5.551679,1.0911877,2.829382310960867e-08,1.1696231183925923e-05,0.7866666666666666,0.727814474439977,1.6041346,1.0525985
Satb1,5.5195217,1.5556554,3.399233005914416e-08,1.3838998616503085e-05,0.6933333333333334,0.46517805858701894,1.0454098,0.48702714
Unc13b,5.5052533,1.3181087,3.6863732814160187e-08,1.4784007473380362e-05,0.7066666666666667,0.5371553704767376,1.0223962,0.53872955
Plcl2,5.480897,1.0448645,4.23174722130714e-08,1.6721624681841595e-05,0.7333333333333333,0.6508113153360138,1.3096948,0.83772707
Phactr1,5.467833,0.5984719,4.555700699044897e-08,1.77408228671502e-05,0.8666666666666667,0.8900057438253877,2.7764378,2.3931205
Lypd1,5.464886,1.8124957,4.632033251674715e-08,1.778039049607137e-05,0.5866666666666667,0.25972860425043076,0.55534285,0.19177584
Esrrg,5.4517365,1.3959261,4.988029650162983e-08,1.861504954164991e-05,0.7066666666666667,0.5262421022400919,1.1257524,0.58297676
Kremen1,5.4480515,2.8418555,5.0924691987643095e-08,1.8744472242574932e-05,0.4533333333333333,0.11020964962665135,0.3962475,0.0656202
Pcsk2,5.434959,0.8924291,5.480909610213371e-08,1.9901627192761253e-05,0.8533333333333334,0.7700674899483055,1.9918023,1.483722
Camk2d,5.3778424,1.3035455,7.538370820737113e-08,2.6969066891910636e-05,0.8,0.5599511774842045,1.3892126,0.79756033
Rapgef4,5.375713,0.9383681,7.628020408579115e-08,2.6969066891910636e-05,0.84,0.7252656519241815,1.6921307,1.1976162
Ssbp2,5.360627,0.8120888,8.293344712062727e-08,2.8569509283734034e-05,0.8133333333333334,0.772580413555428,1.7385813,1.300411
Slc35f1,5.331517,1.2681458,9.739564773033863e-08,3.3126848791318976e-05,0.76,0.6549396898334291,1.689182,1.0413734
Col12a1,5.297983,3.3873193,1.1708888008263655e-07,3.836802692463956e-05,0.41333333333333333,0.06935669155657669,0.42148522,0.048884742
4930578G10Rik,5.2946706,1.3278624,1.1923124343239759e-07,3.859931940998221e-05,0.6933333333333334,0.566771970132108,1.1438588,0.6162825
Dscam,5.286246,0.8485368,1.248521931771698e-07,3.964307472824628e-05,0.7733333333333333,0.7567489948305571,2.018668,1.5315821
Lcp1,5.2854357,2.6022038,1.2540607934130756e-07,3.964307472824628e-05,0.44,0.09577828834003446,0.41611663,0.08156961
Mmp16,5.256031,0.7946633,1.4719727880711471e-07,4.546196415571463e-05,0.7866666666666666,0.7887349224583573,2.0521762,1.5915382
Samd5,5.2313375,1.352646,1.6828769931264846e-07,5.080775820821196e-05,0.7066666666666667,0.4837736932797243,1.0866058,0.5704855
Plcxd3,5.165309,1.62254,2.4004183162586486e-07,7.010786973681509e-05,0.64,0.3922673750717978,0.9947697,0.4404649
Kcnmb4,5.1431108,1.6701028,2.702261156145662e-07,7.80750078125096e-05,0.6,0.35432222860425044,0.64060146,0.24846782
A230006K03Rik,5.125824,0.9796601,2.9623935630166227e-07,8.37889631981649e-05,0.76,0.6659965537047674,1.7101127,1.1929967
Sh3rf3,5.11841,1.1781447,3.081219783076248e-07,8.62420578867279e-05,0.7066666666666667,0.6180356117174038,1.2557337,0.7464023
Nxph3,5.102213,3.0659776,3.357044427726726e-07,9.204467731940524e-05,0.4,0.06573090178058587,0.30719694,0.04204526
Slc8a3,5.0427523,1.4831725,4.588832911597584e-07,0.00012219100241573508,0.64,0.4217044801838024,0.8093249,0.36868727
Pbx1,5.04258,0.67120767,4.5929628745773144e-07,0.00012219100241573508,0.8,0.8135410683515221,2.0270164,1.6369088
Pcdh17,5.033123,1.1256994,4.825535308694659e-07,0.0001271197389653191,0.7733333333333333,0.647185525560023,1.3499357,0.8369818
Negr1,4.995337,0.6826678,5.873312422174381e-07,0.00015174606229214003,0.9066666666666666,0.9024626651349799,2.9965932,2.5531776
Scai,4.910566,0.90975595,9.081389798199137e-07,0.00023113243558313894,0.76,0.7183012636415853,1.4568754,1.0125226
Pamr1,4.900155,2.7847166,9.576101920088831e-07,0.00024047650335774475,0.41333333333333333,0.11157380815623205,0.40479115,0.06990994
Efna5,4.8717475,1.3944304,1.1061545400613757e-06,0.0002702033862859015,0.6666666666666666,0.4132323377369328,1.0281928,0.52069235
Lrrc4c,4.8612866,0.6481539,1.1662531428790144e-06,0.0002823173148572893,0.8933333333333333,0.9153862722573234,3.0447755,2.6221511
Snhg11,4.8499293,0.8907462,1.2350554079028765e-06,0.0002936808744278787,0.9066666666666666,0.828367317633544,2.7607691,2.195956
Rell1,4.8080707,1.8303773,1.5239386464709759e-06,0.0003530019950920269,0.4666666666666667,0.15870907524411257,0.3301518,0.1043565
Chrm2,4.8028584,2.6286986,1.5641672381028454e-06,0.0003561794380324022,0.4533333333333333,0.173858414704193,0.7036164,0.15280095
Gpc6,4.776006,1.3641807,1.7881066886785043e-06,0.0004003868893732618,0.7466666666666667,0.5515508328546812,1.6112599,0.9389756
Fgf14,4.76708,0.48385465,1.869153091524291e-06,0.0004150755666880802,0.9333333333333333,0.9245763928776565,3.3968055,3.0746758
Ldb2,4.708565,1.2517465,2.4946638786961803e-06,0.0005405775679077933,0.72,0.5559663986214819,1.4225371,0.84235114
Plcb4,4.6685424,1.6231341,3.0334422562886722e-06,0.0006468935986228304,0.56,0.33077254451464677,0.75830454,0.31359905
Zmat4,4.6248627,1.0355635,3.7484664798598852e-06,0.0007868851118268369,0.7466666666666667,0.600768236645606,1.3410242,0.8658857
Grid1,4.606952,0.6203696,4.086142662740071e-06,0.0008428486108663134,0.7866666666666666,0.7842475588742103,1.8826597,1.5312493
Prickle1,4.5786877,0.67895424,4.679018747597993e-06,0.0009524638920299855,0.7733333333333333,0.7422458357265939,1.6329219,1.2733145
Pid1,4.5765367,1.176556,4.727365042274247e-06,0.0009550699149316468,0.7066666666666667,0.5873779437105112,1.2639483,0.7530337
Grm7,4.5354095,0.55826527,5.749178005719528e-06,0.001135885389806498,0.8933333333333333,0.8930930499712809,3.0528426,2.6879444
Sulf2,4.5287414,1.5071768,5.933601864420238e-06,0.0011556068980204338,0.5733333333333334,0.3191412981045376,0.60031873,0.25419652
Bcl11a,4.5286913,0.864994,5.935011236576847e-06,0.0011556068980204338,0.7733333333333333,0.6798176335439403,1.5092764,1.0765495
Htr2c,4.523565,1.8648068,6.080668552557012e-06,0.0011754501007712728,0.56,0.34506031016657096,1.0473179,0.41074088
Klhl32,4.5187683,1.2001158,6.220048029250634e-06,0.0011938049324711753,0.6666666666666666,0.5173391728891442,0.90848213,0.49737424
Efr3a,4.5139284,0.99659353,6.3637730168496345e-06,0.0012127275245585084,0.7466666666666667,0.625,1.166495,0.745726
Cpne4,4.5097265,1.1670918,6.491119407759922e-06,0.0012282843555387964,0.72,0.5449813325674899,1.2869636,0.773587
Trabd2b,4.504163,2.182133,6.6635116885860645e-06,0.0012456614161784505,0.44,0.16858127512923607,0.45013592,0.118027136
Mirt1,4.501933,3.4690459,6.7338240466030985e-06,0.001247847256084312,0.3466666666666667,0.05463813900057438,0.25670767,0.02608618
Cacna1a,4.49477,0.7512467,6.964516037483213e-06,0.0012666960555739201,0.84,0.7525488225157955,1.7537923,1.3448572
Nav3,4.49439,0.34937128,6.976963759767034e-06,0.0012666960555739201,0.8533333333333334,0.8982624928202183,2.9248302,2.6972675
Rit2,4.4788885,0.8513159,7.5032709800547285e-06,0.0013531066525776546,0.7466666666666667,0.6670017231476163,1.2964572,0.9051674
Gm15270,4.462684,3.7787209,8.093926477637086e-06,0.001440290095722573,0.3333333333333333,0.040996553704767374,0.25832167,0.021248663
Atp2a2,4.459293,0.78210956,8.22304948520409e-06,0.0014536403925489072,0.8,0.7652570361861,1.4079533,1.0280033
Pak5,4.449255,0.78447825,8.616871620620877e-06,0.0015133028787325685,0.76,0.7414919586444572,1.5929161,1.1862204
Dcc,4.429645,0.80677587,9.438837970333829e-06,0.001640680174615007,0.88,0.8458141872487076,2.692575,2.1828415
Rcan2,4.41975,1.226189,9.881501872715235e-06,0.0017020253546144765,0.6133333333333333,0.36677914991384264,0.66154253,0.33707932
Trhr,4.4145665,2.2974029,1.012126626005706e-05,0.0017212558506818556,0.4,0.122558874210224,0.3490741,0.08156467
Foxp1,4.4019613,0.67027503,1.0727659851450692e-05,0.0018015763763030005,0.7866666666666666,0.7956275129236071,1.8035209,1.4318687
Stard5,4.320912,2.373708,1.5538582699896265e-05,0.0025151910671458596,0.4,0.13882107983917288,0.36915305,0.08264265
Gm15155,4.3176994,1.5021585,1.5766383322292945e-05,0.0025367827537126435,0.5066666666666667,0.2421022400919012,0.5086923,0.21033874
