names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Progenitors (for_DEGs),mean_expr_Rest (for_DEGs)
Nol4,16.93268,1.3945297,2.5834460044789167e-64,6.941719414034849e-60,0.8972746331236897,0.7275037206432176,1.8432491,1.1060625
Ctnna2,16.323013,1.0536003,6.770839737132925e-60,9.096623186838085e-56,0.9874213836477987,0.883843333696323,3.145432,2.4603887
Klf12,15.973591,1.2867643,1.952159200515884e-57,1.7484839239287268e-53,0.8888888888888888,0.7124033540237396,1.734168,1.0687412
Map2,14.955217,0.8940306,1.440098313696182e-50,7.739088337803281e-47,0.9685534591194969,0.8370176775926531,2.251087,1.7179043
Usp29,14.829834,1.4861138,9.396496049101238e-50,4.208064147322504e-46,0.7358490566037735,0.5553014628480163,1.229391,0.62249386
Auts2,14.7492075,1.0133371,3.112991884177457e-49,1.1949441703978325e-45,0.989517819706499,0.9030817815528694,3.339565,2.6726463
Ttc28,14.62851,1.9094528,1.8478978396888098e-48,6.20662686905479e-45,0.6750524109014675,0.4615412537660169,1.16873,0.4639802
Zeb1,14.609119,1.2060983,2.4567195905445316e-48,7.334672821992396e-45,0.8343815513626834,0.6911321645068786,1.5635842,0.9695004
Meis2,14.253569,2.2755752,4.2594460970366376e-46,1.0404665147943132e-42,0.639412997903564,0.4861519474391085,1.6970989,0.65270597
Dcx,13.614172,1.5753807,3.298611766911276e-42,5.908913211793733e-39,0.6729559748427673,0.4793277432937675,0.9897315,0.44932842
Akap6,12.935667,0.78816056,2.831550858134633e-38,4.2268761976709774e-35,0.9517819706498952,0.8223891974300338,2.0763297,1.6172402
Dcc,12.407062,1.113884,2.3927423409418164e-35,2.678874445879442e-32,0.9308176100628931,0.8434788921557951,2.8788838,2.1701696
Pbx1,12.279243,1.0212412,1.1708836146703523e-34,1.2100631817766294e-31,0.9266247379454927,0.810083850593488,2.2283266,1.6256281
Ptpro,11.893383,1.9330617,1.2811088615671235e-32,1.1104321003325358e-29,0.5807127882599581,0.40963374351156123,1.0158024,0.37933215
Tut4,11.567483,0.8216604,6.022389789879401e-31,4.495044823723875e-28,0.7840670859538784,0.69066027805002,1.159365,0.80553526
Msi2,11.357813,1.2430819,6.782105998614222e-30,4.555879704569103e-27,0.7379454926624738,0.6501869396348324,1.3689293,0.8057253
Dock7,10.979002,0.8461315,4.822211927360128e-28,2.8168007497427533e-25,0.7463312368972747,0.6530545573342045,1.1106858,0.7574443
Lhfpl3,10.838954,1.6121615,2.2502847253222647e-27,1.1408518975360236e-24,0.6163522012578616,0.47232204435732694,1.3254354,0.64399344
Plppr1,10.683466,1.3985636,1.2164322032814576e-26,5.9428242367586845e-24,0.6016771488469602,0.45649569857345096,0.9162077,0.45036292
Cep170,10.680763,0.85933167,1.252375678023662e-26,6.009166869374249e-24,0.7484276729559748,0.6591890812733675,1.067042,0.71834093
Ptpn4,10.53368,0.808746,6.042480823375379e-26,2.848446661826253e-23,0.7966457023060797,0.7045627790482413,1.238939,0.8753713
Cracd,10.14486,0.9981171,3.49278632289559e-24,1.4007637088985745e-21,0.6855345911949685,0.5536317107699009,0.9567724,0.58927834
Sncaip,10.115409,2.2705617,4.7204023096330084e-24,1.8119601437119847e-21,0.4339622641509434,0.22120585139206506,0.6406422,0.17062652
Fnbp1l,10.043599,1.0338657,9.803104729325508e-24,3.608348275027074e-21,0.6561844863731656,0.521942720243929,0.9703779,0.5880431
Maml3,9.974288,1.1865243,1.9751233389896594e-23,6.983100541927913e-21,0.649895178197065,0.500344840103089,1.1224396,0.6473664
Tbl1x,9.9320345,0.98353773,3.0202998495081585e-23,1.0539669734582366e-20,0.660377358490566,0.5477149805800573,0.8714468,0.5324864
Zfp608,9.895691,0.8925309,4.345991939957884e-23,1.4597100428333543e-20,0.7589098532494759,0.6565029583650949,1.2181007,0.82524675
Mtss1,9.88654,1.359971,4.76198859608548e-23,1.5796868342816893e-20,0.5807127882599581,0.4495988965116701,0.8180924,0.4009806
Akap9,9.859445,0.8940898,6.239358961893757e-23,2.0445314061717715e-20,0.6918238993710691,0.608261642890849,0.94590473,0.61386734
Sgip1,9.785394,0.64660543,1.3008814311075103e-22,4.161271911173667e-20,0.9329140461215933,0.8112817162147447,1.9408597,1.5707291
Cux1,9.722778,1.0533564,2.4111004995569074e-22,7.446697749780931e-20,0.639412997903564,0.5053540963374351,0.89307576,0.52775735
Plcb4,9.692221,1.5949547,3.2537609708562456e-22,9.714284142989702e-20,0.5052410901467506,0.32763439689280915,0.7351944,0.30709013
Sox11,9.614967,2.0873435,6.913125021263924e-22,2.0412710914435346e-19,0.469601677148847,0.3202657083741697,0.7107892,0.21808286
Xpr1,9.581409,0.8132059,9.572938336513305e-22,2.79592231632731e-19,0.7127882599580713,0.6320011615666631,1.0083486,0.6885729
Rims2,9.574209,0.6974274,1.0264012175719367e-21,2.96552695872666e-19,0.9056603773584906,0.8064902537297179,2.1402767,1.7274235
Rfx7,9.571991,0.68471724,1.0486616987388276e-21,2.997610621820457e-19,0.7693920335429769,0.7059784384188174,1.1838644,0.8797737
Fchsd2,9.516409,0.7736685,1.792671794083051e-21,4.965885681135215e-19,0.7463312368972747,0.6417655813278159,1.0974652,0.7737343
Apc,9.428113,0.60409164,4.175312954005929e-21,1.1107986046944487e-18,0.859538784067086,0.8118987985044829,1.6649811,1.3401027
Ablim3,9.394916,1.8117214,5.726397424413945e-21,1.4938669785825504e-18,0.4591194968553459,0.29656248865657553,0.5928528,0.20740835
Fubp1,9.340215,0.66658175,9.613908488890131e-21,2.4839011643892097e-18,0.7379454926624738,0.6726196958147301,1.0117311,0.7432351
Gad2,9.3364525,1.7815568,9.961545566077874e-21,2.549206946290595e-18,0.429769392033543,0.2200442847290283,0.6304828,0.22756103
Fgf13,9.333599,0.98438346,1.0233573895618184e-20,2.5941144393892507e-18,0.710691823899371,0.6365385313441504,1.3098726,0.8618685
Negr1,9.328031,0.6926443,1.0785620478619138e-20,2.683422428337928e-18,0.9832285115303984,0.9001052669788377,2.9940264,2.5443094
Atrx,9.252516,0.55219555,2.1927018608125408e-20,5.2139733628347755e-18,0.8846960167714885,0.8020254818686704,1.4668399,1.1862454
Cacna1c,9.084884,0.7383257,1.0380979553222249e-19,2.3840762444024086e-17,0.9014675052410901,0.7808268902682493,2.0639703,1.6336259
Igf1r,9.038149,0.77698547,1.5934768506896264e-19,3.628535845595785e-17,0.750524109014675,0.6845983520272968,1.2044967,0.8598141
Sh3kbp1,8.972348,0.9227084,2.9025794108407973e-19,6.499359064107685e-17,0.6645702306079665,0.5728338596682275,0.98341304,0.63277835
Ccser1,8.96593,0.7409151,3.076735772809527e-19,6.832387621106777e-17,0.9748427672955975,0.8593052379396712,2.7204864,2.250172
Ncam1,8.964911,0.5804506,3.1053145124481694e-19,6.839327946678879e-17,0.9475890985324947,0.852880322334749,2.0839105,1.7413911
Dip2c,8.950884,0.60968566,3.5264865251960783e-19,7.703796173334848e-17,0.9517819706498952,0.8357835130131765,2.1452427,1.7823778
