names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Oligo (for_DEGs),mean_expr_Rest (for_DEGs)
Qki,74.88305,3.5848894,0.0,0.0,0.9925137903861309,0.811950721908349,3.62109,1.3941804
Pde4b,73.927505,3.9573948,0.0,0.0,0.9881796690307328,0.7400345260514752,3.9158087,1.4270734
Sox2ot,70.96335,4.1461196,0.0,0.0,0.9578408195429472,0.4169020715630885,2.755814,0.60549635
Pcdh9,69.686424,2.1722698,0.0,0.0,1.0,0.9684165097300691,5.189013,3.7026885
Dnm3,64.21483,2.6368463,0.0,0.0,0.9326241134751773,0.7061754551161331,2.4456677,0.99115175
Erbb4,62.99132,3.4014547,0.0,0.0,0.9909377462568952,0.6923258003766478,3.4763656,1.3777812
Dock10,61.296303,3.4654124,0.0,0.0,0.9093774625689519,0.5596751412429378,2.7893255,0.86812526
Phlpp1,59.280148,2.6727967,0.0,0.0,0.8959810874704491,0.7318345888261143,2.4732451,0.99444455
Enpp2,57.9465,3.8294249,0.0,0.0,0.814026792750197,0.37962962962962965,1.9927732,0.3685862
Septin7,57.446693,2.5274117,0.0,0.0,0.888100866824271,0.7522363465160076,2.3536327,0.97527105
Ugt8a,56.739594,4.5836906,0.0,0.0,0.7568951930654059,0.20574387947269304,1.753596,0.18161103
Bcas1,55.939003,4.9000955,0.0,0.0,0.7277383766745469,0.1388104205900816,1.5409559,0.11589606
Plp1,54.65688,3.6219943,0.0,0.0,0.863672182821119,0.703782172002511,3.1292956,1.0207701
Edil3,54.536568,2.3948474,0.0,0.0,0.9121355397951143,0.7421531701192718,2.74908,1.3301082
Tmeff2,54.438984,2.6657956,0.0,0.0,0.9613869188337274,0.8372959824231011,3.6131673,1.9000522
Gjc3,53.66175,4.833753,0.0,0.0,0.6989755713159969,0.13508317639673573,1.4295851,0.10562585
Plcl1,53.18905,2.7122798,0.0,0.0,0.8711583924349882,0.666195856873823,2.606028,1.0696102
St18,52.006775,4.3011937,0.0,0.0,0.7431048069345941,0.36731010671688635,2.5034723,0.45067215
Sorcs1,51.759403,2.8027072,0.0,0.0,0.8128447596532703,0.4294962335216573,1.80348,0.54622865
Phldb1,51.630306,4.246901,0.0,0.0,0.7005516154452325,0.21716101694915255,1.3665435,0.1431362
Gm4258,50.619083,1.945881,0.0,0.0,0.8672182821118991,0.7079409918392969,2.0239062,0.9949969
Tcf12,50.22595,1.5802722,0.0,0.0,0.8979511426319937,0.8021814187068425,2.1675894,1.2774421
Mbp,49.93386,3.7495484,0.0,0.0,0.7710795902285263,0.5476302573760201,2.5070376,0.6085708
Erbin,49.765045,3.249907,0.0,0.0,0.7529550827423168,0.41509730069052103,1.7508848,0.40568817
Magi2,49.454235,1.372151,0.0,0.0,0.9948778565799843,0.9155288763339611,3.7936556,2.8776839
Gab1,49.35274,3.9748025,0.0,0.0,0.6847911741528763,0.20154582548650346,1.397039,0.17693368
Zfp536,49.266758,2.9023201,0.0,0.0,0.7821118991331757,0.44589610797237916,1.9013096,0.5662772
Frmd5,49.063053,2.2381346,0.0,0.0,0.8695823483057525,0.72575329566855,2.5427897,1.2479317
Sh3d19,48.61181,2.5563302,0.0,0.0,0.7576832151300237,0.5196563088512242,1.4980208,0.4639887
Ano4,47.510216,2.381894,0.0,0.0,0.8104806934594169,0.624019146264909,2.0863495,0.855964
Ankrd28,47.339447,1.867652,0.0,0.0,0.8029944838455477,0.6871076585059636,1.7026371,0.8019638
Ncam1,47.2762,1.2700604,0.0,0.0,0.9393223010244287,0.846045197740113,2.4425516,1.6779801
Zeb2,46.863052,1.5426848,0.0,0.0,0.9661150512214342,0.8477715003138732,2.9517555,1.9777253
Gm16168,46.750706,4.6392474,0.0,0.0,0.6315996847911741,0.15991839296924043,1.4186363,0.1183696
Prr5l,46.745018,4.9633074,0.0,0.0,0.6205673758865248,0.13327840552416823,1.7130119,0.13602471
Fa2h,45.76755,4.6380243,0.0,0.0,0.6071710007880221,0.11907564344005021,1.1663677,0.08504913
Lrp1b,45.76193,1.24861,0.0,0.0,0.9964539007092199,0.932909604519774,3.8405478,3.0042145
Cdh20,45.270123,2.5252411,0.0,0.0,0.7691095350669819,0.4495841180163214,1.7069563,0.57875234
Naaladl2,45.007767,1.4730157,0.0,0.0,0.929472025216706,0.8557752667922159,2.4563227,1.5770589
Creb5,44.97214,4.1594396,0.0,0.0,0.6162332545311269,0.15662272441933459,1.2003306,0.12212689
Dock1,44.950943,3.2762764,0.0,0.0,0.6737588652482269,0.24650816070307596,1.2616483,0.2321129
Wipf1,44.890026,3.7353964,0.0,0.0,0.6347517730496454,0.18436126804770872,1.1493628,0.15004776
Grid2,44.674488,1.6949332,0.0,0.0,0.9282899921197794,0.7999058380414312,2.7170062,1.6800604
Hipk2,44.465694,2.3783648,0.0,0.0,0.7407407407407407,0.5496311989956058,1.504303,0.5148225
Sik3,44.061188,1.6676524,0.0,0.0,0.8152088258471237,0.7446641556811049,1.8122697,0.96048295
Rnf220,43.95994,3.8605816,0.0,0.0,0.6713947990543735,0.3702134337727558,1.883124,0.32477772
Wnk1,43.87892,1.6528841,0.0,0.0,0.8238770685579196,0.7541980539861896,1.8096825,0.9648968
Kif13a,42.963867,2.7765636,0.0,0.0,0.6867612293144209,0.4294569993722536,1.2937772,0.3265895
Tbc1d5,42.724777,1.497997,0.0,0.0,0.8392434988179669,0.7717357187696171,1.9008532,1.1036243
Ncam2,42.196964,1.3902352,0.0,0.0,0.9661150512214342,0.8482815442561206,2.8825073,2.005761
