names,scores,logfoldchanges,pvals,pvals_adj,rank_metric
Kcnq1ot1,36.85865,0.7344418,3.257894424380509e-265,7.225358254391092e-261,260.1411406144471
Meg3,34.713238,0.8544548,1.7250863331738366e-234,1.9129482348564673e-230,229.7182967819959
Snhg14,30.341219,0.46362418,8.307280887206478e-186,2.631983935949504e-182,181.57971676572288
A330076H08Rik,29.009619,0.9181039,1.3959520824429286e-172,3.0959425284419274e-169,168.509207109944
Runx1t1,24.955576,0.9866399,1.7577413980103418e-130,2.16573270694852e-127,126.66439514469154
A830082K12Rik,24.952152,1.0223898,7.920793193794666e-131,1.0333373614822242e-127,126.98575786791821
B830012L14Rik,24.88994,0.80533683,1.0695493955637848e-129,1.1860233247406811e-126,125.92590676990383
Rian,24.701944,0.63544255,5.654733053456251e-127,5.9719366504548915e-124,123.22388480786326
Gucy1a2,24.21112,0.6618821,6.674294513922249e-123,6.728295624080348e-120,119.17209493500351
Lhx9,22.87689,2.0174007,7.981275098472078e-111,5.709958681739153e-108,107.2433670343737
C130071C03Rik,22.105022,0.5145374,1.369657561465874e-103,7.993754052155304e-101,100.09724921802675
Nr2f1,22.06782,1.059837,6.815961478630387e-104,4.0855241533260733e-101,100.38875221763972
Sptbn4,21.791327,0.6218518,4.170456281580207e-101,2.3715994721252777e-98,97.62495865499308
Tenm4,21.573387,0.7550574,1.5045407811512867e-98,8.138464742530057e-96,95.0894575136283
Banf2,21.317642,1.8794485,4.6652215177628197e-97,2.406169367928926e-94,93.61867380635273
Tshz2,20.953382,1.7661338,3.5569216386385105e-94,1.7530090689272198e-91,90.75621583714359
Herc1,20.922897,0.42140633,1.489786490189825e-93,7.182714082484769e-91,90.1437114208938
Macf1,20.898073,0.42782038,3.840731490936781e-93,1.7745779792915815e-90,89.75090491193659
Ptprs,20.887905,0.517165,2.8664624898720176e-93,1.3526043638379066e-90,89.86882921576647
Arpp21,20.789316,0.44096148,2.7320303165818258e-92,1.2365503747173824e-89,88.90778818660866
Ptprn2,20.660067,0.5191519,4.98495036059645e-91,2.1260813287943858e-88,87.67242012646791
Snhg11,20.188322,0.67917275,1.5517213626831257e-86,6.145370782426136e-84,83.21145190872485
Pde2a,19.81968,0.74877864,1.1315452100429754e-84,4.182568278055518e-82,81.37855696069654
Phactr1,19.814034,0.4565745,4.714476679136239e-84,1.714060062129238e-81,80.76597396409643
Cdr1os,19.695845,0.3786213,2.993481152901721e-83,1.0707971775653929e-80,79.9702927822081
Cadps,19.198803,0.42348093,2.5705214630979942e-79,8.144146429798188e-77,76.08915442642656
Asic2,19.121904,0.6898516,5.661720600159722e-79,1.7439672148658653e-76,75.75846168370201
Mirg,18.96213,0.7422771,7.762202295532753e-78,2.265133190925334e-75,74.6449062561751
Cux2,18.91469,1.4077532,1.4051072962869215e-77,3.9951884124424796e-75,74.39846273460917
Srcin1,18.907948,0.6421427,2.1937429029423227e-77,6.158586088791751e-75,74.21051898334184
