names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CGE-derived INS (merge) (for_DEGs),mean_expr_Rest (for_DEGs)
Gm17276,-2.7901793,-0.42015594,0.005267887262435605,0.049539944095470176,0.40307101727447214,0.4183185235816815,0.20388535,0.26437396
Dcbld2,-2.7950923,-0.4352749,0.005188487961975692,0.04888871051495406,0.3960332693538068,0.41626794258373206,0.19984798,0.26168936
Tbc1d1,-2.800193,-0.33427244,0.005107206206862484,0.04827703602432918,0.46257197696737046,0.47915242652084755,0.27654716,0.33763805
Atosb,-2.8046482,-0.4722015,0.005037152693436023,0.04772414849280613,0.2834293026231606,0.32057416267942584,0.12546247,0.17010903
Gm26782,-2.806397,-0.43882394,0.005009893316921594,0.04750325615934632,0.33397312859884837,0.36363636363636365,0.16229026,0.21417624
Vamp1,-2.8144538,-0.7705873,0.004886020383212896,0.046438403673756665,0.1599488163787588,0.20984278879015722,0.058414456,0.09769011
Fads6,-2.8157654,-0.7650852,0.004866119330653371,0.04628578908351335,0.15035188739603328,0.20095693779904306,0.05821641,0.09701207
Gnb5,-2.8187633,-0.292479,0.0048209063073614816,0.04594646122140638,0.4932821497120921,0.5078605604921395,0.2671914,0.3185462
Fam114a2,-2.8196793,-0.3012852,0.004807167232134739,0.045851808165834874,0.44529750479846447,0.47163362952836635,0.23253371,0.2795934
Dexi,-2.8434958,-0.32446676,0.004462159656366434,0.043107361878832406,0.44529750479846447,0.46206425153793573,0.22081663,0.2695785
Kcnh5,-2.8500328,-0.43385187,0.004371471173239857,0.042350165622006726,0.33397312859884837,0.3773069036226931,0.22244118,0.29007158
Gm49179,-2.8603172,-0.42768794,0.004232173523049278,0.04122432051638627,0.2706333973128599,0.3144224196855776,0.125659,0.16559888
Palld,-2.8618996,-0.996734,0.0042111041219757405,0.04104420545271701,0.12412028150991683,0.17703349282296652,0.05562817,0.108092144
Rffl,-2.866646,-0.39413458,0.004148465546999753,0.040515670816683724,0.3800383877159309,0.40669856459330145,0.20447527,0.2609452
Kcna6,-2.8681242,-0.3101632,0.004129133003491304,0.04034322079354343,0.49008317338451696,0.5003417634996582,0.2781164,0.3347165
Sdhb,-2.885029,-0.3248613,0.0039137756718673625,0.038488923348817296,0.44081893793985927,0.46206425153793573,0.22735444,0.27743667
Kif13a,-2.9001017,-0.25297308,0.0037304155320649858,0.03689664380872818,0.5303902751119641,0.556390977443609,0.33656174,0.3898867
Idh3a,-2.9012468,-0.3412584,0.003716810545946688,0.03677718372579295,0.43889955214331416,0.4559125085440875,0.21942882,0.27067083
Ankrd42,-2.9018922,-0.26683933,0.0037091621725010154,0.036716589298197475,0.49776071657069737,0.51742993848257,0.28394622,0.33294764
Trpm2,-2.9063683,-0.5103286,0.0036565095213809545,0.03625499189499338,0.2981445937300064,0.32946001367054,0.1322197,0.18344438
Chn2,-2.9191926,-0.3032434,0.0035093948994999687,0.03500037759617094,0.43698016634676906,0.4675324675324675,0.3041304,0.3636633
Nipsnap2,-2.9265206,-0.25299123,0.0034277678076526127,0.034354706566585735,0.5950095969289827,0.6028708133971292,0.3739483,0.4320282
Gm26936,-2.931892,-0.7543264,0.0033690406387964006,0.03386476408379487,0.18426103646833014,0.23376623376623376,0.07601289,0.12506402
Ifitm10,-2.932808,-0.63794637,0.003359117091780519,0.03380734477160134,0.2124120281509917,0.25905673274094326,0.09525201,0.14454336
Lgmn,-2.937617,-0.41501322,0.003307453804027084,0.03337105882538261,0.38131797824696095,0.4107997265892003,0.19213055,0.24875936
