names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_P GABA (for_DEGs),mean_expr_Rest (for_DEGs)
Zdhhc9,-2.6332357,-1.4916304,0.008457566234513792,0.0498038143154472,0.02127659574468085,0.24849871318272806,0.060800847,0.16235748
Gpr26,-2.6342282,-3.2060146,0.008432881105070974,0.04966933697791694,0.02127659574468085,0.24653274235058623,0.01626127,0.14087896
Fis1,-2.634517,-0.89793473,0.008425712085838788,0.049648878014580754,0.0425531914893617,0.27573634543894765,0.11110959,0.19801608
A830036E02Rik,-2.6348326,-27.259163,0.008417877212761144,0.04961359085476902,0.0,0.22208321418358593,0.0,0.14896281
Slitrk3,-2.635049,-0.26690286,0.008412508495019377,0.04959282651627263,0.0851063829787234,0.332284815556191,0.18247269,0.21580723
Tmco3,-2.6359425,-3.832238,0.008390394891267791,0.049473318132184675,0.02127659574468085,0.24392336288247068,0.011062159,0.14707397
Ralgds,-2.6378012,-27.052261,0.008344547306580564,0.04921378097625543,0.0,0.22233342865313124,0.0,0.13029902
Cacnb1,-2.6378102,-1.1997609,0.008344325293168123,0.04921378097625543,0.0425531914893617,0.2712682299113526,0.0721283,0.15854216
Zfp33b,-2.6390824,-1.3730676,0.008313074250905156,0.04906046675199243,0.02127659574468085,0.2489991421218187,0.05631088,0.1397984
Malsu1,-2.6391277,-2.2651708,0.00831196798285813,0.04906046675199243,0.02127659574468085,0.24860594795539034,0.031286236,0.1421714
Wdr82,-2.6418617,-2.3476832,0.008245173475867298,0.048681127509680136,0.02127659574468085,0.2486416928796111,0.031286236,0.14994147
Dnajc16,-2.6428902,-26.977947,0.008220167482272082,0.048554825290976225,0.0,0.2227623677437804,0.0,0.12414654
Parp11,-2.6437385,-26.9924,0.008199599579384388,0.04844398432235235,0.0,0.2228338575922219,0.0,0.12532115
Mri1,-2.6447942,-3.155175,0.008174063449972426,0.04830373540812824,0.02127659574468085,0.24753360022876753,0.01626127,0.13631868
Grik3,-2.6454077,-0.6472506,0.008159254665723596,0.04822683081126111,0.10638297872340426,0.36163139834143554,0.24348567,0.35891703
Mapkapk5,-2.646283,-26.943314,0.008138171927557957,0.04811280081264738,0.0,0.22304832713754646,0.0,0.12137347
Gga3,-2.646653,-1.3167126,0.008129275337475034,0.048070780879831465,0.0425531914893617,0.27187589362310555,0.067792304,0.16103384
Cntnap4,-2.6468694,-1.176352,0.008124071617812994,0.048050584277049335,0.10638297872340426,0.3514798398627395,0.21936433,0.44106168
Rabgef1,-2.647086,-0.46979544,0.008118870880009328,0.048038086524155,0.0851063829787234,0.3319273663139834,0.15919034,0.21429017
Rab27a,-2.6477087,-1.3904386,0.008103935355449086,0.047963159251303296,0.02127659574468085,0.24974978553045468,0.06021716,0.15075685
Lrfn5,-2.64899,-1.1091833,0.00807327584691117,0.04779222780491366,0.574468085106383,0.8580569059193595,1.6250169,2.2822096
Tns3,-2.6491613,-1.6510386,0.008069181404877333,0.04777851572257689,0.0425531914893617,0.27520017157563625,0.0938455,0.26926666
Fbxl4,-2.6494951,-1.3415811,0.008061213352472068,0.04774185646482797,0.0425531914893617,0.2719116385473263,0.06957097,0.16770735
Mfn2,-2.6499283,-0.6404439,0.008050886916807455,0.047691210638142925,0.0425531914893617,0.2775235916499857,0.11110959,0.16821179
Nup210,-2.6514802,-1.096705,0.008013981041088358,0.04748305856097998,0.0425531914893617,0.2754146411209608,0.07572722,0.15550238
Ddb1,-2.6515703,-3.3375607,0.008011840017645084,0.04748305856097998,0.02127659574468085,0.24760509007720904,0.01626127,0.15334593
Gtf2ird2,-2.6526442,-26.994858,0.007986401122095031,0.04735097046573113,0.0,0.2235845010008579,0.0,0.125522
Prdm5,-2.6531675,-1.995954,0.007974028569912644,0.047288048482355495,0.0425531914893617,0.2742708035458965,0.063465625,0.2321884
Trim41,-2.6531765,-3.236282,0.007973815400652572,0.047288048482355495,0.02127659574468085,0.24803402916785816,0.01626127,0.14366116
Slc25a28,-2.6539164,-26.956564,0.007956352877759048,0.04720406311004319,0.0,0.22369173577352017,0.0,0.122427195
Rnf32,-2.654548,-0.79971635,0.007941472951380542,0.04712618776581166,0.06382978723404255,0.3036888761795825,0.10701346,0.17949875
Wipi1,-2.6547647,-27.189583,0.007936377002563215,0.04710635079718878,0.0,0.2237632256219617,0.0,0.14242499
Pcnt,-2.6551888,-27.073336,0.007926405918682735,0.047057562314406776,0.0,0.22379897054618245,0.0,0.13209514
Dhx33,-2.6551888,-26.962507,0.007926405918682735,0.047057562314406776,0.0,0.22379897054618245,0.0,0.12290288
Cpsf3,-2.655721,-0.75709945,0.007913904909476204,0.04700411691371034,0.0425531914893617,0.2779525307406348,0.100765854,0.16481847
Ppid,-2.6559377,-1.4962614,0.007908824807778212,0.04698432955671028,0.02127659574468085,0.2503574492422076,0.057570495,0.15458979
Hcn1,-2.6578054,-1.0273362,0.007865130022657471,0.046735082642372014,0.3829787234042553,0.7485702030311696,1.0332977,1.5454108
Cep192,-2.658031,-1.2316843,0.007859867536878848,0.04671414304709901,0.0425531914893617,0.27766657134686873,0.0772233,0.17272367
Pde1b,-2.6581573,-27.106333,0.00785692192278191,0.046706967271050864,0.0,0.22404918501572776,0.0,0.13495381
Gm29514,-2.6589785,-1.0165054,0.007837799523581539,0.04661391615728994,0.0851063829787234,0.32656562768086933,0.1303464,0.248148
Rbm15,-2.6594205,-1.5823765,0.007827520125941914,0.04656308739961462,0.02127659574468085,0.25067915356019443,0.051233098,0.14619534
B3galt5,-2.6594296,-27.22278,0.007827310468133892,0.04656308739961462,0.0,0.22415641978839004,0.0,0.14551042
Plekhg1,-2.660404,-1.5772866,0.0078046970151610775,0.04644788677682794,0.0425531914893617,0.276880183014012,0.11522761,0.31074578
Hnrnpa1,-2.660729,-0.85797286,0.0077971722151189745,0.046413384452868155,0.06382978723404255,0.3031884472404919,0.11984157,0.20763426
Arpp21,-2.6609004,-1.2003129,0.007793203414051032,0.04640003893985181,0.46808510638297873,0.7986488418644553,1.2455814,1.9001895
Zfp60,-2.6618748,-1.2092915,0.0077706782786090825,0.04627618026290471,0.0425531914893617,0.2760223048327137,0.074054934,0.16359094
Gpc5,-2.661956,-0.8371857,0.007768803819809368,0.04627527347334908,0.2978723404255319,0.6135616242493566,0.8242729,1.190036
Mylip,-2.661983,-1.5911467,0.007768179090248643,0.04627527347334908,0.02127659574468085,0.25092936802973975,0.058450583,0.1666608
Afg3l1,-2.662398,-1.1891291,0.007758605538856616,0.046235025688418106,0.0425531914893617,0.27605804975693454,0.07606781,0.16569525
Zfp444,-2.662398,-26.99189,0.007758605538856616,0.046235025688418106,0.0,0.22440663425793536,0.0,0.12527975
Gm27032,-2.6624162,-2.9776785,0.007758189537416341,0.046235025688418106,0.02127659574468085,0.24960680583357164,0.018303549,0.13584791
Cntn1,-2.662732,-1.4111145,0.007750912746847165,0.04621993464442595,0.3829787234042553,0.8295324563911924,1.0398448,1.7687424
Lcmt1,-2.6629937,-0.70572394,0.007744888039880574,0.04619426007360511,0.0425531914893617,0.2785601944523878,0.10778834,0.17026839
Kctd17,-2.66469,-0.64026535,0.007705932995962933,0.04597211802875755,0.0425531914893617,0.2788104089219331,0.10920466,0.16538736
Fam185a,-2.6669638,-1.1405376,0.007653992119558763,0.04567238913003419,0.0425531914893617,0.27830997998284246,0.07635532,0.16120769
Hsf1,-2.667063,-26.935421,0.007651732023857601,0.045669044753676974,0.0,0.22479982842436375,0.0,0.12074961
Lypla1,-2.6681728,-1.4416441,0.007626500755336784,0.04554880535583449,0.0425531914893617,0.27337718044037745,0.067218244,0.17299612
Sin3a,-2.668642,-0.9158592,0.007615856325856546,0.045495344481050554,0.0425531914893617,0.27902487846725765,0.09443589,0.17130762
Soga1,-2.669797,-1.4763731,0.007589711370666824,0.04534924272399768,0.0425531914893617,0.27545038604518157,0.077062115,0.20122682
Ppfia3,-2.6701038,-0.48681927,0.007582780155931866,0.04531790542479743,0.06382978723404255,0.30558335716328283,0.13444127,0.18369657
Gm11149,-2.6724317,-1.9630287,0.007530369111824886,0.04502470361253553,0.02127659574468085,0.2517515012868173,0.042887803,0.15772863
Paip1,-2.6728199,-0.30583093,0.007521665587020419,0.04498267400917842,0.0851063829787234,0.3369316557048899,0.18913797,0.22902428
Orc5,-2.6731265,-0.953106,0.007514790117121623,0.04495156065161576,0.0425531914893617,0.279418072633686,0.090398096,0.16819577
Vstm2b,-2.6734242,-27.124615,0.0075081222568230506,0.04492167558246168,0.0,0.22533600228767514,0.0,0.13656251
Mapk10,-2.6739926,-1.3542954,0.007495407435695579,0.044855589709830786,0.40425531914893614,0.8115170145839291,1.0746338,1.7803123
Plekha5,-2.6745703,-0.89678264,0.007482510566460364,0.04479836428716354,0.3404255319148936,0.7612239062053189,0.86257666,1.2667899
Gm20275,-2.6754365,-1.3185861,0.0074632025740363865,0.044692724128450566,0.06382978723404255,0.29818415784958535,0.079012595,0.18653736
Mrpl41,-2.6755266,-1.1948544,0.007461193896674885,0.04469065537308386,0.06382978723404255,0.298684586788676,0.088124275,0.19135708
Tatdn3,-2.676817,-26.925161,0.007432522803406204,0.044528848991644304,0.0,0.22562196168144125,0.0,0.1199431
Ikzf4,-2.6788201,-3.0469818,0.007388208188179012,0.04427322792514943,0.02127659574468085,0.2507863883328567,0.018303549,0.14207946
mt-Atp6,-2.6790006,-0.4177731,0.007384227541875924,0.04425924471340756,0.10638297872340426,0.3670646268229911,0.30419117,0.38861516
Calb1,-2.67956,-0.4188238,0.007371899761800625,0.0441952134314107,0.0851063829787234,0.338861881612811,0.23816086,0.30711183
Arl13b,-2.6796682,-0.9667307,0.00736951587347799,0.04419078141494166,0.06382978723404255,0.3044037746639977,0.10251673,0.19143763
Adam15,-2.6797404,-1.4023865,0.007367926998814964,0.04419078141494166,0.02127659574468085,0.25250214469545323,0.06106614,0.15396643
Slc22a15,-2.6802096,-26.997671,0.007357606802029679,0.044139070053703384,0.0,0.22590792107520732,0.0,0.12575224
