names,scores,logfoldchanges,pvals,pvals_adj
Frmpd4,19.662024,0.7153141,5.19267954893362e-80,3.532320263162095e-76
Tenm2,19.223448,0.66036326,3.122624816873095e-76,1.0620827658389615e-72
Dab1,17.253845,0.31893307,2.9112659704806996e-62,6.601295588064986e-59
Grik4,17.15065,0.8724236,1.363480198527309e-61,2.6500211572805772e-58
Tenm4,15.482937,1.2018281,1.4662616994532507e-50,1.8134991291874068e-47
Mir99ahg,15.042232,0.60383266,1.5404383283428725e-48,1.4969759612217702e-45
Meg3,13.435074,0.3861408,1.5683729176307863e-39,9.698960701984931e-37
Nlgn1,13.414202,0.25362724,1.6495147038590485e-39,9.757238063479285e-37
Prkg1,12.753092,0.36318633,4.900978291035946e-36,2.0205396863498193e-33
Lhx9,12.539004,1.6808182,3.919378629569902e-34,1.5235184644371005e-31
Kctd16,12.202653,0.38504025,5.019301200657811e-33,1.588083554301152e-30
Naaladl2,12.189523,0.7262772,7.350601446537143e-33,2.2728393790940414e-30
Pdzrn4,12.18479,0.9445377,7.939663242546792e-33,2.4004248536633134e-30
St6galnac3,12.1082,0.49518967,1.1675477164152096e-32,3.37967801741041e-30
Rbfox1,12.03203,0.24130228,2.732213754992302e-32,7.744118361806306e-30
Dpp10,11.895309,0.7527598,1.7591934048240066e-31,4.692907112280512e-29
Dcc,11.737892,0.55592746,8.19030982680751e-31,2.02598482170393e-28
Negr1,11.465428,0.26380104,1.726443611708166e-29,3.914710889548266e-27
Car10,11.342684,0.7891624,7.175287522549925e-29,1.5253091678795583e-26
Gm28307,11.041526,1.3245484,3.27862246982998e-27,5.869165618689063e-25
Pde1a,10.99511,0.77765435,2.9852830173053723e-27,5.415303393391946e-25
Msra,10.891102,0.4227278,7.3810650959323e-27,1.2874280850020377e-24
Adcy8,10.81218,0.88301724,2.2204330238016986e-26,3.7761239111027634e-24
Shisa9,10.4758625,0.3853374,5.172451568567718e-25,7.649043868517805e-23
Pcsk5,10.321968,0.6251028,2.5476428387635732e-24,3.4317505763741e-22
A230006K03Rik,10.234408,0.8594268,6.645464273593254e-24,8.529390702097757e-22
Schip1,10.107757,0.38660863,1.802537311603463e-23,2.24986423159313e-21
Nkain2,10.0763235,0.19853875,2.0926929435732364e-23,2.5649628375958452e-21
Csmd2,10.055159,0.44864434,3.0854782682776015e-23,3.7148612247713956e-21
Ralyl,10.001148,0.405605,4.604299954203855e-23,5.447087032777691e-21
Snhg11,9.951759,0.58941764,8.654783567607554e-23,1.0063959866435962e-20
Ptprd,9.804548,0.20591891,3.197311252860261e-22,3.531680228172978e-20
Xkr4,9.7894,0.3098828,3.961450598671482e-22,4.2105887027285564e-20
Clstn2,9.776377,0.29214334,3.953746783055559e-22,4.2105887027285564e-20
Trpm3,9.728822,0.365438,6.705188890281394e-22,7.017238065559874e-20
Greb1l,9.679086,0.79510766,1.3246625382689146e-21,1.3349654691221171e-19
Slit3,9.58769,0.24657048,2.448112847497265e-21,2.3961564956978625e-19
Frmd4a,9.576832,0.29188606,2.693976263811022e-21,2.617967647796354e-19
Ano3,9.424559,0.3691839,1.1171136404274863e-20,1.0339000733344185e-18
Cntnap5a,9.349731,0.33701345,2.182675000641378e-20,1.97968622558173e-18
Csmd1,9.063588,0.14457959,2.724154210694114e-19,2.1178353163710527e-17
Fgf14,8.99827,0.16615735,5.221955518882404e-19,3.9469280463552834e-17
Arpp21,8.974826,0.2950599,6.606289192428832e-19,4.938382662801883e-17
Anks1b,8.910619,0.19436324,1.1144498372270104e-18,8.195724343499176e-17
Cdh10,8.703057,0.66951615,7.383495851147302e-18,5.047862364565782e-16
Cntn5,8.683303,0.28882146,7.451280094240147e-18,5.06873328410686e-16
Cacna2d3,8.672602,0.40484813,8.796851084893312e-18,5.895623596550419e-16
Ryr2,8.593946,0.17592292,1.5938051486167057e-17,1.032558049853823e-15
Cadps,8.574731,0.29664838,2.0404530099024354e-17,1.3033034366066963e-15
Zfpm2,8.310593,0.21036054,1.6992703103034087e-16,1.0139724812139418e-14
Gm11867,8.255633,0.91898024,3.2897871131159e-16,1.9045767520826306e-14
Cntnap2,8.21556,0.4266816,3.722078633266223e-16,2.1276840254448303e-14
Cacna1c,8.212629,0.20719653,3.672283066791776e-16,2.1080764187216084e-14
Galntl6,8.187461,0.572626,5.027222671854445e-16,2.8262547293627985e-14
Gria4,8.177394,0.5208923,5.209849758927211e-16,2.916872673670976e-14
C130071C03Rik,8.133867,0.36727595,7.596607732738283e-16,4.1674132340284013e-14
Hecw1,8.117693,0.33286098,8.340878767145931e-16,4.535764273053443e-14
Prr16,7.9845996,0.6347776,2.4996770848579097e-15,1.2642418862264633e-13
Slit2,7.9762564,0.65111256,2.7097009704830365e-15,1.365388211237841e-13
Il1rapl2,7.9328976,0.7090506,3.636703169005565e-15,1.8057425771649895e-13
Grik2,7.749607,0.16937532,1.44059498652603e-14,6.735152849376851e-13
Auts2,7.671404,0.1525201,2.706533136197725e-14,1.2112626091437517e-12
Lrrc7,7.670073,0.14583835,2.6639384537314135e-14,1.1961347413536594e-12
Dlgap2,7.6012106,0.18147403,4.32320205145982e-14,1.9034680877058527e-12
Gabra2,7.56576,0.25996137,6.062813638521878e-14,2.6437365241054537e-12
Arhgap15,7.53427,0.6127673,8.014468505276314e-14,3.4288315727762345e-12
Caln1,7.500111,0.35164276,9.518941956602122e-14,4.021900786322108e-12
Eml6,7.4771366,0.31571487,1.147791431265404e-13,4.790092767596879e-12
