names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,mean_expr_Emx1_Control (for_DEGs),mean_expr_Nestin_Control (for_DEGs)
Gas2,3.3002734,1.1849333,0.0009659064891066537,0.03810940147929888,0.6105263157894737,0.21951486,0.4434598
Ube2e2,3.2984152,0.49674854,0.0009723223323414091,0.03820466514072335,1.0,1.6862556,1.9751142
Mark2,3.2872655,0.77243096,0.0010116534883361102,0.039106346180701135,0.8947368421052632,0.6223618,0.90611213
Atg4a,3.2872655,2.6465592,0.0010116534883361102,0.039106346180701135,0.3894736842105263,0.040639296,0.23088427
Pgap1,3.2854073,0.8427292,0.0010183501098575771,0.03920647922951672,0.9263157894736842,0.6155143,0.92644453
Cadps,3.2575336,0.39456815,0.0011238500626074345,0.04292208159110314,1.0,2.2161624,2.4632215
Xkr6,3.246384,0.9417197,0.001168811135395786,0.044284955241107,0.8315789473684211,0.6070273,0.9569801
Prkce,3.2389507,0.40579483,0.0011997024807689092,0.04492062465247665,1.0,1.8482378,2.090128
Astn2,3.2389507,0.9997599,0.0011997024807689092,0.04492062465247665,0.8526315789473684,0.9100907,1.3784134
Trpc5,3.2389507,0.79223585,0.0011997024807689092,0.04492062465247665,0.9157894736842105,0.942135,1.3112963
Kcnc1,3.2370925,1.0951548,0.0012075422914234243,0.04503755390043303,0.6736842105263158,0.24552283,0.46657676
Mgll,3.2203681,1.6317358,0.0012802603702756817,0.04695957684518865,0.49473684210526314,0.123110026,0.34073293
Dpp10,3.2203681,1.0866326,0.0012802603702756817,0.04695957684518865,1.0,2.9706793,3.696372
Inpp5a,3.21851,1.409469,0.0012885849532299357,0.04695957684518865,0.5052631578947369,0.12662126,0.30643916
Sfpq,3.2166517,0.53082806,0.0012969594733116157,0.047085053426537286,0.9789473684210527,0.975268,1.219816
Sash1,3.2129352,0.9760796,0.0013138594080060772,0.04751791525621979,0.7473684210526316,0.4069767,0.68713903
Fndc3b,3.2092187,0.94477344,0.0013309623534230673,0.04759561254862714,0.8421052631578947,0.46987432,0.7675744
Plcl1,3.2092187,1.0199049,0.0013309623534230673,0.04759561254862714,0.8421052631578947,0.6762668,1.0851555
Efna5,3.2017856,1.2422593,0.0013657860955065212,0.04829824311072691,0.5263157894736842,0.21262142,0.444987
Sox2ot,3.2017856,1.7223042,0.0013657860955065212,0.04829824311072691,0.49473684210526314,0.17667407,0.49324864
Tanc1,3.1943526,1.7880838,0.0014014485455500967,0.049194965856295306,0.4631578947368421,0.10124848,0.3133367
Osbpl6,3.1943526,0.6424497,0.0014014485455500967,0.049194965856295306,0.9368421052631579,0.9674763,1.2659374
Chrna7,3.190636,1.057073,0.0014195999546710374,0.049468395500726514,0.7263157894736842,0.3913626,0.6914693
Aatf,3.190636,1.1924338,0.0014195999546710374,0.049468395500726514,0.5789473684210527,0.17284226,0.35851485
Pclo,3.1887777,0.35507312,0.0014287567100199669,0.04960643297189325,1.0,1.8809474,2.0932407
