Number,Pathway
1,Necroptosis
2,Intrinsic Pathway For Apoptosis R-Hsa-109606
3,Ferroptosis
4,PCD R-Hsa-5357801
5,Reg. Apoptosis R-Hsa-169911
6,Apoptosis R-Hsa-109581
7,Chaperone Med. Autophagy R-Hsa-9613829
8,Reg. Necroptotic Cell Death R-Hsa-5675482
9,Autophagy R-Hsa-9612973
10,Nrif Signals Cell Death From Nucleus R-Hsa-205043
11,Reg. PCD (Go:0043067)
12,+Reg. Of Intrinsic Apoptotic Signaling Pathway (Go:2001244)
