Number,Pathway
1,Oxidative Phosphorylation
2,Oxidative Phosphorylation
3,Aerobic Electron Transport Chain (Go:0019646)
4,Mito. Atp Synthesis Coupled Electron Transport (Go:0042775)
5,Rrna Metabolic Process (Go:0016072)
6,"Respiratory Electron Transport, Atp Synthesis By Chemiosm..."
7,Oxidative Phosphorylation (Go:0006119)
8,Respiratory Electron Transport R-Hsa-611105
9,Citric Acid (Tca) Cycle And Respiratory Electron Transpor...
10,Proton Motive Force-Driven Mito. Atp Synthesis (Go:0042776)
11,"Mito. Electron Transport, Cytochrome C To Oxygen (Go:0006..."
12,Mito. Respiratory Chain Complex I Assembly (Go:0032981)
