names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_rest (for_DEGs),mean_expr_Rest (for_DEGs)
Snap25,8.824918,-0.26365834,1.0954059727644477e-18,3.2415813312974354e-18,0.632837277384728,0.8902077151335311,1.7214977,1.8739307
Vmn2r120,-2.233432,-3.2676876,0.025520459771095405,0.0499333542597636,0.0012198097096852891,0.02302837798303172,0.00095973944,0.009205204
Slc25a10,-2.2352269,-1.0420084,0.025402453784379244,0.04970608310415601,0.004147353012929983,0.026037530822919715,0.005500558,0.011293347
Bub1b,-2.2369537,-2.4736054,0.025289358522995794,0.04949199297253437,0.001463771651622347,0.023320934509131943,0.0020858147,0.011530601
5830408C22Rik,-2.238902,-1.3438683,0.02516228204564894,0.04925047483730966,0.003659429129055867,0.025577799139047938,0.006085492,0.015375172
Mdh1b,-2.2404587,-2.0701988,0.025061154709215168,0.049063258800481714,0.0012198097096852891,0.0231119655619175,0.0021939434,0.009181186
Efhd1,-2.240466,-0.27872878,0.025060680446001328,0.049063258800481714,0.014149792632349353,0.03631880302587036,0.02275379,0.027537016
Tomm20l,-2.2407136,-1.7341506,0.025044627833110934,0.04903804925130736,0.0017077335935594047,0.023613491035232165,0.0030844514,0.0102248555
B530045E10Rik,-2.241021,-1.6116164,0.025024726837477987,0.04900265341226013,0.001463771651622347,0.02336272829857483,0.00307308,0.009361639
Lrrc2,-2.2416518,-0.9819332,0.024983884753688144,0.04892624322801549,0.003659429129055867,0.025619592928490826,0.006032884,0.011880779
Gm41836,-2.24182,-0.8403383,0.02497300778692534,0.04890850723284868,0.008294706025859966,0.03034229113553726,0.0099849375,0.017807776
Gm38825,-2.2452538,-1.3429954,0.024751836713290235,0.048482421088067405,0.002683581361307636,0.024658335771304385,0.0044485503,0.011246627
Ncmap,-2.2457366,-1.2466276,0.024720886698533152,0.04842532810305357,0.00561112466455233,0.027625694821749487,0.0056544044,0.013365409
Hsf4,-2.2461345,-1.4922595,0.024695388212679126,0.04837890647963605,0.0024396194193705783,0.02440757303464705,0.0034615602,0.0097079845
4933411O13Rik,-2.2462108,-1.9550049,0.024690505277693568,0.04837286743066906,0.0021956574774335204,0.024156810297989717,0.0026990566,0.010424325
Birc3,-2.246217,-1.6705412,0.024690103977770102,0.04837286743066906,0.0048792388387411565,0.02687340661177749,0.0061387033,0.019412052
Pla2g4b,-2.2462933,-2.3185697,0.024685221947908675,0.04836957002408707,0.0019516955354964625,0.023906047561332387,0.0021222534,0.010542077
Trim45,-2.247102,-0.31647,0.024633510472098868,0.04827176388457531,0.005855086606489388,0.02791825134784971,0.009293493,0.011559866
Il15,-2.248177,-0.8617718,0.0245649076063961,0.04814084073983394,0.015125640400097584,0.03723826639361391,0.02078639,0.037459362
Cfap206,-2.248857,-0.4064768,0.02452159133654657,0.04805945727301286,0.009270553793608197,0.03142892966105237,0.010105611,0.013372533
Btbd19,-2.2495496,-2.0395322,0.024477544650170015,0.04797663029761969,0.0017077335935594047,0.02369707861411794,0.0023233755,0.00951735
Gm56728,-2.2504482,-1.6627296,0.02442051234046764,0.047868337218293366,0.002683581361307636,0.024700129560747273,0.0033075465,0.010434901
3110083C13Rik,-2.2516224,-1.361353,0.024346146077166234,0.047726048376264436,0.002927543303244694,0.024950892297404607,0.0040681767,0.010419031
Rinl,-2.2519422,-1.5837625,0.02432593448034656,0.047689906572808416,0.005123200780678214,0.02716596313787771,0.0059433472,0.017710503
Grin2c,-2.2522502,-0.498888,0.024306463214351936,0.04765521098647475,0.020492803122712858,0.042796840389518115,0.03008838,0.04225908
1700026F02Rik,-2.2540827,-1.581517,0.024190970408192673,0.0474384042693697,0.0024396194193705783,0.02449116061353283,0.0033707968,0.010054576
9430037G07Rik,-2.2547104,-1.9323059,0.024151506913355957,0.04736522814114843,0.0021956574774335204,0.024240397876875496,0.0025490343,0.00969404
Rfc4,-2.2547367,-0.5513241,0.02414986654689356,0.04736522814114843,0.0048792388387411565,0.026998787980106156,0.008867031,0.012967362
Mfsd9,-2.2552705,-0.75409186,0.024116358615429465,0.047303201401313215,0.004147353012929983,0.026246499770134157,0.007025348,0.01182031
Gm3752,-2.2557478,-1.3373538,0.024086425792592975,0.04725138797159767,0.003903391070992925,0.025995737033476827,0.0046050125,0.011595631
Gm16062,-2.2596664,-0.5670143,0.023841955825851004,0.046782047103886115,0.003903391070992925,0.026037530822919715,0.007552016,0.011167726
Stab1,-2.2597814,-0.6081201,0.02383481922119711,0.046771459320351004,0.014881678458160527,0.03719647260417102,0.023986585,0.036335886
4930474M22Rik,-2.2611542,-4.665696,0.023749712401621905,0.046607856575487924,0.00024396194193705782,0.02231788356250261,0.00039755506,0.010041924
Gm12758,-2.2628706,-0.6113896,0.02364366750021892,0.04640652634995488,0.003903391070992925,0.026079324612362603,0.0075266156,0.011475919
