names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NP-CT-L6b Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Zfhx3,6.3176694,-0.4436684,2.6553725164757296e-10,1.3689535594340532e-09,0.3587751371115174,0.24799690342558545,0.24220237,0.31679896
Lpcat2,5.49288,-0.283728,3.954315979778662e-08,1.7809666506311204e-07,0.32861060329067643,0.23921037352428876,0.17036602,0.2038435
Lrmda,5.4069486,-0.43841916,6.410751536617767e-08,2.841116506497104e-07,0.29341864716636196,0.20112250822527578,0.18638937,0.24502395
Vcan,5.2227693,-0.25331104,1.7626681851625234e-07,7.612130650830871e-07,0.27010968921389394,0.1884265531256048,0.16471413,0.19344586
Lgmn,5.201457,-0.33584356,1.9773233224950962e-07,8.50362958953957e-07,0.39488117001828155,0.29932262434681634,0.21244939,0.26139987
Rnf220,5.1651416,-0.35268578,2.4025707622305256e-07,1.0273245764025178e-06,0.5,0.38885233210760595,0.38739264,0.47260207
Dusp16,5.009296,-0.31098613,5.462950456245579e-07,2.2857284141905747e-06,0.26371115173674586,0.18258176891813432,0.12385601,0.15149353
Elovl7,4.7929397,-0.38654587,1.643552166020826e-06,6.637944791970479e-06,0.26782449725776963,0.1898974259725179,0.13799636,0.1768374
Ccp110,4.644488,-0.3818015,3.4092081993828116e-06,1.3507140123476283e-05,0.3313528336380256,0.24853880394813238,0.16557607,0.21077037
Eeig1,4.535286,-0.25617328,5.752550237442187e-06,2.2440624982588785e-05,0.2870201096892139,0.21072188891039287,0.12407899,0.1464994
Skap2,4.5067167,-0.261532,6.583837525582428e-06,2.558688375938673e-05,0.4282449725776965,0.3322237275014515,0.24028479,0.2818607
Ctsb,4.4715023,-0.27574417,7.767196546601931e-06,3.0020728459925706e-05,0.5521023765996343,0.4356880201277337,0.34529743,0.4049782
Mtus1,4.4376407,-0.43023244,9.095024188347496e-06,3.496184548510689e-05,0.21846435100548445,0.14890652215986067,0.104782596,0.13876289
Mdh2,4.4294596,-0.270173,9.446954242150847e-06,3.625245079785679e-05,0.340036563071298,0.2590671569576156,0.1680563,0.19941883
Tkt,4.3712125,-0.28159404,1.2355855722174289e-05,4.687967286851499e-05,0.3016453382084095,0.22775304819043932,0.14046912,0.1683233
Septin4,4.3668184,-0.4246488,1.2606953247767364e-05,4.778513665785147e-05,0.34186471663619744,0.2582155989936133,0.19588377,0.2549853
Eeig2,4.2755876,-0.3541882,1.906340054914785e-05,7.12424996878446e-05,0.30347349177330896,0.22728856202825623,0.1420332,0.17821547
Nkain1,4.230854,-0.28402722,2.328056865789972e-05,8.630641278114865e-05,0.22714808043875687,0.16094445519643893,0.09643336,0.11623886
Gaa,4.2244024,-0.25104555,2.3957539297777677e-05,8.871817543154441e-05,0.34506398537477145,0.26541513450745113,0.16682331,0.19560893
Ndufa12,4.220951,-0.27277812,2.4327355831561024e-05,9.003802358044693e-05,0.3743144424131627,0.29100058060770273,0.1933283,0.22926193
Sec61g,4.2188373,-0.27225703,2.4556521208204146e-05,9.083614053750626e-05,0.2536563071297989,0.1864911941165086,0.12137488,0.14483678
5830416I19Rik,4.1429315,-0.30068016,3.4289446013532425e-05,0.000125542637196296,0.22943327239488118,0.16438939423263016,0.12104541,0.14712057
Ctsa,4.135291,-0.27675927,3.545050739075015e-05,0.00012968756073375855,0.22212065813528337,0.1591252177278885,0.0936961,0.11243344
Prdx1,4.0171824,-0.33999643,5.8898124846252684e-05,0.000212428538875008,0.2742230347349177,0.20615444164892588,0.13399965,0.16678429
Lyn,4.0071707,-0.6344409,6.145039716917589e-05,0.00022142579749708408,0.2719378427787934,0.2016644087478227,0.14344189,0.2146529
Rrp1,4.006451,-0.31606343,6.163785847675731e-05,0.0002220119647815642,0.3560329067641682,0.2769498742016644,0.18201508,0.22196493
Arsg,3.9859946,-0.32433355,6.719803451807879e-05,0.00024123061957258212,0.22257769652650822,0.16036384749371008,0.09433082,0.11676958
Itga9,3.9618707,-0.5197407,7.436484128001216e-05,0.000266105111891587,0.18738574040219377,0.12661118637507257,0.08366235,0.11787802
Abca9,3.93312,-0.5601172,8.385036719198528e-05,0.0002983394288200006,0.16179159049360145,0.10412231468937488,0.07859244,0.113820486
Sod1,3.8737898,-0.29908594,0.0001071558730132175,0.00037870292093451985,0.34323583180987205,0.26835688020127735,0.17392112,0.21003617
Cox7b,3.8560085,-0.26750353,0.00011525351641542482,0.00040614583424032326,0.5342778793418648,0.42825624153280434,0.3302397,0.38595483
Fis1,3.8219237,-0.2841906,0.00013241461324813445,0.00046430649327644177,0.3423217550274223,0.26967292432746276,0.16743267,0.20044774
Cx3cr1,3.7849135,-0.631757,0.00015376207874946075,0.0005353877226899068,0.2340036563071298,0.17139539384555835,0.12311317,0.18481617
Acss1,3.757426,-0.4324567,0.00017167003125956526,0.0005955465299613447,0.2906764168190128,0.2202051480549642,0.14228353,0.18759747
Sox6,3.7497237,-0.29744104,0.0001770294671149817,0.0006132244142554542,0.3811700182815356,0.3028449777433714,0.40448266,0.47789207
Snrpd3,3.7273116,-0.25356293,0.00019353305893257352,0.0006685823211003151,0.27010968921389394,0.20774143603638476,0.11947279,0.14088015
Peli2,3.679844,-0.3298507,0.0002333767294422009,0.0008013843731772446,0.3240402193784278,0.25078382039868397,0.17086345,0.21041822
Lrpap1,3.655969,-0.2948442,0.000256212306135316,0.0008765501229763103,0.4008226691042048,0.3188310431585059,0.20212027,0.24277867
0610040J01Rik,3.6484387,-0.5093728,0.0002638388509462351,0.0009019529166571675,0.24451553930530165,0.18211728275595124,0.11991905,0.1666604
Smc1a,3.6234903,-0.33384588,0.00029065404868115085,0.0009913524102643466,0.3482632541133455,0.27609831623766207,0.1743935,0.21521673
Spcs2,3.6187592,-0.2758705,0.000296018998656784,0.0010087546599756227,0.32312614259597805,0.2558931681826979,0.15623532,0.18625952
Gabarapl1,3.598714,-0.2708417,0.0003197945903510609,0.0010861939884632796,0.443327239488117,0.3561447648538804,0.24750552,0.29178882
Zmat2,3.5970516,-0.30045786,0.00032184460111762004,0.001092604476567334,0.3962522851919561,0.3181730210954132,0.22641894,0.27226457
Gtf2h5,3.5756881,-0.2517434,0.0003493077814717683,0.0011822521839206972,0.33546617915904936,0.26700212889491,0.15883538,0.18644933
Dusp10,3.559908,-0.38621077,0.00037098499786432176,0.0012527795516670008,0.13482632541133455,0.08353009483259144,0.052277423,0.06779115
Skp1,3.551666,-0.29650682,0.0003828004142143311,0.001291380681724931,0.43555758683729434,0.3532030191600542,0.24672458,0.29540756
Ndufv3,3.531822,-0.32290706,0.00041270729352061743,0.0013889585391907552,0.3523765996343693,0.2815173214631314,0.17539984,0.21496315
Mlec,3.5016592,-0.26207224,0.00046237053494409475,0.0015502740546478445,0.24360146252285192,0.18672343719760015,0.09752525,0.11586576
Klhl14,3.4663057,-0.26477844,0.0005276627387622106,0.0017580034458202852,0.1425959780621572,0.09336171859880008,0.062096696,0.07415273
St6gal1,3.463475,-0.3716409,0.0005332460245817656,0.0017761647056541516,0.39853747714808047,0.3161602477259532,0.22660153,0.2844708
Atp6v0e2,3.4461534,-0.27570832,0.0005686275085937896,0.0018907339631128732,0.3907678244972578,0.31612154054577124,0.21145552,0.25080737
Klhl13,3.4180331,-0.33854002,0.0006307545584305213,0.0020890391945061143,0.23491773308957953,0.17646603444939035,0.10227554,0.1276627
Angpt1,3.405865,-0.29263607,0.0006595477428146219,0.0021801018390243438,0.26279707495429616,0.20189665182891425,0.17808431,0.21411082
Vdac2,3.3781726,-0.2822139,0.000729692509883109,0.002401915685478273,0.3843692870201097,0.3100832204373911,0.19563788,0.23331052
Clta,3.3714666,-0.2714852,0.000747690920274281,0.0024572474349033673,0.4570383912248629,0.3709309076833753,0.2519692,0.2970537
Sox8,3.3652835,-0.3070772,0.0007646502771775964,0.002510833795400466,0.20338208409506398,0.15134507451132184,0.09284934,0.11366346
