names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Ependymal NN (for_DEGs),mean_expr_Rest (for_DEGs)
Dnah12,7.3436303,10.431251,2.0787701142002308e-13,1.0929444529553181e-09,1.0,0.018808440511589582,2.6174579,0.009156374
Tmem212,7.3424606,11.885317,2.097023936713326e-13,1.0929444529553181e-09,1.0,0.003510908895496722,2.5115747,0.0029890006
Dnah6,7.341788,8.834077,2.1075910913176598e-13,1.0929444529553181e-09,1.0,0.04195177874108838,2.4220023,0.022250509
Spag16,7.3308516,8.650853,2.286947417018732e-13,1.0929444529553181e-09,1.0,0.05979292802636764,2.933331,0.043308552
Cfap61,7.3237753,7.509876,2.410904614745282e-13,1.0929444529553181e-09,1.0,0.06785368824562032,1.9434155,0.03229661
Spef2,7.322138,7.3842444,2.440516084008898e-13,1.0929444529553181e-09,1.0,0.09182101529753162,2.3361907,0.054410256
Syne1,7.2427177,3.5816538,4.397818350108667e-13,1.6881339866774266e-09,1.0,0.8184358542614553,3.8680196,1.5918704
Lrrc36,6.928576,9.8336525,4.250980807466515e-12,1.0514894198449112e-08,0.9444444444444444,0.010747680292336904,1.784441,0.0054169144
Wdr49,6.9284444,10.04151,4.254935946415147e-12,1.0514894198449112e-08,0.9444444444444444,0.013900333178089062,2.2356164,0.007893912
Dnah11,6.9198914,9.193155,4.5199075769560835e-12,1.0514894198449112e-08,0.9444444444444444,0.027979794361050407,2.4010036,0.016997024
Hydin,6.9194527,9.03845,4.533923383670715e-12,1.0514894198449112e-08,0.9444444444444444,0.0347150073442482,2.252648,0.01605981
Spag17,6.9040713,8.250829,5.053284563891355e-12,1.0514894198449112e-08,0.9444444444444444,0.04668075806971662,2.173579,0.02525098
Cfap299,6.903121,8.741915,5.087220862666113e-12,1.0514894198449112e-08,0.9444444444444444,0.08103750940422026,3.0062673,0.043895833
Lrriq1,6.8276196,5.7571483,8.633519445748184e-12,1.657019053623241e-08,0.9444444444444444,0.2003367606491599,1.999788,0.11163225
Kif6,6.796989,5.8141484,1.0682824042375386e-11,1.9115923866682093e-08,0.9444444444444444,0.17676351520796763,2.0442874,0.112883225
Adamts20,6.7878366,5.594187,1.1382760769144528e-11,1.9115923866682093e-08,0.9444444444444444,0.3249023752373446,2.531791,0.2148127
Clu,6.7655253,4.6188846,1.3282653910189631e-11,2.0994406503929142e-08,1.0,0.28359545731379643,2.1865795,0.27892518
