names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Ependymal NN (for_DEGs),mean_expr_Rest (for_DEGs)
Rtn4rl1,-3.1025555,-28.632797,0.0019185750445043395,0.04937941709370843,0.0,0.42234800988786586,0.0,0.34799632
Qrich1,-3.103082,-2.034162,0.0019151660127767782,0.04936819530530227,0.2222222222222222,0.6304947515494572,0.20042372,0.6465533
Mamld1,-3.1057136,-28.510456,0.001898204142912274,0.04899591289150125,0.0,0.42277791709955936,0.0,0.32381156
Trpc5,-3.106079,-2.501239,0.0018958592706137436,0.048982440962876246,0.16666666666666666,0.5628918425106582,0.17206971,0.7241855
Pdzrn4,-3.106547,-2.9056723,0.0018928617161910882,0.04895206382488406,0.16666666666666666,0.5413964819259843,0.1392078,0.75107455
Htr4,-3.1072927,-29.012417,0.0018880933599632528,0.04887578861484836,0.0,0.4229928707054061,0.0,0.43276367
Mink1,-3.1117082,-3.7228937,0.0018600825942211763,0.04824364797946236,0.05555555555555555,0.47572815533980584,0.0345338,0.38113418
Osbpl10,-3.112293,-28.59892,0.0018564013268038242,0.048194689518085754,0.0,0.42367355712392074,0.0,0.34115243
Far2,-3.1159775,-28.543419,0.0018333628372615115,0.04768873130417891,0.0,0.42417511553756315,0.0,0.33018428
Ptprn,-3.1171033,-2.117045,0.0018263758783280597,0.047645359078325206,0.1111111111111111,0.5816286318202988,0.163642,0.57169825
Rabl6,-3.117235,-2.2836518,0.001825560819870126,0.047645359078325206,0.1111111111111111,0.5599899688317271,0.12274493,0.4921846
Slc44a5,-3.1191063,-2.1955972,0.0018140050011399066,0.0474608708672145,0.2222222222222222,0.6098233797871959,0.24273229,0.81468755
Chfr,-3.1194427,-3.368042,0.0018119357036781643,0.047452936021279014,0.05555555555555555,0.4855085444058324,0.043808036,0.38005406
Sntb2,-3.123785,-3.1308436,0.0017854089396573502,0.04689534526744184,0.05555555555555555,0.4939275606348297,0.068125874,0.4809093
4732471J01Rik,-3.1251738,-2.2072923,0.001776999598315991,0.04672013621012786,0.16666666666666666,0.6025149571884069,0.17525093,0.633701
Glcci1,-3.1391222,-2.809214,0.0016945480451505614,0.04468351911010362,0.1111111111111111,0.5341238849281696,0.08643297,0.4902748
Btaf1,-3.1454675,-1.9525409,0.001658215916893681,0.043897794765451435,0.2222222222222222,0.647905993623043,0.23225877,0.69909936
Pam,-3.1469734,-1.7169902,0.0016496992121574083,0.043758556594935404,0.4444444444444444,0.730734783075986,0.5468236,1.221569
Plcl2,-3.1478508,-1.9859531,0.0016447565959165809,0.04367056297655981,0.2777777777777778,0.651273600114642,0.2866305,0.8393503
Sergef,-3.1564038,-3.2027237,0.001597275234255004,0.04259737510850681,0.05555555555555555,0.496936911116684,0.05566905,0.42335585
Virma,-3.1612725,-2.801708,0.0015708141987510775,0.04203961904426439,0.1111111111111111,0.5333715473077061,0.078341834,0.4499393
Dmxl2,-3.1615357,-1.6628016,0.0015693954362352954,0.04203961904426439,0.3888888888888889,0.7274388277863361,0.4436393,1.0181137
Uvrag,-3.1618574,-2.009984,0.0015676629954954795,0.04203961904426439,0.16666666666666666,0.6065274244975459,0.18818916,0.60649896
Kcnb1,-3.166039,-2.5302637,0.0015453009365477837,0.04152223616503895,0.1111111111111111,0.5608856088560885,0.11192466,0.5212547
Chrna7,-3.1660974,-3.9742477,0.0015449902740397765,0.04152223616503895,0.05555555555555555,0.47529824812811233,0.036956474,0.46480867
Brdt,-3.1678226,-28.448355,0.0015358515649852597,0.041367672468896166,0.0,0.43123275892953106,0.0,0.3120883
Thoc2l,-3.1678374,-2.1034756,0.0015357743314899875,0.041367672468896166,0.2222222222222222,0.6160928599577258,0.18327457,0.6229416
Sorcs3,-3.171668,-2.5287602,0.001515661950791984,0.04093048906309609,0.16666666666666666,0.5849604127109232,0.23071834,0.91530746
Srek1,-3.1727645,-1.6033062,0.001509949420385732,0.04081724439211732,0.3333333333333333,0.7313796438935263,0.4253009,0.9595419
Samd5,-3.1731594,-3.6720233,0.0015078977695258341,0.04080283289744125,0.05555555555555555,0.48464872998244546,0.058814917,0.5722023
Fstl5,-3.1772823,-4.5036454,0.001486622371890185,0.040349033467362905,0.05555555555555555,0.4714649088238455,0.0345338,0.58615786
Ntng1,-3.1785688,-2.8462408,0.0014800400788198718,0.04025169728531372,0.16666666666666666,0.5706659979221151,0.19445099,0.9335643
Gpr45,-3.1792269,-2.9222186,0.001476684520810049,0.040201127734717346,0.05555555555555555,0.5093325690538458,0.07150023,0.44585565
Thsd7a,-3.1840372,-2.6327302,0.0014523638445901293,0.039699915060159484,0.16666666666666666,0.5793357933579336,0.19596025,0.8512603
Cpeb3,-3.1845782,-1.6091939,0.0014496519107193855,0.03966613731265773,0.3888888888888889,0.7474653387310572,0.4998564,1.0913851
Sez6l,-3.1849144,-1.9475504,0.0014479684671922343,0.039660461481605847,0.2777777777777778,0.6461505391752946,0.2723058,0.79175407
Gtdc1,-3.1867566,-1.8165517,0.0014387780550021083,0.03952961793241989,0.3333333333333333,0.7301615734603948,0.44326577,1.0867884
Glrb,-3.1879408,-2.2764087,0.001432898358362753,0.0394487488618926,0.16666666666666666,0.6055243076702612,0.15562904,0.59653515
Rock2,-3.1898854,-1.4610285,0.001423292064735697,0.039224469517382746,0.4444444444444444,0.7716117937878408,0.5673773,1.132152
