names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Ependymal NN (for_DEGs),mean_expr_Rest (for_DEGs)
Svop,-3.192371,-2.2245026,0.0014110997885023683,0.03892838944256534,0.1111111111111111,0.5598824920288038,0.13762559,0.5244658
Slc9a7,-3.1945496,-2.7661834,0.0014004928802473337,0.0386754816980944,0.1111111111111111,0.5395335506753126,0.08643297,0.47882023
Oxr1,-3.1965818,-1.0986736,0.0013906641750255344,0.03844356623758859,0.8333333333333334,0.8559810840826855,1.42348,2.0476007
Ust,-3.1967132,-2.4205093,0.0013900299818709037,0.03844356623758859,0.16666666666666666,0.5917314512950955,0.18343414,0.73134524
Bmerb1,-3.199272,-2.2578232,0.0013777513384285048,0.038167068146144165,0.16666666666666666,0.5965679074266471,0.15748456,0.59649885
Atp13a3,-3.199345,-2.6855166,0.0013774019944160754,0.038167068146144165,0.1111111111111111,0.5533264070504783,0.09539977,0.49709946
Pcdh17,-3.2015235,-2.1151671,0.0013670289591723999,0.038103805117180894,0.2222222222222222,0.6477985168201197,0.26479462,0.83872896
Ldah,-3.2094042,-28.487507,0.0013301038516300627,0.03715165331943844,0.0,0.4368932038834951,0.0,0.31943673
Atg4c,-3.215311,-3.1115658,0.0013030329514347673,0.03658101366268218,0.05555555555555555,0.509189266649948,0.058814917,0.42107308
Pcnx2,-3.2174747,-3.0576494,0.0012932438079873705,0.03634880870357808,0.05555555555555555,0.5130584315551894,0.07150023,0.48064762
1500004A13Rik,-3.2222118,-2.1835082,0.0012720500221227048,0.03586567061326031,0.2222222222222222,0.622469816931179,0.18290292,0.64798486
Syt17,-3.2251947,-28.85775,0.001258870773017485,0.03556872520607762,0.0,0.4390427399419625,0.0,0.39639902
Tcf4,-3.2254286,-0.63769925,0.001257842456619965,0.03556872520607762,0.9444444444444444,0.9339375918031025,2.373797,2.7819767
Slc4a10,-3.2288935,-1.6631211,0.0012427010674856643,0.03526016650827857,0.5,0.7745494930677462,0.67296404,1.3963538
Slc7a6,-3.2294054,-28.451248,0.0012404793148322127,0.03526016650827857,0.0,0.43961594955755384,0.0,0.3126256
Stk39,-3.2316422,-2.096082,0.0012308100801749536,0.0350534783786332,0.16666666666666666,0.6391287213843012,0.21745695,0.7122435
Aff2,-3.232812,-2.3121252,0.0012257820294416689,0.03501620672586945,0.16666666666666666,0.6032314692078959,0.195104,0.72749555
Myo5a,-3.2350051,-1.5674025,0.0012164055313482515,0.03484522028499735,0.4444444444444444,0.7580697166194963,0.5163701,1.0996981
Fam222b,-3.2378855,-2.4358487,0.001204191694367287,0.03467326655247996,0.1111111111111111,0.5713108587396554,0.12195293,0.53168213
Zbtb16,-3.2412043,-2.5216384,0.0011902584124239646,0.03435257093644676,0.16666666666666666,0.5800881309783972,0.15634996,0.6789493
4933406I18Rik,-3.2457368,-2.419644,0.0011714711083498116,0.03384669750683811,0.1111111111111111,0.590835811270734,0.15768227,0.6491009
Ankrd33b,-3.251775,-28.809126,0.0011468671839080181,0.03345963217329907,0.0,0.4426611256403826,0.0,0.38549364
Dclk2,-3.257097,-2.346005,0.0011255792712801037,0.0330178111564371,0.1111111111111111,0.5678357754451331,0.13363633,0.5463374
Cntnap5c,-3.257594,-3.4011872,0.0011236096096891987,0.0329960548768839,0.05555555555555555,0.5086160570343567,0.10175529,0.75688237
Ppp1r13b,-3.2584567,-2.5165408,0.0011201992284790292,0.032967966340888846,0.1111111111111111,0.5772937341023896,0.12202263,0.55538434
Miat,-3.2640712,-2.337438,0.001098235658184752,0.03246379772873959,0.16666666666666666,0.6033389460108193,0.17600009,0.6793477
Pcsk2,-3.2701826,-1.4870654,0.0010747805401120612,0.03180545497005626,0.6111111111111112,0.7703937233547092,0.79709333,1.4855299
Prmt8,-3.277303,-28.648182,0.001048038415295416,0.031082552118088108,0.0,0.4461362089349049,0.0,0.35114324
Atp2b3,-3.2801101,-3.1459982,0.0010376655675959912,0.030808921327408048,0.05555555555555555,0.5188263533120768,0.060680714,0.4406889
Csrnp3,-3.2814407,-1.7474247,0.0010327825275138558,0.030697861188381973,0.2777777777777778,0.719342241966109,0.44881815,1.0653822
Abhd18,-3.2901986,-3.3142123,0.0010011672907018201,0.02982412982390012,0.05555555555555555,0.5143123275892953,0.052969363,0.43247995
Far1,-3.2997313,-1.8417413,0.0009677746154349886,0.028893448796375714,0.2222222222222222,0.6723748790885967,0.28406644,0.7782044
Kcnk10,-3.300199,-28.744682,0.0009661625723640653,0.028877406361982688,0.0,0.4492530362196826,0.0,0.37141988
Cd46,-3.3013835,-3.8471901,0.0009620931960476149,0.028787799752560593,0.05555555555555555,0.49668613190986277,0.0345338,0.4092513
Med12l,-3.3053164,-1.936233,0.0009486924685812459,0.02841846893063331,0.2777777777777778,0.698778347006771,0.33710232,0.92987776
Ncoa7,-3.3066907,-2.0484195,0.0009440505987220873,0.028310981682659022,0.2222222222222222,0.6632751764410848,0.25283056,0.7838738
Gm26652,-3.3096733,-28.768827,0.0009340490404686197,0.028105148619699677,0.0,0.450542757854763,0.0,0.37664273
Spock1,-3.3126414,-2.4757133,0.0009241940347858371,0.027839791159972472,0.2222222222222222,0.6116146598359188,0.2473872,0.9404886
Cdh9,-3.3171299,-3.4500697,0.0009094730488302098,0.027519753178004206,0.1111111111111111,0.5363092465876115,0.106034026,0.79863334
Lrrfip1,-3.319674,-2.109904,0.0009012263443512841,0.027300960397653895,0.16666666666666666,0.6267688890481138,0.20342286,0.6799569
Homer1,-3.3203318,-2.1216857,0.0008991048846738708,0.027267435949420892,0.2222222222222222,0.6891054347436678,0.3206607,0.9727575
Braf,-3.321326,-1.6072692,0.0008959079036970354,0.02720118121168287,0.4444444444444444,0.7611148927023251,0.5046631,1.0985994
Apba1,-3.3266041,-1.7841047,0.0008791114315221452,0.02681239973325771,0.3888888888888889,0.7295167126428546,0.42188013,1.0323044
Gm30439,-3.3280077,-3.4439201,0.0008746941792804554,0.026768829837432617,0.05555555555555555,0.5164618636477627,0.07150023,0.591438
Ssh2,-3.3294115,-1.6880938,0.0008702975126544451,0.026664645570153862,0.4444444444444444,0.8143875613513417,0.6516979,1.3764079
Nrg1,-3.330274,-1.8394517,0.0008676055703675307,0.026612513328510903,0.6666666666666666,0.8488517894887687,1.2302716,2.268854
Aak1,-3.332818,-1.4319137,0.0008597115149035044,0.02640051246337961,0.5555555555555556,0.7753734818901588,0.6530718,1.2487766
Thsd7b,-3.333198,-3.0960588,0.0008585376794701677,0.02639463094664005,0.1111111111111111,0.5560133271235626,0.14491522,0.84733635
Aff3,-3.337716,-1.850685,0.000844700427661518,0.025998969634896896,0.3888888888888889,0.6979543581843586,0.42258933,1.0636044
Spon1,-3.3456259,-4.400013,0.0008209710224998288,0.02529758185157156,0.05555555555555555,0.49467989825529324,0.0345338,0.5549317
Pigk,-3.3474095,-2.774567,0.0008157060100183547,0.025164202628235578,0.1111111111111111,0.5648980761652277,0.10168745,0.5495225
Klhl29,-3.3565037,-2.089253,0.00078934673424535,0.024463375719922204,0.2777777777777778,0.6657471429083223,0.32207596,0.96201676
Rab11fip3,-3.361577,-2.419754,0.0007749872430490776,0.0240738811800332,0.16666666666666666,0.6096442517823236,0.14486535,0.606555
Efr3b,-3.3686242,-28.919277,0.0007554432960956309,0.023521160331505912,0.0,0.45856769247304124,0.0,0.41055465
Nav1,-3.375043,-2.015477,0.0007380421176680387,0.023006022855847102,0.2777777777777778,0.6949808333034787,0.29333717,0.86637944
Arhgap20,-3.37611,-3.187968,0.0007351848861429563,0.02294357478590155,0.05555555555555555,0.53179522086483,0.068125874,0.49621058
Zfp697,-3.3770459,-28.753103,0.0007326883718675645,0.022892251804745883,0.0,0.4597141117042238,0.0,0.37323472
Stxbp5,-3.3826895,-1.620432,0.0007177974767060908,0.022453106168908797,0.4444444444444444,0.7352129831977932,0.4789144,1.0608534
Xkr6,-3.387456,-2.6949751,0.0007054407534160662,0.02209229958541923,0.1111111111111111,0.5858202271343101,0.13865389,0.6745077
Gm1043,-3.3883624,-28.742125,0.000703113189399498,0.022045100815827903,0.0,0.4612546125461255,0.0,0.37087065
Add2,-3.3889472,-2.521198,0.0007016153246539842,0.0220238361839399,0.16666666666666666,0.6044853652420019,0.1458196,0.6424859
Fry,-3.391228,-1.4406083,0.0006958019405715279,0.021892503680511658,0.5555555555555556,0.8046429978862896,0.7931233,1.4551555
Mmp16,-3.3914328,-1.4868923,0.0006952824215887645,0.021892503680511658,0.6666666666666666,0.7888080822555799,0.8748253,1.5932378
Rtn3,-3.391579,-1.1746033,0.0006949115573422832,0.021892503680511658,0.6666666666666666,0.8663705083652778,1.0292853,1.6215727
Myef2,-3.3919737,-2.2510393,0.000693911142005135,0.021892503680511658,0.2222222222222222,0.6324293340020779,0.17808032,0.6564192
Galnt13,-3.3924122,-2.1780157,0.0006928011393909908,0.021892503680511658,0.16666666666666666,0.6978110557804608,0.34391096,1.0499202
Tada2a,-3.3957312,-28.634459,0.0006844554527066577,0.021687875016778175,0.0,0.46225772937341025,0.0,0.3483349
Lin7a,-3.3984945,-4.1446614,0.0006775782364039575,0.021495309577537588,0.05555555555555555,0.5038154265037796,0.036956474,0.5103638
Fgf13,-3.3986993,-2.357538,0.0006770713769375159,0.021495309577537588,0.16666666666666666,0.6395586285959947,0.23997442,0.87128294
Elavl2,-3.4013894,-3.466197,0.000670442471304767,0.021319277164448626,0.1111111111111111,0.5429011571669115,0.08956908,0.7107793
Pcsk5,-3.4038897,-29.520319,0.0006643360555422378,0.021150130109502285,0.0,0.4633683230036184,0.0,0.57099026
Plekha1,-3.4125159,-2.4705694,0.0006436619065284824,0.020540612147767603,0.1111111111111111,0.6153405223372622,0.14899503,0.63684976
Slc24a3,-3.4134078,-2.0080502,0.0006415588922553652,0.020497844750180336,0.3333333333333333,0.7305556550711139,0.45453507,1.1983532
Arhgef9,-3.4170775,-1.9127144,0.000632972579707749,0.020247587162794303,0.2777777777777778,0.6928671228459857,0.321949,0.8879197
Nav2,-3.418335,-1.3309194,0.0006300553290264596,0.020202370752912854,0.6666666666666666,0.8205495647189481,0.9904311,1.6596388
Srsf7,-3.4207327,-28.655046,0.0006245268388179764,0.020097049292262307,0.0,0.4656611614659836,0.0,0.35255417
Il1rap,-3.4211128,-2.4440536,0.0006236545269138357,0.020093042132104035,0.2222222222222222,0.6412782574427686,0.24386308,0.9174207
2210408F21Rik,-3.424739,-2.5634544,0.0006153908014066282,0.01985060124105174,0.16666666666666666,0.6050944004585677,0.16064276,0.7080951
Rap1gap2,-3.4284086,-3.8042943,0.0006071309484420469,0.019607702625766586,0.05555555555555555,0.5173933292730986,0.043159932,0.48005345
Bmpr2,-3.4300606,-1.9232035,0.0006034461520151454,0.019535660367044527,0.2777777777777778,0.7121054705692688,0.30759895,0.86117375
Prkn,-3.431172,-1.3768407,0.0006009796002382657,0.019479278478169118,0.6666666666666666,0.8332318274639057,0.9764926,1.6673957
Cask,-3.4322684,-1.8643351,0.0005985547049663536,0.019424112225176232,0.3333333333333333,0.7366460072367714,0.38965145,1.006061
Adcy9,-3.4384823,-2.0912726,0.0005849847798410972,0.019006700162430813,0.2777777777777778,0.6977752301794863,0.33054963,0.9818042
Crtac1,-3.4402075,-28.982306,0.0005812682490658195,0.018908810959320305,0.0,0.46831225593809334,0.0,0.42548102
Arhgap26,-3.4459975,-2.230306,0.0005689558904046865,0.018575753068255076,0.16666666666666666,0.6720524486798266,0.27422422,0.9084546
Mtmr7,-3.4502082,-28.693949,0.000560154465523059,0.018332948219981236,0.0,0.4696736287751227,0.0,0.36064243
ENSMUSG00000121395,-3.4527082,-3.7200515,0.0005549887900100545,0.01820824027786345,0.05555555555555555,0.5231254254290115,0.043808036,0.46381652
Gm9801,-3.4545798,-2.5863073,0.0005511511609669745,0.0181122946265192,0.05555555555555555,0.5552251639021245,0.10175529,0.4966914
Slc9a9,-3.4581618,-2.2851112,0.0005438745449327718,0.01790920223326419,0.16666666666666666,0.6873858058968939,0.27738154,0.9392593
Elapor2,-3.4631038,-28.92908,0.0005339826181025277,0.017605046562472294,0.0,0.4714290832228711,0.0,0.41284934
Rgs17,-3.4634838,-3.328958,0.0005332286865691268,0.017601787233553365,0.05555555555555555,0.5416472611328055,0.069410026,0.5436414
Gfod1,-3.4681478,-3.1319926,0.0005240589104756238,0.017363086220073997,0.1111111111111111,0.5589868520044424,0.07769373,0.53547215
Chrm3,-3.4720223,-2.5489085,0.0005165533591513702,0.017156722818785313,0.2777777777777778,0.6609465123777452,0.3680638,1.281963
Astn1,-3.480093,-1.9048402,0.0005012397623971566,0.016751632357725865,0.3333333333333333,0.7572815533980582,0.48825556,1.2110978
Vps13c,-3.4806633,-2.1378016,0.0005001739925874141,0.016746882436099644,0.2777777777777778,0.6731630423100348,0.247684,0.8050913
Elapor1,-3.4819937,-4.040452,0.0004976954075049023,0.016716344499570903,0.05555555555555555,0.5167126428545838,0.0345338,0.45627216
Hectd4,-3.4822862,-1.9221767,0.0004971522008269864,0.016716344499570903,0.3333333333333333,0.7031848959266291,0.31219497,0.8707563
Pvt1,-3.4835434,-3.5746372,0.000494822705386958,0.016661511395673633,0.05555555555555555,0.5354852577651991,0.05566905,0.5200286
Dnm1,-3.4905176,-2.2241056,0.00048208585354685395,0.016273425734678347,0.2222222222222222,0.69225808762942,0.24660152,0.83580905
Ctnnd2,-3.4912047,-1.0368026,0.00048084754876895455,0.016252042308706676,0.8333333333333334,0.8852506000788163,1.827233,2.4598324
Pi4ka,-3.495708,-1.9069563,0.00047280583708216267,0.016020545829000896,0.3333333333333333,0.7222082900440655,0.36675262,0.9788808
Arhgef7,-3.4963367,-3.683469,0.0004716931635564982,0.01600302437470089,0.05555555555555555,0.5315086160570344,0.043159932,0.44894508
Jakmip3,-3.5012639,-28.736525,0.00046305712407150243,0.015729892444755082,0.0,0.4766237953641672,0.0,0.36966902
Specc1,-3.5024335,-2.2745755,0.0004610288067022557,0.01568081523555647,0.2222222222222222,0.6834808153906782,0.24870457,0.86129665
Herc3,-3.5075946,-2.6015506,0.000452177455495622,0.015418792168994116,0.16666666666666666,0.6120087414466377,0.13715675,0.63776517
Snd1,-3.5091884,-2.2699945,0.0004494765283633751,0.01534616812849287,0.2222222222222222,0.6653530612976033,0.21194845,0.7601934
Fmn1,-3.5141447,-3.8406565,0.0004411723218227087,0.015082637154814072,0.05555555555555555,0.5307921040375452,0.052969363,0.576245
Adcy2,-3.5141885,-2.0425446,0.0004410994767248724,0.015082637154814072,0.3888888888888889,0.6998889406369792,0.41959083,1.1466943
Neto1,-3.515592,-2.3221357,0.00043877435304829287,0.015057301234237075,0.2777777777777778,0.6922222620284455,0.3427874,1.1133845
Ndrg3,-3.5168204,-2.305551,0.0004367492600577598,0.015006972656971875,0.16666666666666666,0.6313545659728442,0.17215937,0.6568651
Adam23,-3.520885,-2.1723948,0.00043010921723527596,0.014797739650591377,0.2777777777777778,0.6703686454340272,0.267903,0.86914307
Runx2,-3.5218353,-4.4327936,0.00042857034377035525,0.014763698893730057,0.05555555555555555,0.5164618636477627,0.0345338,0.56467223
Sh3kbp1,-3.5254757,-3.1401856,0.00042272271431284503,0.014580949080341651,0.1111111111111111,0.5757890588614624,0.0967774,0.63968116
Mlip,-3.5261483,-2.9907024,0.00042165061633134775,0.014562663317253617,0.16666666666666666,0.5890087056210368,0.13041945,0.74540377
Pacs1,-3.5282393,-2.5917876,0.00041833398328689847,0.014466710593203298,0.16666666666666666,0.6207860136853796,0.14631808,0.6677633
Me3,-3.5512376,-2.601561,0.0003834240497255484,0.013345342248867208,0.16666666666666666,0.6297782395299681,0.19391601,0.83239406
Syt14,-3.5526266,-2.7683666,0.00038140542117879217,0.013292300476101356,0.1111111111111111,0.6083545301472432,0.12822494,0.65862244
Shisa6,-3.5530944,-2.9342473,0.0003807277015366754,0.013285913428948661,0.16666666666666666,0.6181349192132698,0.21700567,1.0481672
Dcx,-3.5573199,-29.12147,0.000374657828174787,0.013128157189684098,0.0,0.48425464837172644,0.0,0.45997354
Unc13a,-3.575318,-3.7834823,0.000349802397632807,0.012383650098015184,0.05555555555555555,0.5393902482714148,0.043159932,0.47457805
Cdh10,-3.577175,-2.1614826,0.00034732781723205376,0.012312267083146814,0.3333333333333333,0.7559201805610289,0.5449733,1.4449201
Unc5d,-3.5783737,-3.0460005,0.00034573876650053194,0.012272127682786385,0.2222222222222222,0.6386988141726078,0.24722576,1.1988928
Klf7,-3.5803037,-2.42818,0.0003431950600666574,0.012197951407395614,0.1111111111111111,0.6338981836420305,0.16604722,0.67913353
Gabrg2,-3.5831401,-2.2778075,0.0003394883394801745,0.01209821177961842,0.2222222222222222,0.6863826890696092,0.26156455,0.89599925
Trpc4,-3.5897195,-3.8533578,0.0003310339905188848,0.011828302294205366,0.05555555555555555,0.5430444595708093,0.068125874,0.7025927
Clvs2,-3.599179,-3.3281975,0.0003192232510070824,0.011467284431230353,0.05555555555555555,0.5639666105398918,0.07150023,0.55641735
Pde7a,-3.6001587,-3.5633552,0.00031802299323008,0.0114394616172587,0.05555555555555555,0.5541862214738652,0.05261261,0.4938536
Gm49678,-3.6010067,-4.0310764,0.00031698737680181064,0.011432819885455909,0.1111111111111111,0.556443234335256,0.087503165,0.9142849
Osbp2,-3.6043694,-3.3786404,0.00031291162358229363,0.011300988340935793,0.1111111111111111,0.5628918425106582,0.07149027,0.57142603
Srrm3,-3.635848,-2.954037,0.0002770676679844456,0.01016700316603055,0.1111111111111111,0.6002221187260416,0.106034026,0.6242352
Hivep3,-3.636813,-1.9413011,0.000276032196439086,0.010160253586737314,0.3888888888888889,0.78253860208505,0.5489461,1.3373866
Cacng3,-3.6389039,-29.174688,0.0002738011035341315,0.010105818203244661,0.0,0.4953605846738079,0.0,0.47373137
Chn1,-3.6432168,-1.864996,0.0002692517906907257,0.00997902843566869,0.4444444444444444,0.7596102174613979,0.4454992,1.1133434
Kcnma1,-3.6463017,-1.326685,0.00026604144370376753,0.009887321704453987,0.7222222222222222,0.857593236126536,1.4530548,2.2210972
Asic2,-3.6471791,-1.8682458,0.0002651351226450476,0.009867286351069846,0.6666666666666666,0.7920682119442554,0.89115417,1.8325391
Gnai1,-3.647296,-3.7175329,0.0002650144987662527,0.009867286351069846,0.05555555555555555,0.5573388743596174,0.05261261,0.536872
Prkg1,-3.650615,-1.433972,0.00026161316072441555,0.009812771661366178,0.8333333333333334,0.810482570845126,1.1541235,1.9266502
Frrs1l,-3.6530712,-2.917953,0.00025912227238486047,0.009751562267480673,0.1111111111111111,0.6181349192132698,0.11592963,0.65698636
Mapt,-3.6566386,-1.7999893,0.00025554413039858377,0.009657483521532976,0.5,0.8072582667574248,0.59442925,1.3422147
Gabbr2,-3.6603086,-2.2646134,0.0002519117193516336,0.009587631584955233,0.2777777777777778,0.7274388277863361,0.36340243,1.1332512
Ythdc2,-3.6636422,-28.893063,0.00024865418295100407,0.009477075029636142,0.0,0.4987281911654068,0.0,0.40447575
Sphkap,-3.6659667,-2.6028223,0.0002464059092713417,0.00942294815551529,0.2222222222222222,0.6633110020420593,0.25975752,1.0302844
Celf4,-3.6713326,-1.6801014,0.0002412890903674076,0.009328687565715456,0.5555555555555556,0.7925697703578978,0.7981014,1.5920337
Vsnl1,-3.6759675,-2.5429757,0.00023694979383828213,0.00918736069326788,0.16666666666666666,0.6702969942320782,0.22140759,0.8937766
Arhgef28,-3.677561,-3.6118941,0.00023547472732964232,0.009143361160906777,0.05555555555555555,0.5655787625837423,0.067153655,0.61476666
Pde4b,-3.6795788,-2.413046,0.00023361957084566359,0.009084454223766976,0.3333333333333333,0.7639451151793072,0.58492583,1.6550634
Car10,-3.6856318,-3.078247,0.00022813605759144847,0.008884080967365536,0.2222222222222222,0.6390570701823524,0.24392097,1.2039065
Camk2a,-3.6912022,-1.7773961,0.000223196591545957,0.008755171408525348,0.5,0.787804965428295,0.69926536,1.4974202
Rras2,-3.6949599,-29.100563,0.00021992161291643886,0.008639318331965953,0.0,0.5029914376813671,0.0,0.45465344
Brinp2,-3.7010128,-4.238855,0.00021474067777523288,0.008452039042879929,0.05555555555555555,0.5462329380575359,0.043273047,0.6070275
Susd4,-3.7050042,-2.9321303,0.00021138720747563775,0.008352903330691745,0.1111111111111111,0.61877978003081,0.12202263,0.6883994
Mirg,-3.7096975,-29.116499,0.0002075070371348613,0.008211655504880299,0.0,0.5049976713359366,0.0,0.45870316
Rev1,-3.7190986,-3.0392559,0.00019993496487301655,0.007935380363571573,0.05555555555555555,0.5897252176405259,0.08673945,0.5566944
Tmem178,-3.725488,-29.210272,0.00019493778934791565,0.007759967999671842,0.0,0.507147207394404,0.0,0.48311037
Pacsin1,-3.7266138,-2.3788593,0.00019406953433547078,0.00773686704390816,0.2222222222222222,0.6976677533765628,0.24914943,0.9048672
B230334C09Rik,-3.7284267,-3.9277854,0.00019267893987490062,0.007692842666327755,0.05555555555555555,0.5570880951527962,0.043808036,0.51970327
Cacna2d3,-3.7408397,-2.2735062,0.00018340645735132334,0.00735542016273143,0.4444444444444444,0.7465696987066958,0.55853844,1.5297686
Mctp1,-3.7461617,-2.1393561,0.0001795608870747292,0.0072553399033052236,0.4444444444444444,0.7433453946189947,0.5666433,1.4721526
Rasgef1a,-3.7496414,-2.7788088,0.00017708760592718905,0.00716618067961381,0.1111111111111111,0.626625586644216,0.13762559,0.69942
R3hdm1,-3.7527118,-1.501321,0.00017493193686566818,0.007111075860182305,0.6666666666666666,0.8407193780675671,1.0550954,1.8406081
Hook1,-3.7586186,-4.2220755,0.00017085406643751067,0.006955831462387745,0.05555555555555555,0.5501737541647261,0.0345338,0.5042532
Ldlrad4,-3.763034,-2.1831222,0.00016786434006671268,0.006865319357066316,0.3333333333333333,0.7446351162540752,0.40036565,1.1743456
Lmtk2,-3.768283,-3.5015407,0.0001643743562749836,0.0067431129055096324,0.05555555555555555,0.5847454591050765,0.06730049,0.5813577
Dgkh,-3.7696135,-2.624502,0.00016350061689385126,0.006717525345470617,0.2777777777777778,0.6739870311324473,0.25063533,1.0139759
Atrnl1,-3.7738826,-2.201549,0.00016072638554229013,0.006623800582087938,0.3333333333333333,0.7506538172177838,0.5056201,1.3929379
Ralgapa2,-3.7740436,-2.3648214,0.00016062274761156485,0.006623800582087938,0.2222222222222222,0.7076630960484362,0.28429425,0.9909295
