names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_PV (for_DEGs),mean_expr_Rest (for_DEGs)
Lcp1,-2.6626418,-2.1939008,0.00775298770977611,0.04964794560573977,0.02702702702702703,0.09773098565982936,0.018888218,0.08364488
Nrros,-2.6636224,-2.314066,0.00773042609750288,0.04951526799520915,0.029106029106029108,0.09972771827917952,0.014062346,0.0680545
Stx3,-2.6636252,-0.3846222,0.007730360787131399,0.04951526799520915,0.2182952182952183,0.30012706480304957,0.13449933,0.17222714
Dock8,-2.6637788,-2.833153,0.0077268347612621845,0.04951526799520915,0.029106029106029108,0.09900163369032493,0.019138033,0.129006
Dusp7,-2.6643188,-0.9367596,0.007714439828148096,0.049448234299222175,0.079002079002079,0.1525503721183518,0.047867317,0.08971039
Lrp12,-2.669327,-0.466375,0.007600339226772182,0.048775045384133874,0.3284823284823285,0.40312216373207477,0.22363521,0.29732877
Ankrd13b,-2.669614,-0.42203283,0.007593844922406658,0.04874501028788029,0.18711018711018712,0.26984933744781264,0.11529944,0.1516375
Fxyd5,-2.670248,-1.9658135,0.007579523627515914,0.04867418375401763,0.018711018711018712,0.09003448901797059,0.012317457,0.047278203
Zfp944,-2.67481,-0.44552606,0.007477161126184507,0.0480994300839305,0.1704781704781705,0.2500998366309675,0.11027584,0.14735751
Homer2,-2.6816003,-0.39792472,0.007327092572170091,0.04721318403218474,0.3305613305613306,0.40428389907424217,0.24500383,0.31174234
Pip4k2b,-2.6823878,-0.33393398,0.007309868406921539,0.04712479944673267,0.22245322245322247,0.3128698493374478,0.15816222,0.19555472
Hexb,-2.6855257,-0.5291419,0.0072415808390332926,0.04670697963149893,0.6735966735966736,0.6786349609729534,0.68369687,0.8820818
Npy2r,-2.689488,-1.3639741,0.007156173503274532,0.04620047622128464,0.04365904365904366,0.11610092575785079,0.026041033,0.065701775
mt-Atp6,-2.6928134,-0.8971538,0.007085189283616899,0.04578620395641801,0.3097713097713098,0.3676166273370848,0.22885776,0.39132348
Nmt1,-2.6964972,-0.47576985,0.007007299134196902,0.04531045056410805,0.4158004158004158,0.48179342893447086,0.29861882,0.3947015
Skap1,-2.6970828,-1.0478837,0.006994989527116321,0.045246838852579574,0.04158004158004158,0.11493919041568343,0.03419298,0.06944793
Tmem132e,-2.6980946,-1.7383937,0.00697376238797794,0.04514213330883335,0.02702702702702703,0.09950989290252314,0.014939763,0.049002264
Slc7a11,-2.6982963,-2.5776498,0.00696953581200146,0.045125645124934756,0.02702702702702703,0.09831185333091305,0.021641523,0.1227492
Csrp1,-2.7018836,-2.0473242,0.006894792824544934,0.044663231242893536,0.04158004158004158,0.1127246324196769,0.026337216,0.10463758
Lrp6,-2.7022786,-0.32386076,0.0068866046179176885,0.04462094672858652,0.553014553014553,0.592593937193683,0.46650162,0.55618376
E2f5,-2.7056239,-0.8726594,0.006817619375102532,0.044227289379286584,0.07276507276507277,0.1476129969141405,0.04330167,0.07791301
B230219D22Rik,-2.7063773,-0.48503453,0.006802173343383773,0.04415907169285382,0.2869022869022869,0.37375204211290614,0.20236525,0.27302152
Svop,-2.706491,-0.29847735,0.006799844600537728,0.0441546216569475,0.5363825363825364,0.5582864403703032,0.4448732,0.5241805
Styx,-2.7095408,-0.31492117,0.006737642852604622,0.04379304872991925,0.27234927234927236,0.36532946088219276,0.1963637,0.23893665
Itprid1,-2.711701,-3.246327,0.006693895602932912,0.04351922933723865,0.008316008316008316,0.08041386821564712,0.0044055283,0.041044332
Tnk2,-2.7143672,-0.35007823,0.006640254434629122,0.04318093820389267,0.31185031185031187,0.39702305318569614,0.21504465,0.26682067
