names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_NLL Gata3 Gly-Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Dnajb14,-2.9765859,-3.848394,0.002914774283762772,0.04998084556777645,0.05,0.42850489054494645,0.025996074,0.32161605
Hectd4,-2.9770298,-1.3643202,0.002910557593304057,0.04994041030145595,0.2,0.7033069399161621,0.43136626,0.870711
Gabbr1,-2.9777372,-0.9151042,0.002903848749364509,0.04985713475745965,0.15,0.6227293898462971,0.37767008,0.62343013
Cnot6l,-2.9805253,-1.2849058,0.0028775452211743315,0.04943711003385824,0.15,0.6125900182723657,0.29322776,0.6044727
Dlgap3,-2.9811356,-1.4745163,0.002871816331066418,0.049370252601250574,0.1,0.5142416968220415,0.1827583,0.44291395
Dop1a,-2.9813852,-1.1141821,0.002869475696708804,0.0493615953716809,0.15,0.606606714198703,0.31706113,0.59201723
Fbxl5,-2.9814823,-1.0771706,0.002868565920439771,0.0493615953716809,0.15,0.59335029199957,0.30829597,0.5663885
Copa,-2.9820926,-1.5064814,0.0028628533538590266,0.04931081385781541,0.1,0.4985847873598223,0.15931192,0.39923242
Dars,-2.9839237,-28.256987,0.0028457779128967186,0.04904814144934883,0.0,0.3853677761456057,0.0,0.27821875
Ccdc85a,-2.984534,-1.6210744,0.0028401067963500087,0.04898181618608776,0.2,0.694027444376769,0.5052581,1.1059933
Rybp,-2.9853802,-1.7471069,0.0028322616353755286,0.048877887053654756,0.05,0.4578481602235678,0.124300376,0.3676234
Tiam2,-2.986698,-28.40266,0.0028200831591205138,0.048698993885326614,0.0,0.3857260578266633,0.0,0.30369565
Cdk13,-2.988279,-1.2684053,0.002805532117235687,0.04847887330554528,0.2,0.71702912830067,0.46889257,0.892445
Dgkg,-2.988626,-1.558045,0.0028023502802838177,0.04845505278714684,0.2,0.6587725269606965,0.4496204,0.98270583
Ppp3cb,-2.9886537,-1.1394099,0.0028020958757498634,0.04845505278714684,0.2,0.699043387911576,0.45372844,0.8175097
Zfc3h1,-2.9890003,-1.0426648,0.002798917598217174,0.04845505278714684,0.15,0.5733940023646591,0.28713685,0.52187186
Rnf14,-2.989236,-1.5789162,0.002796758250415645,0.04845189825188161,0.05,0.4585288954175773,0.13331583,0.35490322
Syn3,-2.9895275,-1.7254093,0.00279409292135906,0.048436952772205125,0.1,0.5098706603131382,0.178304,0.49800643
Sclt1,-2.9896662,-1.1911627,0.0027928245325807392,0.048436952772205125,0.15,0.6245924545877969,0.35544384,0.68035316
Stx18,-2.990443,-3.1288757,0.0027857312683174803,0.04835439223494231,0.05,0.4464548027659346,0.04301334,0.3253163
Ggt7,-2.9905818,-28.118546,0.002784466346812562,0.04835439223494231,0.0,0.38622765218014404,0.0,0.25574574
Orc4,-2.9910533,-1.1649987,0.0027801695366179787,0.04832028166165918,0.15,0.59335029199957,0.2880519,0.55878645
Ncam2,-2.9912753,-1.9290069,0.0027781496045650345,0.048316427103341414,0.35,0.8602701443875175,1.0491811,2.087526
Rpl27a,-2.9915943,-4.3063407,0.002775248300579192,0.048297229168758345,0.05,0.42907814123463867,0.025996074,0.41941875
Snx13,-2.9916914,-0.91977435,0.0027743658444863146,0.048297229168758345,0.15,0.6282110995664791,0.39357552,0.6483425
Rnf216,-2.9921215,-0.9678941,0.0027704609045912363,0.048276449096216936,0.15,0.5957866074307621,0.33191448,0.57094735
Pds5a,-2.9925652,-1.097167,0.002766435265302468,0.048237583114002155,0.15,0.6247715954283257,0.34150782,0.6263966
Chsy3,-2.9943824,-1.6800469,0.0027500109522194485,0.04798233395203674,0.25,0.7044534412955465,0.5783313,1.2553971
Tmem30a,-2.99527,-1.1504275,0.00274201929363454,0.04787398207924632,0.15,0.5945684497151661,0.30931538,0.5903725
Pbrm1,-2.9953394,-0.7865553,0.0027413958396973765,0.04787398207924632,0.2,0.6565870087062449,0.4574965,0.6934805
Kras,-2.9962687,-1.6989856,0.0027330540419299586,0.04777954593796876,0.05,0.4592096306115868,0.12374868,0.3560616
Eif4a2,-2.9963799,-0.73110986,0.0027320595577068857,0.04777954593796876,0.1,0.5406112285478843,0.3306101,0.50100833
Asph,-2.9964352,-1.1848909,0.0027315624395811955,0.04777954593796876,0.15,0.5913080864175415,0.3158942,0.61223745
Foxg1,-2.9977946,-28.194763,0.002719408830616269,0.04763397345414547,0.0,0.38715918455089393,0.0,0.26791358
Pcnp,-3.0008461,-3.1709392,0.0026923049695530502,0.04718997686359456,0.05,0.4476729604815306,0.04301334,0.33350036
Cenpc1,-3.0015397,-1.6203395,0.002686179530200936,0.0471133446321796,0.05,0.46042778832718284,0.12782493,0.35010454
Wdfy2,-3.0022888,-3.9350264,0.002679578362482581,0.047028262965321324,0.05,0.4310845186485615,0.025996074,0.3384935
Lrch1,-3.005382,-1.1462806,0.0026524747130434955,0.04658300362057433,0.15,0.6059618071727992,0.33736655,0.6355951
Gm1043,-3.0059092,-1.553906,0.0026478812206703535,0.04653274584657449,0.05,0.4612518361936154,0.14226714,0.37079534
Grin2a,-3.007962,-1.6292167,0.002630060000042673,0.04624981164996506,0.5,0.8357636774031744,1.3112863,2.2392328
Smad4,-3.0079758,-3.8190954,0.002629939960207554,0.04624981164996506,0.05,0.4326251298771094,0.025996074,0.31607223
Ppp2r3a,-3.008073,-1.1726451,0.002629099821586051,0.04624981164996506,0.15,0.6045286804485687,0.34361437,0.65457106
Usp45,-3.009696,-0.92565906,0.0026150937766232568,0.04607709493630617,0.1,0.5426176059618072,0.27717778,0.47419402
Psmb7,-3.0097237,-28.280804,0.002614854951156877,0.04607709493630617,0.0,0.3886997957794418,0.0,0.28225306
Brdt,-3.0107224,-3.7977917,0.0026062705029324183,0.045981935925012526,0.05,0.4312278313209846,0.025996074,0.312092
Ppt1,-3.0113049,-1.6800805,0.002601274814799785,0.04592395155957308,0.05,0.4612876643617212,0.12547766,0.35655767
Slc43a2,-3.0116656,-28.225632,0.0025981866349508364,0.04589958900797434,0.0,0.3889505929561822,0.0,0.27298325
Abr,-3.0127337,-1.1833241,0.002589060524634384,0.04576845809008283,0.2,0.7080004299380173,0.5111032,0.9222928
Pakap,-3.0133855,-1.3037503,0.0025835044567257904,0.045700305959329814,0.2,0.6655440507326861,0.43865633,0.858376
Prmt8,-3.0141208,-3.2587354,0.002577252183871607,0.045619740566949986,0.05,0.4461323492529827,0.04301334,0.35113758
Ccnt1,-3.0150223,-1.4028977,0.0025696031928225185,0.04551432946021165,0.1,0.502597542187668,0.17301008,0.40510255
Wipf2,-3.0152304,-3.192072,0.0025678409916981503,0.04551311836868688,0.05,0.44871197735659774,0.04301334,0.33767593
Map3k3,-3.0158823,-1.0334312,0.0025623265820699853,0.04544535660740627,0.15,0.5971839059868869,0.3271676,0.58345354
Dot1l,-3.0164094,-3.1391785,0.002557876043065274,0.0453963865767265,0.05,0.44946436888681884,0.04301334,0.32730544
Kidins220,-3.016673,-1.2407118,0.0025556534256139427,0.045386918404657396,0.25,0.7830962702877002,0.64858854,1.1496795
Taco1,-3.016784,-3.778215,0.002554718115201307,0.045386918404657396,0.05,0.43255347354089785,0.025996074,0.30847335
Dync1li1,-3.0171723,-1.6308794,0.002551446993473292,0.04537219107520011,0.1,0.5025258858514564,0.15382102,0.41540137
Strbp,-3.0172555,-1.8245231,0.0025507465373688274,0.04537219107520011,0.3,0.8273798860664254,0.76788884,1.6275969
Ubp1,-3.0173666,-1.4776423,0.002549812869468061,0.04537219107520011,0.1,0.5022034323385045,0.16128674,0.39704576
Fndc3a,-3.0179768,-1.1299483,0.002544683280672112,0.04534193617484062,0.15,0.5771559600157644,0.29032332,0.55228645
Cdc40,-3.018171,-1.6775566,0.002543053119126336,0.04534193617484062,0.1,0.5007344774461682,0.15700747,0.4342599
Ube2d2a,-3.0186982,-1.1202859,0.002538633208348734,0.04529420604802821,0.15,0.619397370212461,0.3271628,0.61050576
Crebbp,-3.0187814,-1.2599393,0.0025379359703246256,0.04529420604802821,0.25,0.7700906452653076,0.5878238,1.0702295
Mat2a,-3.019572,-1.0509366,0.0025313209392927873,0.04522379896196622,0.15,0.5776575543692452,0.28897426,0.5272095
Rbm5,-3.0197108,-0.88515997,0.0025301620349145464,0.04522379896196622,0.2,0.6953172584285765,0.5086213,0.79954886
Snrpn,-3.0198216,-1.2398823,0.0025292352608516197,0.04522379896196622,0.2,0.7018379850238258,0.48718452,0.90928966
Sema4d,-3.020543,-3.9380617,0.0025232187940503544,0.045169146566377764,0.05,0.4337358030883881,0.025996074,0.33909866
Nedd4l,-3.020654,-1.5579267,0.002522294346575518,0.045169146566377764,0.25,0.7503134964709255,0.56746036,1.1782887
Dab1,-3.021944,-1.1580014,0.002511570356018138,0.04502061071795021,0.7,0.8778976030955538,1.8861325,2.6013956
Tasor2,-3.0220966,-1.3451359,0.0025103046892544973,0.04502061071795021,0.1,0.5369567554010963,0.20805511,0.4622103
Ndrg3,-3.0222352,-1.0235035,0.0025091545894390605,0.04502061071795021,0.15,0.6313998065278922,0.3762126,0.6567537
Basp1,-3.0228455,-1.219976,0.002504099874419615,0.04497671365351274,0.25,0.75052846547956,0.55465317,1.0031629
Arfgap1,-3.025814,-28.14336,0.002479648150520921,0.044567321608359294,0.0,0.3907778295295761,0.0,0.2596529
Atp11c,-3.02623,-4.0937366,0.0024762378521884496,0.04453581732818182,0.05,0.43094120597613844,0.025996074,0.3713429
Vkorc1l1,-3.0271733,-1.7691271,0.002468523724660741,0.04442681345052519,0.05,0.46343735444806705,0.119487666,0.3594921
Sdk2,-3.0272012,-28.573563,0.0024682971717972686,0.04442681345052519,0.0,0.39095697037010496,0.0,0.33610404
Norad,-3.0278807,-1.0842322,0.0024627525661610667,0.04438240204744994,0.1,0.5416502454229515,0.28480467,0.52982074
