names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_OEC NN (for_DEGs),mean_expr_Rest (for_DEGs)
Trim3,-2.975195,-3.1058748,0.0029280231775135833,0.04976342996824161,0.025,0.3021763292818472,0.02299916,0.18257007
Olfm2,-2.9771574,-3.5204153,0.0029093460805783705,0.04947729695262077,0.025,0.30009680542110356,0.020480324,0.21303938
Acvr2a,-2.977432,-1.0996491,0.0029067399819794177,0.04946428329055538,0.325,0.6457997203398946,0.46046323,0.8123766
Kcnn3,-2.979777,-2.0366347,0.0028845816319631556,0.049118319677344736,0.05,0.33326162561399736,0.06315639,0.2370313
Micu3,-2.980886,-1.0255846,0.0028741588695598026,0.04897187623657064,0.275,0.64856046753433,0.3944314,0.6853095
Pex5l,-2.9820535,-1.0300219,0.0028632198621059155,0.04881644523780834,0.65,0.7807536481302212,1.1571825,1.696286
Gramd1a,-2.9835644,-27.383976,0.0028491199230073045,0.048606890369019856,0.0,0.27256104119608476,0.0,0.16139191
Ncs1,-2.9840746,-0.8405056,0.002844373240506611,0.04855674013495085,0.1,0.4052920296869958,0.16808948,0.28350097
Eml2,-2.9858408,-0.96058553,0.0028279981174174776,0.048307889011447946,0.125,0.44250833602237283,0.18393235,0.3314484
Cerk,-2.986145,-2.3829348,0.0028251866620803354,0.04829056336520268,0.025,0.30439926858126276,0.045247607,0.21626464
Cops2,-2.9865277,-1.3447157,0.0028216532950928216,0.048260868261708535,0.075,0.3714459861604102,0.105052724,0.24789998
Rps6kb1,-2.9869888,-1.0307562,0.0028174004968707722,0.04821882251650806,0.25,0.6103402531282492,0.33175856,0.589889
Snx14,-2.987087,-0.7316644,0.00281649640170044,0.04821882251650806,0.175,0.5091248072855042,0.27307218,0.41963512
Cand1,-2.9896085,-1.8612403,0.0027933518605889854,0.047898764833456314,0.075,0.36259008282241584,0.0740102,0.24615191
Pkp2,-2.9899323,-2.604855,0.002790392610755745,0.04787857563921256,0.05,0.32999892438420997,0.04976458,0.27032596
Zkscan2,-2.991983,-1.8660715,0.002771717090008583,0.04758852281695247,0.05,0.3383170198271844,0.062140632,0.21002825
Prelid3a,-2.9922478,-1.9916375,0.0027693128080645384,0.04757764395952311,0.05,0.3361299343874368,0.055936597,0.20603207
Neto2,-2.9925618,-1.4345453,0.002766465755602017,0.047559139381334735,0.15,0.4487469076046036,0.18892547,0.44602147
Chchd6,-2.9931114,-0.95922846,0.0027614898463294555,0.04750398986611554,0.175,0.515829479043419,0.25192356,0.44278073
Eml4,-2.9937394,-0.84372616,0.0027558131043672104,0.047436706030971776,0.25,0.6357247857731885,0.43564788,0.68301135
Gm50304,-2.9937687,-27.367249,0.0027555472688270692,0.047436706030971776,0.0,0.2734932415474526,0.0,0.15967204
Epm2a,-2.9940534,-1.8876648,0.002752978732692011,0.047436706030971776,0.05,0.3378509196515005,0.06460752,0.22071132
Ap1s1,-2.9949462,-27.590399,0.0027449330362455003,0.0473708096878077,0.0,0.27360080312645657,0.0,0.18405928
Bcl11b,-3.0000582,-1.1750442,0.0026992813242924713,0.04661291078646446,0.225,0.5502133304650245,0.334593,0.640412
Frmpd3,-3.0015788,-3.3056104,0.002685834245322946,0.04641052486934248,0.025,0.30353877594923095,0.02299916,0.207047
Scn1b,-3.0025895,-2.0061743,0.0026769323309430875,0.046286468296293924,0.075,0.361657882471048,0.0773363,0.27990255
Kcnt1,-3.0027955,-27.456226,0.002675120690001494,0.046284927843103764,0.0,0.2743178803198164,0.0,0.16901681
Med15,-3.005268,-1.1580776,0.002653468225387116,0.04593987836092256,0.125,0.4420422358466889,0.15570994,0.31917733
Zfr2,-3.010861,-1.5409927,0.0026050821198372568,0.045160359070985215,0.05,0.3411136208812879,0.07607408,0.2070221
Mgat4c,-3.0109982,-1.1487601,0.002603903904510131,0.045160359070985215,0.575,0.7358646158258937,0.9640244,1.52537
Silc1,-3.0119402,-1.7517046,0.0025958378292559054,0.04505824449102466,0.05,0.3408626438636119,0.073501125,0.22860286
Sgsm2,-3.01247,-1.2417275,0.0025913107077091455,0.04500873866589834,0.125,0.4400344197052813,0.14914052,0.32233596
Slc41a2,-3.0146286,-2.115085,0.0025729413976108,0.044718586904141135,0.05,0.3388548277222043,0.053530835,0.2136776
Snap23,-3.017062,-2.3947105,0.0025523769989465156,0.04438988347035138,0.05,0.3334050410526693,0.043567393,0.2104004
Timp2,-3.0182688,-1.6102403,0.002542233584054798,0.04424210906965831,0.1,0.393818794593238,0.11886674,0.32595444
