names,scores,logfoldchanges,pvals,pvals_adj
Nkain2,12.232525,0.4742758,4.076661681902608e-31,5.654329752798917e-28
Grik4,12.069149,1.3074759,6.839692365918418e-30,8.300821647587741e-27
Lhx9,11.397094,2.5286634,7.958330227579734e-26,4.829214261223228e-23
Clstn2,11.306914,0.63828564,2.119453404844684e-27,1.7148144256364197e-24
Kcnq1ot1,11.082534,0.84507155,5.661684056041155e-26,3.926377892864541e-23
Ryr2,10.97041,0.41837204,6.789373980732208e-26,4.3945354652619344e-23
Frmpd4,10.6404505,0.8107077,1.1495229916809767e-24,6.56512866248859e-22
Eml6,9.827205,0.79996526,2.8151614970461723e-21,1.3015429988010138e-18
Prkg1,9.729395,0.5669468,4.890680932621314e-21,2.0645052684704495e-18
Cntn5,9.697024,0.6257611,6.586965286396847e-21,2.664701915234458e-18
Meg3,9.630545,0.49824172,1.6066524471328287e-20,6.239595443685054e-18
Sntg1,9.236444,0.52781177,4.0305210089044915e-19,1.1509508375133444e-16
Tenm4,8.944704,1.5417079,1.1356507204578034e-17,2.6892763036401987e-15
Snhg14,8.8543005,0.4696892,8.600838878642225e-18,2.087638616818434e-15
Gria3,8.696127,0.497685,2.3990812961616674e-17,5.416902396379914e-15
Dlgap2,8.695273,0.4126123,3.102297943015924e-17,6.845502438350366e-15
Cacna1c,8.694213,0.42971244,3.3446626420371125e-17,7.059419476421376e-15
Dab1,8.496721,0.26910472,1.6258652229062308e-16,3.095201068469921e-14
Synpr,8.260115,0.5461373,8.66483472668596e-16,1.4258793281592204e-13
Frmd4a,8.087151,0.48355722,3.2556781630261466e-15,4.938965513253259e-13
Mir99ahg,7.912696,0.60952747,1.2152990785113875e-14,1.6856198218952944e-12
Csmd2,7.68595,0.73091376,6.757492730737171e-14,8.987465331880437e-12
Ank3,7.585252,0.3038171,1.258192627821696e-13,1.546302813103905e-11
Celf4,7.5286694,0.5203533,1.7850828682081788e-13,2.0881168153533988e-11
Dennd1b,7.4214144,0.92129797,4.670146540602939e-13,5.094657613788083e-11
Dscaml1,7.327012,0.66324353,8.15332858293391e-13,8.079085156297492e-11
Rbfox3,7.2738123,0.528657,1.0956971132312477e-12,1.0638123272362184e-10
Rbfox1,7.2631006,0.2515748,1.1274619996555434e-12,1.0838147083817497e-10
Ptprs,7.2493863,0.67302173,1.2798526285532865e-12,1.2182440363356724e-10
Otud7a,6.9676633,0.546885,8.492869515286356e-12,7.428582894046417e-10
Dlgap1,6.899104,0.21048011,1.3640297795510524e-11,1.112887826021947e-09
Tnrc6c,6.8705826,0.42993894,1.6866286195864385e-11,1.3422522350462896e-09
Grin2a,6.856024,0.26841623,1.7520026888348664e-11,1.3829426102355869e-09
Greb1l,6.779374,1.0673654,3.497572437893496e-11,2.592208457977706e-09
Slit1,6.7751904,0.6657505,3.009517037173788e-11,2.265069838288396e-09
Ube2e2,6.640121,0.41626665,6.964616408566188e-11,4.858480184406815e-09
Slc44a5,6.6056046,0.5881622,8.624585673986477e-11,5.815007104773243e-09
Sfpq,6.5872426,0.5749458,1.013320410437539e-10,6.6927400441755556e-09
A830036E02Rik,6.5829577,1.5491805,1.4595212342588646e-10,9.201617963259297e-09
Eml5,6.561061,0.47946048,1.1756141290078205e-10,7.609358385691286e-09
Nbea,6.5556026,0.25365898,1.2171945921406105e-10,7.826319400723966e-09
Sorbs1,6.49906,0.47481138,1.7163270600146504e-10,1.068193552928349e-08
A330076H08Rik,6.492772,0.9203174,2.1040423061892072e-10,1.260996713011791e-08
St6galnac3,6.4896426,0.56541353,1.8898092874058338e-10,1.1539722246178139e-08
Dach1,6.4653754,1.858265,3.041179621706184e-10,1.7471486950973575e-08
Nlgn1,6.4354415,0.2590658,2.432677002976709e-10,1.4228229531265583e-08
Cacna1e,6.4197354,0.2873959,2.878672936201019e-10,1.6636330677128392e-08
Btaf1,6.353876,0.72531486,4.428212717443724e-10,2.4851744088821454e-08
