names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Peri NN (for_DEGs),mean_expr_Rest (for_DEGs)
1110019D14Rik,-2.7061174,-27.3042,0.006807498258177274,0.049882050231039914,0.0,0.2305540613232921,0.0,0.1533415
Mroh1,-2.7065566,-1.7877944,0.006798499473125252,0.04982970017536157,0.021739130434782608,0.2578088578088578,0.04677436,0.1530149
Ankle2,-2.7074351,-0.9191473,0.00678053396587412,0.04971158189987384,0.06521739130434782,0.31382463690156,0.10933624,0.19760512
Suds3,-2.708167,-2.0924885,0.006765595314326986,0.04961559664191215,0.021739130434782608,0.2577371346602116,0.036573242,0.14744227
Eno2,-2.7086887,-0.5614325,0.006754969578061299,0.04955119644076088,0.10869565217391304,0.37374932759548146,0.19513793,0.27610713
Gm48678,-2.7087069,-1.128835,0.006754597017733591,0.04955119644076088,0.043478260869565216,0.2862112246727631,0.091044985,0.18933366
Usp20,-2.7088625,-0.78889966,0.006751431000519525,0.04955119644076088,0.043478260869565216,0.28649811726734803,0.10086139,0.16835414
Sirt7,-2.7090638,-27.041773,0.006747335781688887,0.049535768430049296,0.0,0.23080509234355387,0.0,0.12941366
Dnttip1,-2.7095945,-1.4835082,0.006736549995514621,0.049470100677638115,0.043478260869565216,0.285207100591716,0.062597565,0.16605239
Leng9,-2.7099056,-27.106308,0.006730234500571102,0.04943723374257668,0.0,0.2308768154922001,0.0,0.13495153
Ncbp3,-2.709924,-1.1653475,0.006729863166654098,0.04943723374257668,0.043478260869565216,0.2853505468890084,0.08136624,0.17405723
Ufsp2,-2.710034,-1.6153015,0.0067276355498524084,0.04943723374257668,0.021739130434782608,0.25809575040344274,0.055012442,0.15979214
Ina,-2.7104914,-1.2175503,0.006718360945461652,0.049390522190028624,0.06521739130434782,0.31382463690156,0.0981516,0.2149748
Tmem59l,-2.710958,-0.66425014,0.0067089126905170065,0.04933456048007443,0.06521739130434782,0.31486462255693026,0.15995426,0.2428564
Phc3,-2.7117906,-0.4526423,0.006692083704961053,0.0492242784430067,0.2391304347826087,0.5894566971490048,0.42758623,0.5482299
ENSMUSG00000121513,-2.7124312,-0.9819396,0.006679164165172513,0.04914270019665538,0.45652173913043476,0.7939035323650708,1.1166023,1.6209271
Sfxn1,-2.7136116,-0.84975165,0.006655414021627701,0.048981368052899564,0.06521739130434782,0.31486462255693026,0.11688362,0.20167573
Pdk3,-2.7136848,-1.3482406,0.006653943647909696,0.048981368052899564,0.043478260869565216,0.28631880939573245,0.07205317,0.17413735
Sap30bp,-2.716073,-1.5482885,0.006606132615635104,0.0486453229328899,0.021739130434782608,0.2586695355926125,0.053186033,0.14821689
Pank3,-2.7162194,-0.7479697,0.006603211745023509,0.048637143527626554,0.08695652173913043,0.3450959297113143,0.13816035,0.22220185
Idh3b,-2.7165306,-0.9654953,0.0065970087504601625,0.048604777933881155,0.08695652173913043,0.3416890801506186,0.1317054,0.24286054
Gm11508,-2.7166405,-27.108017,0.006594820709604601,0.04860198367171575,0.0,0.2314506006813699,0.0,0.13510093
Tatdn1,-2.7172077,-0.9954051,0.006583526224465294,0.04853205751752605,0.043478260869565216,0.2870719024565178,0.087664545,0.16776668
Pls1,-2.7190287,-2.0793545,0.006547391991521176,0.04829218303930112,0.021739130434782608,0.25870539716693564,0.046356153,0.18275617
Ston2,-2.719166,-27.553364,0.0065446755482763365,0.04828540142289543,0.0,0.2316657701273086,0.0,0.17978927
Rhobtb3,-2.7196875,-0.73411727,0.006534362305733223,0.048222552912675555,0.06521739130434782,0.31680114757037836,0.13374779,0.21352813
Gpm6b,-2.7215543,-1.0920073,0.006497571416394482,0.04796421537321971,0.45652173913043476,0.8333512641204949,0.9810374,1.5160148
Bin3,-2.7215633,-1.6331005,0.0064973915287582,0.04796421537321971,0.021739130434782608,0.2591715976331361,0.049316607,0.14566153
Dagla,-2.7221673,-0.40075698,0.0064855288450056565,0.04790163828073171,0.13043478260869565,0.41050744127667205,0.23230867,0.29657567
Pak6,-2.7229636,-1.3375319,0.006469921439502681,0.04779950208398049,0.021739130434782608,0.25935090550475165,0.06126697,0.14813954
Eif4b,-2.7234943,-0.97201854,0.0064595352820191985,0.04774902696777328,0.08695652173913043,0.3444862829478214,0.12194752,0.22666356
Glce,-2.7239335,-0.6524634,0.0064509511870929626,0.04771059029280437,0.10869565217391304,0.3751120674197597,0.17975771,0.26967657
Tmtc1,-2.7244368,-0.5654757,0.006441127862783607,0.04765228680423886,0.1956521739130435,0.5123543123543124,0.3931911,0.53816336
Polr3b,-2.7246563,-2.313045,0.00643684554041994,0.047633720647503104,0.021739130434782608,0.25895642818719744,0.033352517,0.1557498
Nptx1,-2.7253609,-0.8108754,0.006423123709528135,0.04754527109504711,0.08695652173913043,0.3438407746100054,0.16454354,0.2728937
Dap3,-2.725434,-1.5260159,0.006421699575077535,0.04754527109504711,0.043478260869565216,0.2867132867132867,0.06685519,0.1815858
Sort1,-2.7261295,-0.553862,0.006408184460598929,0.0474739223755978,0.2826086956521739,0.675990675990676,0.5925893,0.7825902
Ankfy1,-2.7264955,-0.30823913,0.006401081527038522,0.04743437965568811,0.1956521739130435,0.5137887753272369,0.35197848,0.42026585
Gm16183,-2.7288473,-27.003521,0.006355613909073745,0.04711044020325835,0.0,0.2324905863367402,0.0,0.12623233
Nr2c1,-2.729268,-27.09182,0.006347506471039954,0.047076317658527066,0.0,0.2325264479110633,0.0,0.13368936
Slc45a1,-2.7295518,-2.2097127,0.006342048013742803,0.04704882112900859,0.021739130434782608,0.25963779809933657,0.033315346,0.1455774
Nt5c3,-2.7296343,-1.4371027,0.006340464091774287,0.04704882112900859,0.043478260869565216,0.2875022413483952,0.06992576,0.17908299
Cfl2,-2.730229,-1.1195829,0.006329035221856971,0.04699120652425996,0.08695652173913043,0.34269320423166577,0.11615167,0.23714182
Gsg1l,-2.7308695,-3.1977184,0.006316747946151088,0.04691294010864559,0.021739130434782608,0.25770127308588847,0.021597907,0.18258642
Lsm14a,-2.7317297,-0.51995873,0.006300281664835845,0.04680358538405838,0.13043478260869565,0.4078895463510848,0.21102324,0.2903422
Trappc3,-2.7317572,-1.2683642,0.006299756781998314,0.04680358538405838,0.043478260869565216,0.28789671866594946,0.07631047,0.17480884
Senp1,-2.7321415,-0.7199781,0.0062924125539072185,0.046770989024477724,0.06521739130434782,0.31762596377980995,0.12729838,0.20180666
Rab36,-2.7322147,-26.958563,0.00629101452740404,0.046770989024477724,0.0,0.23277747893132508,0.0,0.12258698
Cdc37l1,-2.7329009,-0.52597946,0.006277921619627657,0.04668910985867566,0.2608695652173913,0.6060964676349292,0.46381626,0.61504436
Ppm1g,-2.7339349,-2.0357141,0.006258241287166942,0.046568524892322265,0.021739130434782608,0.25996055226824455,0.04031327,0.1558684
Paqr8,-2.7346303,-1.4397768,0.006245036213499834,0.04648313658081456,0.043478260869565216,0.28700017930787164,0.08859772,0.22419581
Med24,-2.735582,-27.041016,0.006227006761361651,0.04636178212185856,0.0,0.23306437152590997,0.0,0.12935002
Rcn2,-2.7356827,-0.52576905,0.0062251025431136215,0.04636045048044984,0.10869565217391304,0.37651066881836115,0.20458306,0.28279427
Mfsd4a,-2.7363963,-0.6196318,0.006211614936725954,0.04627282876346725,0.10869565217391304,0.37708445400753093,0.1761968,0.25931266
Insig2,-2.737229,-1.5956038,0.006195912654075512,0.046168655855521074,0.043478260869565216,0.28735879505110273,0.06253375,0.17816664
Dclre1c,-2.7374945,-1.3775091,0.006190916144900331,0.04614422103008929,0.06521739130434782,0.3155818540433925,0.079578415,0.19491662
Ddx1,-2.7376776,-0.33617407,0.006187472390644585,0.04613134937198113,0.08695652173913043,0.3485386408463332,0.19615427,0.24183337
Hspbp1,-2.7385285,-27.05069,0.006171481580999505,0.04603767631356377,0.0,0.23331540254617178,0.0,0.13016596
Srek1ip1,-2.738684,-1.4495832,0.006168562555967325,0.046028679777517914,0.021739130434782608,0.26071364532902996,0.063111946,0.16376127
Lrrtm1,-2.7388122,-2.3778727,0.006166159586582471,0.04602353002540861,0.021739130434782608,0.2600681369912139,0.034308378,0.16671617
Kansl2,-2.7388487,-0.6269391,0.00616547317874194,0.04602353002540861,0.06521739130434782,0.31845077998924154,0.13287416,0.19840185
Macroh2a1,-2.7389219,-0.28126335,0.006164100569476507,0.04602353002540861,0.13043478260869565,0.41108122646584183,0.2526269,0.29956293
Trappc12,-2.7405233,-0.53754264,0.006134143507597713,0.045822751195204486,0.08695652173913043,0.34796485565716334,0.15949187,0.22393177
Adam9,-2.7407062,-1.3102098,0.006130728205368441,0.04580997410407398,0.043478260869565216,0.287753272368657,0.074783936,0.17610013
Myo5b,-2.7409716,-1.0522456,0.006125779058958453,0.045787000652126666,0.043478260869565216,0.28936704321319706,0.10916006,0.21445684
Zfp62,-2.7412004,-0.561769,0.006121515441721591,0.04577932644560511,0.08695652173913043,0.34857450242065624,0.16165479,0.23030531
Vps45,-2.7413101,-0.8509009,0.00611946985491974,0.045776769209825555,0.08695652173913043,0.3461000537923615,0.1290292,0.22186434
Papolg,-2.7413285,-0.8561695,0.0061191289836457835,0.045776769209825555,0.06521739130434782,0.3184149184149184,0.11366672,0.19713883
Parl,-2.7413836,-0.70337796,0.0061181064724256,0.045776769209825555,0.043478260869565216,0.2894746279361664,0.111560054,0.17577906
Zfp800,-2.7426095,-0.3554151,0.006095310447426611,0.04563415762673531,0.10869565217391304,0.37801685493993187,0.21144624,0.26331878
Larp1b,-2.7430854,-1.5504931,0.006086484853015167,0.045580782608839895,0.043478260869565216,0.2881118881118881,0.0630898,0.17458782
Ppil2,-2.7444215,-0.7426338,0.0060617667936369345,0.04540832833705727,0.06521739130434782,0.31848664156356465,0.12491541,0.20100234
Pcsk1,-2.7456841,-27.36187,0.006038486316102797,0.0452465497249532,0.0,0.2339250493096647,0.0,0.15912293
Fancl,-2.7460868,-0.9434201,0.006031080508146411,0.045203663390207545,0.06521739130434782,0.3175542406311637,0.11278304,0.20668474
Hnrnpr,-2.746636,-0.2605297,0.006020994866037366,0.04514066184442634,0.2608695652173913,0.6485565716334947,0.59240556,0.6771776
Sipa1l2,-2.7488136,-1.487102,0.005981137996617059,0.044854361699441916,0.043478260869565216,0.28875739644970416,0.086056516,0.22468084
