names,scores,logfoldchanges,pvals,pvals_adj
Arid5b,5.8471684,0.56927645,6.8101969893696805e-09,1.9823100388337504e-07
Tenm3,5.8355875,0.49760294,7.192627111459979e-09,2.0829185878020804e-07
Adgrb3,5.8129125,0.14841849,7.971900021151655e-09,2.267985526118095e-07
Lsamp,5.8034887,0.10973427,8.371686400518106e-09,2.3474901257333942e-07
Grip1,5.7933807,0.40489423,9.06132151062315e-09,2.52091752984732e-07
Lhx9,5.779956,1.0933009,1.0650288189714425e-08,2.912879545220687e-07
Marchf1,5.7336493,0.2852448,1.2727040079786553e-08,3.422999401981547e-07
Col19a1,5.7214417,1.1291705,1.4829953137686846e-08,3.9233541910754246e-07
Grm5,5.7179756,0.14847213,1.4016548299514561e-08,3.725572215854539e-07
Grik2,5.6455026,0.16376479,2.0701690039053803e-08,5.243965018170161e-07
Trps1,5.636629,0.576348,2.24291942876586e-08,5.668878725874069e-07
Kcnq5,5.6177125,0.49246532,2.4943155826835496e-08,6.248481270514565e-07
Lrrc4c,5.617616,0.2861392,2.4403774896641773e-08,6.126916699660195e-07
Nyap2,5.5090895,0.7452052,4.675027491484011e-08,1.1262837507675205e-06
Alcam,5.506541,0.48674423,4.609205642820845e-08,1.1151716985824878e-06
Pcdh7,5.4925056,0.5142538,4.940934408978723e-08,1.1827949326187332e-06
Nkain3,5.384966,0.33035505,8.801308766627055e-08,1.9812568422369413e-06
Arhgap15,5.336324,0.5851158,1.1901746839487619e-07,2.5669234183527295e-06
Ano2,5.320637,0.931992,1.3152802263771402e-07,2.7994206773060823e-06
Gcnt2,5.2728662,0.84434456,1.6999770808305763e-07,3.5318973369256174e-06
Sema3c,5.2036953,0.73198855,2.4235902053765517e-07,4.822901914846871e-06
Slc16a2,5.160544,0.43882167,2.965089005307969e-07,5.808599101574763e-06
Dlc1,5.1549196,0.8279686,3.129210855348424e-07,6.077539367943431e-06
Myo1b,5.141981,1.271759,3.4675879461551416e-07,6.643569934740215e-06
Ano4,5.1230474,0.663324,3.6407062020007403e-07,6.940019583376158e-06
Ccser1,5.1133647,0.1823875,3.770547176166724e-07,7.103811260521767e-06
Adam12,5.1002192,1.0577406,4.237756053326203e-07,7.854556230036109e-06
Nrg1,5.0946126,0.42951155,4.0666170829810453e-07,7.598400203068379e-06
Ptpro,5.0611463,0.42147684,4.977026210566704e-07,9.002375045087347e-06
Foxp1,5.0566025,0.30344716,5.049026426791702e-07,9.089050275129163e-06
6530403H02Rik,5.032767,0.49036002,5.705981255746448e-07,1.0063680024737855e-05
Gm57223,5.0218062,1.0088956,6.282337353118687e-07,1.0910261633337867e-05
Grem2,4.9869566,1.0269961,7.532490055405582e-07,1.2806364098702313e-05
Anks1b,4.984081,0.12610787,7.244492351457971e-07,1.2381619990129569e-05
Entrep2,4.936524,0.366039,9.296856060099079e-07,1.5364247307486014e-05
Pcdh15,4.920548,0.43651026,1.0018146459430763e-06,1.6228250695298215e-05
Vav3,4.907862,0.35786486,1.0750280792012635e-06,1.7241562239087684e-05
Cpne4,4.887006,0.33096054,1.1899557462455966e-06,1.884457190872572e-05
Hecw2,4.8860393,0.44446233,1.1998932026107652e-06,1.8939751906294507e-05
Adamts18,4.8849125,1.1035348,1.2400166336116136e-06,1.9500983808867085e-05
Gpc6,4.865307,0.71368283,1.3486113468578698e-06,2.1033507273376943e-05
Thrb,4.851651,0.46148998,1.4171605759304587e-06,2.1921460657459812e-05
Gm12216,4.831626,0.58312815,1.5844042634746236e-06,2.40808180876821e-05
Nckap5,4.8226843,0.5624977,1.64958268320407e-06,2.4904299629226243e-05
Kirrel3,4.811981,0.17869401,1.724100083560623e-06,2.5856934100870114e-05
Ttc28,4.8052416,0.54959863,1.793880460878373e-06,2.6832375770839917e-05
C130071C03Rik,4.7928615,0.28605905,1.88907286794233e-06,2.8088332457800038e-05
Adarb2,4.7838216,0.21210179,1.9563751308435375e-06,2.8919106535954797e-05
Grid1,4.7685885,0.23065247,2.1105720118565307e-06,3.095596747441904e-05
Foxn3,4.752789,0.3018619,2.3023502366206406e-06,3.359473160986535e-05
Rftn1,4.7519627,0.6511669,2.3402231144869184e-06,3.405957111225627e-05
Kcnk10,4.7180557,0.43888992,2.730618719715918e-06,3.928690694198645e-05
Tmeff2,4.714381,0.23717526,2.7538819898172612e-06,3.952117334689588e-05
Sergef,4.6941214,0.5345681,3.0755079910339113e-06,4.3699813942706044e-05
Hdac9,4.691733,0.29004282,3.0759296752041614e-06,4.3699813942706044e-05
Pvt1,4.665223,0.37118715,3.5124458433534694e-06,4.934419886388503e-05
Rapgef4,4.633314,0.26951802,4.055569607180057e-06,5.6069859172283016e-05
Trhr,4.616856,1.0617976,4.516968242187396e-06,6.147311467101909e-05
Sec61a1,4.593366,0.58604586,4.986306997115027e-06,6.681651376134136e-05
Nxph1,4.5826445,0.650726,5.2346132632587315e-06,6.940459716613421e-05
Ctnnd2,4.565448,0.1533997,5.562348841496471e-06,7.298085276044559e-05
Kcnh7,4.538304,0.30545372,6.283951061553275e-06,8.104006591112498e-05
Glra2,4.4473715,0.71329325,9.733130754960966e-06,0.00011953171316531781
Zfp423,4.4396315,1.1026659,1.0306451825705188e-05,0.00012575426080006446
Itga8,4.4301467,0.23623136,1.04099195116814e-05,0.00012660743139717345
Dock4,4.426981,0.17345543,1.0555795764096275e-05,0.00012797651122542473
Igf2bp3,4.4014983,0.7881431,1.2099768911729174e-05,0.00014371593709496517
Pdzrn3,4.4000454,0.81823236,1.2197161685541975e-05,0.00014461619033025316
Il27,4.3048406,1.0018191,1.873543125883939e-05,0.00020962577879825927
