names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA2-FC-IG Glut (for_DEGs),mean_expr_Rest (for_DEGs)
Disp3,7.551147,1.7324108,4.314412773624948e-14,4.246456821512907e-12,0.49732620320855614,0.2047649942329873,0.35243237,0.11969923
Elavl2,7.5383844,1.1894473,4.7582901169700123e-14,4.666250198649059e-12,0.6898395721925134,0.5416306228373703,1.2072921,0.70702964
Vit,7.5300674,3.2089908,5.0714187182204506e-14,4.955237125766673e-12,0.37433155080213903,0.06386966551326413,0.33745587,0.0424904
Fstl5,7.5294847,1.1822158,5.094088268908579e-14,4.959353325564258e-12,0.6951871657754011,0.46968713956170705,1.0278946,0.5828227
Ociad2,7.469703,1.3905666,8.037577125714844e-14,7.713203477427066e-12,0.6042780748663101,0.3315311418685121,0.5244947,0.23350985
Slc24a3,7.445311,0.8047422,9.671610920061706e-14,9.182904078517953e-12,0.7647058823529411,0.7300677623990772,1.6142857,1.195067
Thsd4,7.427262,1.3287745,1.1086886426018376e-13,1.0416246093255726e-11,0.6096256684491979,0.3788566897347174,0.7215548,0.35139573
Pdlim5,7.408116,1.3372008,1.2810659183602569e-13,1.19938122739861e-11,0.5401069518716578,0.2394031141868512,0.48359358,0.22004876
Rnf182,7.3997755,1.2868212,1.364148099544241e-13,1.2727312303733944e-11,0.6042780748663101,0.349012399077278,0.57688916,0.27754584
Map3k15,7.3796015,3.7660248,1.5876431304657917e-13,1.4659783819799252e-11,0.34759358288770054,0.04051326412918108,0.24056411,0.01979355
Mapk10,7.351237,0.47461885,1.9638084510618175e-13,1.807107297261337e-11,0.8128342245989305,0.8121756055363322,2.060486,1.7799383
Pip5k1b,7.3335376,1.0537916,2.2415522090142636e-13,2.048656729803172e-11,0.7005347593582888,0.5927407727797002,1.2570225,0.79364824
Lpp,7.3132634,1.0883306,2.607313358010535e-13,2.3748647433811214e-11,0.6844919786096256,0.529808246828143,0.9584248,0.5630707
Focad,7.277278,0.8444987,3.4062294740488153e-13,3.081662827195006e-11,0.6898395721925134,0.6956819492502884,1.4029824,0.9962863
Ppfia2,7.198705,0.46415538,6.078696413112493e-13,5.4444857540110897e-11,0.7967914438502673,0.8467055940023068,2.3409085,2.0550556
