names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Control (for_DEGs),mean_expr_Mutant (for_DEGs)
Alg11,-2.4719126,-0.2790212,0.013439234753628293,0.049990513285724486,0.1636904761904762,0.27230046948356806,0.09213365,0.07653492
Ctnna3,-2.4767952,-0.55319077,0.013256796277617965,0.049401989769848734,0.25892857142857145,0.3544600938967136,0.21649338,0.15249048
Tmpo,-2.4785528,-0.41740882,0.013191656413839483,0.04921093558096516,0.1800595238095238,0.28169014084507044,0.10385518,0.07876041
Atad2,-2.480506,-0.40911296,0.013119610853148505,0.04895933320829577,0.22470238095238096,0.32629107981220656,0.1325013,0.10138046
Plekhj1,-2.4824588,-0.6055839,0.013047913467915579,0.04872594492597387,0.11160714285714286,0.20657276995305165,0.07200458,0.047901317
Ttc9c,-2.4824588,-0.35126787,0.013047913467915579,0.04872594492597387,0.16071428571428573,0.2652582159624413,0.08906399,0.0704774
Galnt10,-2.482654,-0.5012743,0.01304076282470257,0.04872594492597387,0.13690476190476192,0.2347417840375587,0.081133306,0.05799405
Ro60,-2.4833376,-0.2604675,0.01301576286084457,0.048674196812357254,0.5014880952380952,0.636150234741784,0.31810775,0.27205518
Hs6st3,-2.4842165,-0.3072096,0.012983682345370286,0.04857129391978065,0.9047619047619048,0.9272300469483568,1.9827851,1.8019979
Acot13,-2.485779,-0.28387028,0.012926822985390121,0.04842291708912164,0.25,0.3615023474178404,0.14352952,0.11935804
Tmub2,-2.4858766,-0.3774004,0.01292327660083862,0.04842291708912164,0.12053571428571429,0.22300469483568075,0.07360307,0.057134956
Stk32c,-2.4859743,-0.35387844,0.012919731077052963,0.04842291708912164,0.20238095238095238,0.30985915492957744,0.115355395,0.09137084
Zfp263,-2.4859743,-0.3383015,0.012919731077052963,0.04842291708912164,0.16071428571428573,0.2652582159624413,0.08947092,0.07141929
2610316D01Rik,-2.4889038,-0.3390368,0.012813764751937412,0.04813868628834094,0.21726190476190477,0.3215962441314554,0.13630816,0.109258614
Cinp,-2.4891968,-0.48993826,0.012803210536961788,0.04811602039014277,0.15327380952380953,0.2511737089201878,0.08904351,0.06420643
Zfp267,-2.4892943,-0.43649536,0.01279969417518829,0.04811602039014277,0.21279761904761904,0.3145539906103286,0.11882199,0.089136705
Abcd2,-2.4892943,-0.48123658,0.01279969417518829,0.04811602039014277,0.14136904761904762,0.23943661971830985,0.08339931,0.060442273
Gm45645,-2.4909544,-0.6074996,0.01274004664473576,0.04796332382027686,0.08482142857142858,0.1807511737089202,0.05685139,0.03767577
Spcs3,-2.4914427,-0.3044702,0.012722550134859869,0.047931363216040204,0.21726190476190477,0.32629107981220656,0.118604474,0.09709591
Cnot8,-2.4915402,-0.32635778,0.012719053386055982,0.047931363216040204,0.1800595238095238,0.2887323943661972,0.09982902,0.080407046
Cers2,-2.4918332,-0.65264314,0.012708568242861156,0.047931363216040204,0.09821428571428571,0.19483568075117372,0.06618334,0.04260398
Mpp1,-2.4925168,-0.34905878,0.012684132655233342,0.04788833765507217,0.20386904761904762,0.3075117370892019,0.11449251,0.0909694
Gstcd,-2.4938838,-0.3714033,0.012635386211351922,0.04773435577382603,0.23511904761904762,0.33568075117370894,0.13796355,0.108277716
Mrps25,-2.4953487,-0.43900967,0.012583341978277318,0.047592220566739694,0.15625,0.25821596244131456,0.08767186,0.065403715
Gm12394,-2.4957392,-0.31680647,0.012569495608402145,0.047573663499368424,0.14583333333333334,0.2511737089201878,0.08737856,0.07074507
Tmem128,-2.4976923,-0.5115514,0.012500465908819269,0.04734607070020053,0.16071428571428573,0.2605633802816901,0.09815566,0.06984834
Zfp622,-2.4978876,-0.66612893,0.01249358143641454,0.04733684130571732,0.1130952380952381,0.20892018779342722,0.070547484,0.045034982
Gm57390,-2.4984734,-0.3378602,0.012472948159810147,0.047292336040206405,0.10416666666666667,0.20422535211267606,0.057664584,0.04589659
