names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_CA3 (for_DEGs),mean_expr_Rest (for_DEGs)
Grik4,49.321957,2.982971,0.0,0.0,0.9972677595628415,0.5500222816399287,2.2133708,0.708236
Mgat4c,46.529507,2.8917897,0.0,0.0,1.0,0.7238933452168747,3.232253,1.4537269
Shisa6,46.29396,2.7320018,0.0,0.0,0.9981785063752276,0.6008615567439097,2.4989657,0.9862823
Raver2,46.020287,2.9019911,0.0,0.0,0.9672131147540983,0.39858140225787286,1.4571986,0.365118
Hs3st4,45.834152,3.296763,0.0,0.0,0.9990892531876139,0.5881238859180036,2.964255,1.0544392
Nectin3,45.74145,3.143411,0.0,0.0,0.9690346083788707,0.39130273321449793,1.6263081,0.38002145
Dock4,45.368454,1.8455563,0.0,0.0,1.0,0.8530525846702317,3.1291606,1.9574273
Schip1,45.33711,2.096098,0.0,0.0,1.0,0.8254233511586453,3.2541683,1.9203492
Ccbe1,45.165165,3.2391534,0.0,0.0,0.9398907103825137,0.2925207961972668,1.3566693,0.26647115
Prkca,44.961132,2.1669939,0.0,0.0,0.9990892531876139,0.7491458704693998,2.4677622,1.2249503
Khdrbs3,44.35109,2.2636335,0.0,0.0,1.0,0.6598707664884136,2.3531857,1.0926985
Cadps,44.073586,1.6688777,0.0,0.0,1.0,0.8210041592394534,3.0140991,1.9589572
Spock1,43.755924,2.4136567,0.0,0.0,0.9981785063752276,0.5942142008318478,2.1553593,0.88878864
Rnf182,43.6411,2.740096,0.0,0.0,0.941712204007286,0.3256090314913844,1.0558392,0.24728867
Cpne4,43.6299,2.642033,0.0,0.0,0.9918032786885246,0.5259581105169341,2.0302675,0.7226694
Zbtb20,43.596394,2.3602874,0.0,0.0,1.0,0.8621509209744503,3.7956054,2.2484171
Nrp1,43.378803,2.326362,0.0,0.0,0.9972677595628415,0.6061720142602496,2.05713,0.85887915
Cacna1c,43.044968,1.8370686,0.0,0.0,1.0,0.7740270350564468,2.7130163,1.597235
Ryr3,42.908855,2.165167,0.0,0.0,1.0,0.7068850267379679,2.676487,1.3906488
Opcml,42.105095,1.6677667,0.0,0.0,1.0,0.9224598930481284,4.1909924,3.067397
Focad,41.9436,1.9229103,0.0,0.0,0.9963570127504554,0.6817439096850861,1.9589577,0.9580396
Pkp2,41.846977,2.6498826,0.0,0.0,0.9262295081967213,0.30436720142602497,0.99416107,0.24000613
Galnt17,41.27737,2.1045947,0.0,0.0,1.0,0.7056595365418895,2.497796,1.2792301
9530026P05Rik,40.78903,2.9802246,0.0,0.0,0.8870673952641166,0.20172311348781938,1.0000259,0.19701213
Dgkb,40.09101,1.975275,0.0,0.0,0.9990892531876139,0.7695707070707071,2.7873735,1.5842047
Nkain3,40.002663,2.2169645,0.0,0.0,0.9936247723132969,0.6557857991681522,2.4067583,1.1543642
9530059O14Rik,39.70233,1.9925469,0.0,0.0,0.9899817850637522,0.5967765894236482,1.734159,0.77568316
Frmpd4,39.645985,1.9805813,0.0,0.0,1.0,0.8257204396910279,3.3577251,2.0825408
Trhde,39.614853,2.6076264,0.0,0.0,0.9617486338797814,0.5027109328579917,1.8865283,0.6513859
Nlgn1,39.072376,1.1976043,0.0,0.0,1.0,0.952243018419489,4.178993,3.368486
Akap13,38.991707,2.1628144,0.0,0.0,0.9681238615664846,0.48592543077837197,1.3686132,0.50338125
Efr3b,38.85124,2.1122262,0.0,0.0,0.9553734061930783,0.43683155080213903,1.1012421,0.3814496
Gm10649,38.729034,2.1894102,0.0,0.0,0.9526411657559198,0.4207887700534759,1.1463209,0.38568482
Clstn2,38.545475,1.96996,0.0,0.0,0.9990892531876139,0.7404188948306596,2.7489383,1.5546521
Nr3c2,38.456364,2.0741642,0.0,0.0,0.9990892531876139,0.764743018419489,2.8379638,1.5725286
Rerg,38.4534,3.0805333,0.0,0.0,0.8114754098360656,0.18839126559714794,0.81522727,0.13881572
Thsd7b,38.408485,2.3020072,0.0,0.0,0.9890710382513661,0.5369875222816399,1.953492,0.8008731
Ak5,38.357853,1.8366176,0.0,0.0,0.9963570127504554,0.6559343434343434,1.9466715,0.9863217
Slit2,38.31752,2.3273225,0.0,0.0,0.9817850637522769,0.5561868686868687,1.9846978,0.8112368
Peak1,37.950428,1.9890321,0.0,0.0,0.9726775956284153,0.5656565656565656,1.4972527,0.62805784
Cntnap5c,37.612297,2.4902894,1.353173696795674e-309,8.868238349487749e-307,0.9508196721311475,0.4890819964349376,1.9147838,0.7078614
Rapgef2,37.597057,1.5620263,2.401214633587776e-309,1.5362056477262745e-306,0.9936247723132969,0.7559789067142009,2.0586944,1.1984866
Slit1,37.447826,1.942598,6.516456178608533e-307,4.0720273841677045e-304,0.970856102003643,0.4936868686868687,1.2462158,0.49739182
Dcc,37.22206,1.797709,3.0011473744280367e-303,1.8327461352473035e-300,0.9972677595628415,0.8387551990493167,3.2951155,2.1368523
Unc5c,37.198994,1.79736,7.084111966286015e-303,4.2300019674245604e-300,0.9963570127504554,0.7985739750445633,2.80342,1.6973766
