names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MOL (for_DEGs),mean_expr_Rest (for_DEGs)
Pde4b,67.775986,4.76111,0.0,0.0,0.9987951807228915,0.7476295228703633,4.522115,1.4717783
Tmeff2,67.37039,3.884652,0.0,0.0,1.0,0.8389971933550785,4.4477415,1.9045538
Pcdh9,67.01805,2.738619,0.0,0.0,1.0,0.9694682545702799,5.6036506,3.7260802
St18,66.53374,5.807478,0.0,0.0,0.9897590361445783,0.36429492528256086,3.5068827,0.45585617
Nkain2,65.734634,2.4871237,0.0,0.0,1.0,0.9252067056057043,4.8067513,3.1197736
Dock10,65.393684,4.466172,0.0,0.0,0.9921686746987952,0.566107866191307,3.4851959,0.8882904
Plp1,65.058266,5.0456944,0.0,0.0,0.9969879518072289,0.7007130395205947,4.102062,1.0297407
Mbp,65.05544,5.1689754,0.0,0.0,0.9855421686746988,0.5415686869453084,3.4470713,0.6126062
Slc24a2,64.97935,3.199733,0.0,0.0,0.9927710843373494,0.8030417962527497,3.7425842,1.7019993
Qki,64.0509,3.8316627,0.0,0.0,0.9957831325301205,0.817757718273534,3.8637958,1.4530596
Phlpp1,63.781826,3.532244,0.0,0.0,0.9801204819277108,0.7320033376317985,3.0498743,1.0073853
Plcl1,63.374584,3.794303,0.0,0.0,0.9903614457831326,0.6655161950997497,3.324942,1.0755112
Frmd5,62.695812,3.3222032,0.0,0.0,0.9855421686746988,0.7232420541606615,3.2498846,1.2465327
Edil3,62.58978,3.29569,0.0,0.0,0.9813253012048193,0.7434574831222028,3.3552344,1.3391968
Prr5l,61.828815,6.4240255,0.0,0.0,0.9234939759036145,0.1304331335811272,2.5857158,0.13359372
Rnf220,61.78154,5.305109,0.0,0.0,0.9409638554216867,0.36327087916255785,2.7698462,0.32084334
Septin7,60.92933,3.2805026,0.0,0.0,0.9686746987951808,0.7516877797163013,2.857567,0.989443
Map7,60.173775,3.1904795,0.0,0.0,0.95,0.6787529393916407,2.5827837,0.8501931
Ugt8a,59.940643,5.3571568,0.0,0.0,0.9162650602409639,0.21406356671470833,2.3059814,0.19918062
Magi2,59.751637,1.9123851,0.0,0.0,0.9987951807228915,0.9179245998634605,4.1682734,2.8846042
Enpp2,59.462124,4.5700316,0.0,0.0,0.9295180722891566,0.38682393992262765,2.5119653,0.38998428
Ano4,59.43803,3.3965218,0.0,0.0,0.9536144578313253,0.6212167185010999,2.726025,0.8566629
Fnbp1,58.469418,3.3144603,0.0,0.0,0.941566265060241,0.67575665629978,2.532111,0.7719648
Zfp536,58.076706,3.859318,0.0,0.0,0.939156626506024,0.44720473336873245,2.503318,0.57283235
Dnm3,57.04402,2.8759243,0.0,0.0,0.9542168674698795,0.71235682318137,2.6499882,1.0267241
Erbin,56.991108,4.1511874,0.0,0.0,0.9066265060240963,0.41667298793901236,2.3161328,0.41489562
Mast4,56.9338,2.8738887,0.0,0.0,0.9548192771084337,0.7492224835014791,2.8497996,1.1698416
Sox2ot,55.904716,3.8445687,0.0,0.0,0.9566265060240964,0.43499203519684443,2.707673,0.6801333
Mobp,54.79374,5.145024,0.0,0.0,0.8548192771084338,0.18163543958127892,2.0714746,0.17901243
Mog,54.02309,5.4801903,0.0,0.0,0.827710843373494,0.13138132443298187,1.831594,0.11107221
Trf,53.39649,4.617849,0.0,0.0,0.8566265060240964,0.2359857392095881,1.9767997,0.22578846
D7Ertd443e,53.165176,5.5630198,0.0,0.0,0.8114457831325301,0.1327467192596526,1.8087645,0.10250229
Gjc3,52.735275,5.076559,0.0,0.0,0.8180722891566266,0.14636273989228551,1.7392393,0.13021858
Ctnna3,52.483032,4.154346,0.0,0.0,0.8554216867469879,0.4391640749450049,2.2818236,0.40138263
St6galnac3,52.478653,2.6325715,0.0,0.0,0.9240963855421687,0.6877417886672229,2.4531393,0.9981717
Pak5,52.331078,2.506895,0.0,0.0,0.9265060240963855,0.7280967913221573,2.518625,1.1011653
Ypel2,52.29926,3.7775788,0.0,0.0,0.8530120481927711,0.44170522642797544,1.9294634,0.3571014
Mag,52.07497,4.770633,0.0,0.0,0.8253012048192772,0.18076310399757264,1.8251586,0.17449129
Zeb2,51.740955,1.9947861,0.0,0.0,0.9921686746987952,0.850072062504741,3.2651334,1.99043
Arhgap23,51.40741,3.7403495,0.0,0.0,0.8409638554216867,0.43157854813016766,1.8268547,0.32941723
Pak1,51.000965,3.1010869,0.0,0.0,0.8710843373493976,0.5944398088447242,2.0572648,0.58519393
Pde8a,50.99895,5.4542794,0.0,0.0,0.7819277108433735,0.12478191610407342,1.6463785,0.09123459
Mapt,50.41959,1.9700584,0.0,0.0,0.9240963855421687,0.7980732761890313,2.4047225,1.2730273
Rtn4,50.391544,2.242858,0.0,0.0,0.9259036144578313,0.7994007433816278,2.375213,1.1185964
Aspa,50.276535,5.41278,0.0,0.0,0.7734939759036145,0.11829629067738755,1.6621734,0.0955395
Phldb1,50.182,4.589571,0.0,0.0,0.7969879518072289,0.22718652810437684,1.6700749,0.16476583
Malat1,50.144592,1.2995542,0.0,0.0,1.0,0.993286808768869,5.8271947,4.93072
Sytl2,49.892216,4.517829,0.0,0.0,0.7987951807228916,0.2852537358719563,1.8001179,0.19922355
Plekhg1,49.73457,4.277546,0.0,0.0,0.805421686746988,0.24315406204960935,1.7516102,0.21964504
Gm16168,49.53963,5.170676,0.0,0.0,0.7759036144578313,0.16654024121975272,1.8304406,0.13574204
