names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_Mossy cells (for_DEGs),mean_expr_Rest (for_DEGs)
Gm32647,11.841001,6.962429,2.3957690895189695e-32,6.437431543537471e-28,1.0,0.3891132635190679,4.493711,0.5360665
Nkain3,11.513282,3.4485524,1.130905701956865e-30,1.5193718105790483e-26,1.0,0.668465634940491,3.2706327,1.1999567
Trps1,11.396572,4.077606,4.349061354598556e-30,3.895309286602106e-26,1.0,0.6805818649701562,3.6480768,1.167867
Ccser1,11.239353,1.9916333,2.612887974453126e-29,1.7552074968388873e-25,1.0,0.8610386361199471,3.554823,2.2559993
Clstn2,11.06862,2.8581278,1.7812355666350558e-28,9.572359935096789e-25,1.0,0.7501340290932486,3.3879921,1.598441
Mgat4c,11.025801,3.5350358,2.869538034799259e-28,1.285074783250935e-24,1.0,0.7342649844526252,3.7469413,1.5196692
Hs6st3,10.981736,3.1440208,4.678422170484067e-28,1.795845767441527e-24,1.0,0.7930948211158368,4.0246596,1.9764956
Gm49678,10.8762865,3.1875455,1.4953137485783133e-27,5.02238505303741e-24,1.0,0.5541656242181636,2.6745863,0.9092616
4930467D21Rik,10.601744,5.069413,2.924740410479607e-26,8.731974981065226e-23,0.9361702127659575,0.10993959755530934,1.3933127,0.086347744
Cntn4,10.510684,3.241704,7.713193987772685e-26,2.0725352245145204e-22,1.0,0.6497015618856999,3.1795983,1.2341458
Clmp,10.487904,3.4007964,9.818286075683811e-26,2.3983395168511274e-22,0.9787234042553191,0.31587976696808323,1.3364862,0.23557717
Schip1,10.426688,2.383825,1.8730257195399787e-25,4.194016757003269e-22,1.0,0.8319811287036706,3.5027764,1.9700341
Iqcj,10.320201,3.2281885,5.710365771976269e-25,1.1802886791769411e-21,0.9787234042553191,0.3776403731369956,1.61401,0.35718322
Rnf182,10.240599,3.0841193,1.3042663228078519e-24,2.50325972098907e-21,0.9787234042553191,0.3486900889953179,1.3108268,0.27723265
Nell1,10.185384,3.1951418,2.3044925096927832e-24,4.128114249029673e-21,1.0,0.5027699345938025,2.463538,0.7762668
Cpne4,10.134779,2.9649053,3.872495781112251e-24,6.503372602405387e-21,1.0,0.543443296758283,2.3102903,0.7713174
Chrna7,10.025133,2.8262086,1.1820015929840848e-23,1.8682578119695506e-20,1.0,0.4728188998892026,1.6408814,0.46154943
Tmem132c,9.854815,4.398344,6.533749532281518e-23,9.753436107355799e-20,0.8936170212765957,0.08788734407948819,0.9552531,0.07310272
Lsamp,9.833261,1.5550102,8.095462340564855e-23,1.1448688057419877e-19,1.0,0.9726938060688374,5.135925,4.069417
Ryr3,9.78548,2.3592412,1.2997796654323917e-22,1.746253980508418e-19,1.0,0.7178955645305407,2.8619745,1.4386394
Palmd,9.657014,2.849711,4.590502611322308e-22,5.873657388868115e-19,0.9574468085106383,0.34007648593588047,1.1038009,0.2465579
Satb1,9.647657,2.6960537,5.029122052058469e-22,6.142386797218685e-19,1.0,0.46370492154830406,1.6196221,0.48560295
Sema3e,9.561307,2.8315969,1.1627842058891514e-21,1.3584352874887608e-18,1.0,0.43661317416633905,1.7733995,0.5229821
Ajap1,9.548523,2.8826869,1.3155836701902673e-21,1.47290555075052e-18,0.9361702127659575,0.31116194288573573,0.9617024,0.19813871
Nwd2,9.457652,2.6812482,3.1493381400867445e-21,3.3849086329652328e-18,1.0,0.5316129954608814,1.9424466,0.658382
Thsd4,9.439933,2.8351424,3.730173105731253e-21,3.854990436576876e-18,0.9787234042553191,0.37846241824225313,1.387624,0.351461
Marchf1,9.412876,1.9026824,4.827440523168263e-21,4.804197291019675e-18,1.0,0.8352693091247007,3.2637813,2.0445569
Cpne9,9.405378,4.8231506,5.1843256664439004e-21,4.975101094905271e-18,0.8297872340425532,0.06687158225812216,0.7498934,0.038692165
Crispld1,9.386595,4.26347,6.197154282345187e-21,5.741983985055695e-18,0.851063829787234,0.145001608349119,1.0305464,0.08970994
Col19a1,9.377681,2.9699063,6.743982263415973e-21,6.0403601139329065e-18,0.9787234042553191,0.27141784910111155,1.271898,0.2834609
Smoc2,9.335493,3.2871742,1.0052195498936229e-20,8.712983646981176e-18,0.9148936170212766,0.2086922334608099,0.9688598,0.15484819
Shisa6,9.330982,2.6003182,1.0489414024517111e-20,8.807829838711713e-18,1.0,0.6157832660209442,2.497013,1.0431054
Epha3,9.324983,2.5534883,1.1100173888827291e-20,9.038232496751192e-18,1.0,0.5923728510668715,2.2081861,0.8669484
Glra3,9.236981,3.7043731,2.535496738648578e-20,1.9796275423285575e-17,0.8723404255319149,0.15911933950462848,0.93789226,0.11266635
Galnt3,9.235177,3.423144,2.5785993294194088e-20,1.9796275423285575e-17,0.8723404255319149,0.19482468994603094,0.8612991,0.11988461
Myo1b,9.2194605,3.1195064,2.98599430009938e-20,2.1732262176642094e-17,0.9148936170212766,0.2413953322134458,0.98862976,0.17745483
Akap13,9.219226,2.4147062,2.992533310516403e-20,2.1732262176642094e-17,1.0,0.5039851317059223,1.5638627,0.5355538
Oxr1,9.175622,1.7700614,4.489752521182213e-20,3.1747276380043703e-17,1.0,0.8546409807355516,3.1737185,2.042918
Ccbe1,9.116834,3.0350883,7.735096881618029e-20,5.329283415617344e-17,0.9361702127659575,0.31684477643947245,1.3736907,0.30739492
Efr3b,9.089001,2.383335,9.995338583662405e-20,6.71436869357522e-17,0.9574468085106383,0.45630651560098645,1.2892126,0.4081711
Tnfaip8l3,9.064732,3.5392807,1.2491166242088496e-19,8.186283827437023e-17,0.851063829787234,0.17220057900568284,0.7658651,0.09439156
Nrxn3,9.015245,1.9862392,1.964305604076186e-19,1.2566878947982647e-16,1.0,0.9288752278494585,4.4435277,3.1009889
Rerg,8.965903,3.1394024,3.077477465093433e-19,1.9230655694665245e-16,0.8936170212765957,0.21165874405804352,0.9440739,0.16400786
Col12a1,8.921271,5.2987237,4.609668182337211e-19,2.815040546804565e-16,0.7872340425531915,0.06883734229243361,1.0767318,0.047990933
Ndst4,8.885182,2.845198,6.381581100009533e-19,3.8105129812723594e-16,0.9574468085106383,0.37399478180063617,1.6165994,0.44573334
Nrp2,8.867202,2.4517813,7.500699650049671e-19,4.288165948868823e-16,0.9574468085106383,0.4411165516994889,1.3196135,0.4062591
Pde4d,8.809631,2.0570881,1.2555770558311704e-18,7.028615727121573e-16,1.0,0.8238321598341614,3.1846223,1.881739
Grik2,8.790568,1.4123043,1.4880570003076721e-18,8.056766496080738e-16,1.0,0.9159726938060688,3.6014664,2.6668634
Csf2rb2,8.789729,7.869343,1.4992122248010306e-18,8.056766496080738e-16,0.7446808510638298,0.005897280102934344,0.5662078,0.0032516033
Xkr4,8.747289,1.5462378,2.1853943315647406e-18,1.1220326732812805e-15,1.0,0.8603238142892884,3.2527936,2.2526522
